rule_id,fitness_score,final_bit_count,mean_bit_count,stddev_bit_count
random_rule_01,0.0,4903,4903.0,0.0
random_rule_02,107068.8358,4582,4584.5329,23.3673
random_rule_03,0.0,4987,4987.0,0.0
random_rule_04,37845.5719,4804,4804.6287,7.8779
random_rule_05,260121.3551,4998,5049.0279,51.4736
random_rule_06,604000.8696,3222,3269.2455,186.8502
random_rule_07,186280.3052,4556,4562.7345,40.8664
random_rule_08,68500.0133,4908,4900.1996,13.9755
random_rule_09,0.0,5008,5008.0,0.0
random_rule_10,0.0,5048,5048.0,0.0
random_rule_11,440178.9526,3183,3203.8303,138.059
random_rule_12,0.0,5047,5047.0,0.0
random_rule_13,79563.1473,4779,4780.3593,16.6485
random_rule_14,60678.7242,4912,4907.8643,12.3657
random_rule_15,75276.8942,5075,5073.6786,14.8329
random_rule_16,164773.27,4460,4463.2954,36.9405
random_rule_17,52355.2755,4998,4989.6747,10.4921
random_rule_18,11874.9789,5037,5036.8303,2.3575
random_rule_19,0.0,4935,4935.0,0.0
random_rule_20,48757.3259,5125,5126.3353,9.5099
