rule_id,fitness,final_bit_count
rule_001,4.709e-05,21234
rule_002,1.0,0
rule_003,8.265e-05,12098
rule_004,0.33333333,2
rule_005,0.2,4
rule_006,0.33333333,2
rule_007,8.911e-05,11221
rule_008,0.25,3
rule_009,0.25,3
rule_010,0.2,4
rule_011,0.2,4
rule_012,0.2,4
rule_013,5.14e-05,19453
rule_014,7.865e-05,12713
rule_015,8.842e-05,11309
rule_016,0.25,3
rule_017,4.516e-05,22143
rule_018,8.485e-05,11784
rule_019,0.25,3
rule_020,0.00010434,9583
rule_021,4.504e-05,22200
rule_022,0.25,3
rule_023,4.792e-05,20869
rule_024,0.2,4
rule_025,6.595e-05,15162
rule_026,0.01298701,76
rule_027,0.2,4
rule_028,6.216e-05,16087
rule_029,0.2,4
rule_030,0.00011493,8700
rule_031,1.0,0
rule_032,0.16666667,5
rule_033,8.577e-05,11658
rule_034,4.489e-05,22275
rule_035,5.727e-05,17460
rule_036,0.2,4
rule_037,5.833e-05,17144
rule_038,0.01298701,76
rule_039,8.728e-05,11456
rule_040,0.2,4
rule_041,0.2,4
rule_042,0.25,3
rule_043,0.2,4
rule_044,7.828e-05,12774
rule_045,0.25,3
rule_046,0.2,4
rule_047,8.911e-05,11221
rule_048,0.33333333,2
rule_049,0.2,4
rule_050,7.886e-05,12680
rule_051,0.00163132,612
rule_052,7.739e-05,12920
rule_053,0.2,4
rule_054,0.00010434,9583
rule_055,0.2,4
rule_056,0.00014463,6913
rule_057,0.25,3
rule_058,0.33333333,2
rule_059,0.01234568,80
rule_060,0.25,3
rule_061,0.2,4
rule_062,0.25,3
rule_063,0.16666667,5
rule_064,0.33333333,2
rule_065,0.2,4
rule_066,1.0,0
rule_067,0.2,4
rule_068,0.25,3
rule_069,8.577e-05,11658
rule_070,4.792e-05,20869
rule_071,0.33333333,2
rule_072,0.25,3
rule_073,0.33333333,2
rule_074,0.2,4
rule_075,0.25,3
rule_076,0.25,3
rule_077,0.25,3
rule_078,0.25,3
rule_079,7.739e-05,12920
rule_080,6.666e-05,15001
rule_081,0.33333333,2
rule_082,0.25,3
rule_083,4.532e-05,22064
rule_084,0.2,4
rule_085,6.242e-05,16019
rule_086,6.141e-05,16284
rule_087,0.2,4
rule_088,6.216e-05,16087
rule_089,1.0,0
rule_090,0.16666667,5
rule_091,1.0,0
rule_092,7.316e-05,13667
rule_093,9.348e-05,10696
rule_094,0.2,4
rule_095,8.249e-05,12122
rule_096,4.484e-05,22301
rule_097,8.265e-05,12098
rule_098,0.2,4
rule_099,0.33333333,2
rule_100,0.2,4
