rule_id,fitness,final_bit_count
rule_001,1.0,0
rule_002,1.0,0
rule_003,0.2,4
rule_004,0.25,3
rule_005,0.2,4
rule_006,1.0,0
rule_007,0.2,4
rule_008,0.16666667,5
rule_009,0.33333333,2
rule_010,0.2,4
rule_011,0.33333333,2
rule_012,0.25,3
rule_013,1.0,0
rule_014,0.25,3
rule_015,0.5,1
rule_016,0.2,4
rule_017,0.25,3
rule_018,0.33333333,2
rule_019,0.25,3
rule_020,0.33333333,2
rule_021,0.25,3
rule_022,0.33333333,2
rule_023,0.33333333,2
rule_024,1.0,0
rule_025,0.33333333,2
rule_026,1.0,0
rule_027,0.33333333,2
rule_028,1.0,0
rule_029,0.2,4
rule_030,0.5,1
rule_031,0.2,4
rule_032,0.25,3
rule_033,0.33333333,2
rule_034,1.0,0
rule_035,1.0,0
rule_036,1.0,0
rule_037,0.25,3
rule_038,0.2,4
rule_039,1.0,0
rule_040,1.0,0
rule_041,0.25,3
rule_042,0.2,4
rule_043,0.33333333,2
rule_044,1.0,0
rule_045,0.2,4
rule_046,0.16666667,5
rule_047,0.33333333,2
rule_048,0.5,1
rule_049,0.2,4
rule_050,0.5,1
rule_051,0.2,4
rule_052,0.25,3
rule_053,0.33333333,2
rule_054,1.0,0
rule_055,0.33333333,2
rule_056,0.25,3
rule_057,0.33333333,2
rule_058,0.2,4
rule_059,0.2,4
rule_060,0.25,3
rule_061,0.33333333,2
rule_062,0.5,1
rule_063,0.33333333,2
rule_064,0.33333333,2
rule_065,0.33333333,2
rule_066,1.0,0
rule_067,0.33333333,2
rule_068,0.33333333,2
rule_069,0.25,3
rule_070,0.5,1
rule_071,0.33333333,2
rule_072,0.25,3
rule_073,0.2,4
rule_074,0.5,1
rule_075,0.16666667,5
rule_076,0.33333333,2
rule_077,0.25,3
rule_078,0.2,4
rule_079,0.33333333,2
rule_080,0.25,3
rule_081,0.5,1
rule_082,1.0,0
rule_083,0.2,4
rule_084,0.5,1
rule_085,1.0,0
rule_086,0.25,3
rule_087,0.33333333,2
rule_088,0.33333333,2
rule_089,0.5,1
rule_090,0.25,3
rule_091,1.0,0
rule_092,0.2,4
rule_093,0.2,4
rule_094,0.25,3
rule_095,0.5,1
rule_096,0.25,3
rule_097,0.25,3
rule_098,0.2,4
rule_099,0.2,4
rule_100,1.0,0
