rule_id,fitness_score,kind,period,displacement,final_bit_count,dq,dr
rule_001,0.0,still_life,1,0.0,4,0.0,0.0
rule_002,0.0,exploded,0,0.0,3017,0.0,0.0
rule_003,0.0,still_life,1,0.0,4,0.0,0.0
rule_004,0.0,still_life,1,0.0,4,0.0,0.0
rule_005,0.0,still_life,1,0.0,4,0.0,0.0
rule_006,0.0,still_life,1,0.0,4,0.0,0.0
rule_007,0.0,still_life,1,0.0,4,0.0,0.0
rule_008,0.0,still_life,1,0.0,4,0.0,0.0
rule_009,0.0,still_life,1,0.0,5,0.0,0.0
rule_010,0.0,still_life,1,0.0,2,0.0,0.0
rule_011,0.0,still_life,1,0.0,5,0.0,0.0
rule_012,0.0,exploded,0,0.0,3001,0.0,0.0
rule_013,0.0,still_life,1,0.0,6,0.0,0.0
rule_014,0.0,exploded,0,0.0,3029,0.0,0.0
rule_015,0.0,exploded,0,0.0,3070,0.0,0.0
rule_016,0.0,exploded,0,0.0,3176,0.0,0.0
rule_017,0.0,still_life,1,0.0,2,0.0,0.0
rule_018,0.0,still_life,1,0.0,4,0.0,0.0
rule_019,0.0,still_life,1,0.0,4,0.0,0.0
rule_020,0.0,still_life,1,0.0,2,0.0,0.0
rule_021,0.0,still_life,1,0.0,5,0.0,0.0
rule_022,0.0,still_life,1,0.0,5,0.0,0.0
rule_023,0.0,still_life,1,0.0,3,0.0,0.0
rule_024,0.0,still_life,1,0.0,3,0.0,0.0
rule_025,0.0,still_life,1,0.0,4,0.0,0.0
rule_026,0.0,exploded,0,0.0,3192,0.0,0.0
rule_027,0.0,still_life,1,0.0,5,0.0,0.0
rule_028,0.0,exploded,0,0.0,3027,0.0,0.0
rule_029,0.0,still_life,1,0.0,4,0.0,0.0
rule_030,0.0,still_life,1,0.0,4,0.0,0.0
rule_031,0.0,still_life,1,0.0,4,0.0,0.0
rule_032,0.0,exploded,0,0.0,3011,0.0,0.0
rule_033,0.0,still_life,1,0.0,4,0.0,0.0
rule_034,0.0,exploded,0,0.0,3008,0.0,0.0
rule_035,0.0,still_life,1,0.0,3,0.0,0.0
rule_036,0.0,still_life,1,0.0,4,0.0,0.0
rule_037,0.0,still_life,1,0.0,4,0.0,0.0
rule_038,0.0,exploded,0,0.0,3156,0.0,0.0
rule_039,0.0,exploded,0,0.0,3010,0.0,0.0
rule_040,0.0,still_life,1,0.0,4,0.0,0.0
rule_041,0.0,still_life,1,0.0,4,0.0,0.0
rule_042,0.0,oscillator,2,0.0,4,0.0,0.0
rule_043,0.0,still_life,1,0.0,4,0.0,0.0
rule_044,0.0,still_life,1,0.0,4,0.0,0.0
rule_045,0.0,still_life,1,0.0,4,0.0,0.0
rule_046,0.0,still_life,1,0.0,3,0.0,0.0
rule_047,0.0,still_life,1,0.0,5,0.0,0.0
rule_048,0.0,still_life,1,0.0,1,0.0,0.0
rule_049,0.0,still_life,1,0.0,4,0.0,0.0
rule_050,0.0,still_life,1,0.0,3,0.0,0.0
rule_051,0.0,decayed,0,0.0,0,0.0,0.0
rule_052,0.0,still_life,1,0.0,4,0.0,0.0
rule_053,0.0,still_life,1,0.0,4,0.0,0.0
rule_054,0.0,exploded,0,0.0,3019,0.0,0.0
rule_055,0.0,still_life,1,0.0,4,0.0,0.0
rule_056,0.0,still_life,1,0.0,2,0.0,0.0
rule_057,0.0,still_life,1,0.0,3,0.0,0.0
rule_058,0.0,still_life,1,0.0,5,0.0,0.0
rule_059,0.0,still_life,1,0.0,4,0.0,0.0
rule_060,0.0,still_life,1,0.0,4,0.0,0.0
rule_061,0.0,still_life,1,0.0,4,0.0,0.0
rule_062,0.0,oscillator,2,0.0,4,0.0,0.0
rule_063,0.0,still_life,1,0.0,4,0.0,0.0
rule_064,0.0,still_life,1,0.0,4,0.0,0.0
rule_065,0.0,still_life,1,0.0,76,0.0,0.0
rule_066,0.0,still_life,1,0.0,3,0.0,0.0
rule_067,0.0,still_life,1,0.0,2,0.0,0.0
rule_068,0.0,still_life,1,0.0,4,0.0,0.0
rule_069,0.0,still_life,1,0.0,4,0.0,0.0
rule_070,0.0,exploded,0,0.0,3178,0.0,0.0
rule_071,0.0,exploded,0,0.0,3007,0.0,0.0
rule_072,0.0,exploded,0,0.0,3139,0.0,0.0
rule_073,0.0,exploded,0,0.0,3188,0.0,0.0
rule_074,0.0,still_life,1,0.0,4,0.0,0.0
rule_075,0.0,still_life,1,0.0,4,0.0,0.0
rule_076,0.0,still_life,1,0.0,6,0.0,0.0
rule_077,0.0,still_life,1,0.0,4,0.0,0.0
rule_078,0.0,still_life,1,0.0,4,0.0,0.0
rule_079,0.0,still_life,1,0.0,2,0.0,0.0
rule_080,0.0,still_life,1,0.0,4,0.0,0.0
rule_081,0.0,still_life,1,0.0,4,0.0,0.0
rule_082,0.0,exploded,0,0.0,3026,0.0,0.0
rule_083,0.0,exploded,0,0.0,3002,0.0,0.0
rule_084,0.0,still_life,1,0.0,4,0.0,0.0
rule_085,0.0,still_life,1,0.0,4,0.0,0.0
rule_086,0.0,still_life,1,0.0,3,0.0,0.0
rule_087,0.0,still_life,1,0.0,4,0.0,0.0
rule_088,0.0,still_life,1,0.0,4,0.0,0.0
rule_089,0.0,still_life,1,0.0,2,0.0,0.0
rule_090,0.0,still_life,1,0.0,4,0.0,0.0
rule_091,0.0,exploded,0,0.0,3172,0.0,0.0
rule_092,0.0,exploded,0,0.0,3191,0.0,0.0
rule_093,0.0,decayed,0,0.0,0,0.0,0.0
rule_094,0.0,still_life,1,0.0,4,0.0,0.0
rule_095,0.0,still_life,1,0.0,3,0.0,0.0
rule_096,0.0,still_life,1,0.0,4,0.0,0.0
rule_097,0.0,still_life,1,0.0,4,0.0,0.0
rule_098,0.0,still_life,1,0.0,2,0.0,0.0
rule_099,0.0,still_life,1,0.0,1,0.0,0.0
rule_100,0.0,exploded,0,0.0,3059,0.0,0.0
