step,displacement,bit_count,object_count
0,0.0,325,72
10,0.47924991,325,71
20,0.47924991,325,71
30,0.47924991,325,71
40,0.47924991,325,71
50,0.47924991,325,71
60,0.47924991,325,71
70,0.47924991,325,71
80,0.47924991,325,71
90,0.47924991,325,71
100,0.47924991,325,71
110,0.47924991,325,71
120,0.47924991,325,71
130,0.47924991,325,71
140,0.47924991,325,71
150,0.47924991,325,71
160,0.47924991,325,71
170,0.47924991,325,71
180,0.47924991,325,71
190,0.47924991,325,71
200,0.47924991,325,71
210,0.47924991,325,71
220,0.47924991,325,71
230,0.47924991,325,71
240,0.47924991,325,71
250,0.47924991,325,71
260,0.47924991,325,71
270,0.47924991,325,71
280,0.47924991,325,71
290,0.47924991,325,71
300,0.47924991,325,71
310,0.47924991,325,71
320,0.47924991,325,71
330,0.47924991,325,71
340,0.47924991,325,71
350,0.47924991,325,71
360,0.47924991,325,71
370,0.47924991,325,71
380,0.47924991,325,71
390,0.47924991,325,71
400,0.47924991,325,71
410,0.47924991,325,71
420,0.47924991,325,71
430,0.47924991,325,71
440,0.47924991,325,71
450,0.47924991,325,71
460,0.47924991,325,71
470,0.47924991,325,71
480,0.47924991,325,71
490,0.47924991,325,71
500,0.47924991,325,71
