rule_id,fitness,late_displacement,final_bits,final_objects,chaotic,viable
rule_000,0.0,0.0,310,74,False,False
rule_001,0.00020061,1.328618,6916,41,True,False
rule_002,3.102e-05,0.201384,6801,57,True,False
rule_003,0.00013426,1.104993,8374,252,True,False
rule_004,0.0,0.0,141,76,False,False
rule_005,8.15e-06,0.089838,9215,2202,True,False
rule_006,2.678e-05,0.28548,9484,1571,True,False
rule_007,0.00010962,1.323685,11594,877,True,False
rule_008,2.739e-05,0.318104,11713,296,True,False
rule_009,1.05e-06,0.014119,13126,677,True,False
rule_010,0.00022128,1.315714,6230,112,True,False
rule_011,1.51e-06,0.013415,8277,1023,True,False
rule_012,0.00011214,0.708023,6602,36,True,False
rule_013,0.0,0.0,12,10,False,False
rule_014,0.0007543,2.836936,2853,1304,True,False
rule_015,2.73e-06,0.03058,11450,137,True,False
rule_016,5.14e-05,0.390523,7438,555,True,False
rule_017,0.0,0.0,290,165,False,False
rule_018,7.807e-05,0.45985,6173,31,True,False
rule_019,5.25e-06,0.057281,11046,253,True,False
rule_020,0.0,0.0,166,71,False,False
rule_021,2.054e-05,0.237097,11572,370,True,False
rule_022,8.2e-07,0.009924,11717,796,True,False
rule_023,0.01238769,3.65437,85,18,False,True
rule_024,0.0,0.0,327,72,False,False
rule_025,0.0,0.0,197,133,False,False
rule_026,0.0,0.0,308,78,False,False
rule_027,0.0,0.0,484,71,False,False
rule_028,0.0,0.0,323,74,False,False
rule_029,3.19e-06,0.041221,13201,28,True,False
rule_030,0.0,0.0,294,84,False,False
rule_031,4.59e-06,0.052472,10940,898,True,False
rule_032,7.93e-06,0.122239,15695,125,True,False
rule_033,0.00083718,6.058669,6862,771,True,False
rule_034,0.0,0.0,9,4,False,False
rule_035,5.08e-05,0.311356,6080,445,True,False
rule_036,0.0,0.0,312,78,False,False
rule_037,0.00016845,1.340012,7096,1255,True,False
rule_038,4.966e-05,0.447604,9197,212,True,False
rule_039,0.00011241,0.704483,6479,184,True,False
rule_040,0.0,0.0,167,78,False,False
rule_041,3.246e-05,0.24854,7253,800,True,False
rule_042,1.03e-06,0.012151,12100,42,True,False
rule_043,0.0,0.0,57,13,False,False
rule_044,7.723e-05,0.908182,11880,275,True,False
rule_045,6.444e-05,0.588604,8967,563,True,False
rule_046,0.0,0.0,283,74,False,False
rule_047,9.29e-06,0.12468,13683,10,True,False
rule_048,0.0,0.0,314,71,False,False
rule_049,0.0,0.0,172,150,False,False
rule_050,0.00024311,1.521401,6570,60,True,False
rule_051,7.788e-05,0.300465,3306,948,True,False
rule_052,4.762e-05,0.443904,9345,373,True,False
rule_053,0.0002005,1.629274,7768,754,True,False
rule_054,9.49e-06,0.110598,9943,2107,True,False
rule_055,7.12e-06,0.092602,13290,28,True,False
rule_056,0.00012702,0.943736,7723,41,True,False
rule_057,0.00026879,1.912701,7079,433,True,False
rule_058,4.621e-05,0.500064,10624,593,True,False
rule_059,2.209e-05,0.243905,10524,913,True,False
rule_060,1.87e-06,0.025309,13805,102,True,False
rule_061,1.478e-05,0.173705,12017,135,True,False
rule_062,5.92e-06,0.106027,17978,331,True,False
rule_063,1.538e-05,0.170183,11077,387,True,False
rule_064,2.711e-05,0.310178,10937,899,True,False
rule_065,0.0001087,0.692515,6658,35,True,False
rule_066,0.00018074,1.100164,6387,96,True,False
rule_067,4.47e-05,0.37195,8249,468,True,False
rule_068,0.0,0.0,322,72,False,False
rule_069,5.468e-05,0.636824,11381,661,True,False
rule_070,0.00096612,6.132935,6258,486,True,False
rule_071,0.00061904,2.849456,4336,663,True,False
rule_072,4.72e-05,0.292059,5759,825,True,False
rule_073,0.0,0.0,159,149,False,False
rule_074,4.456e-05,0.516366,11720,265,True,False
rule_075,7.89e-05,0.881037,11017,546,True,False
rule_076,6.21e-06,0.062445,9736,711,True,False
rule_077,0.00010926,0.68964,6609,45,True,False
rule_078,0.0,0.0,280,73,False,False
rule_079,2.943e-05,0.348633,12047,197,True,False
rule_080,0.00040141,2.297263,5008,1111,True,False
rule_081,0.00010217,0.67639,6932,84,True,False
rule_082,1.27e-06,0.014626,11802,88,True,False
rule_083,0.00025,1.236745,4671,672,True,False
rule_084,0.0,0.0,170,136,False,False
rule_085,0.0,0.0,306,85,False,False
rule_086,3.6e-07,0.003998,10858,582,True,False
rule_087,0.00015304,0.952079,5897,720,True,False
rule_088,4.4e-07,0.005611,12137,1143,True,False
rule_089,0.00062117,3.876108,5583,1053,True,False
rule_090,0.00014878,1.345377,8714,725,True,False
rule_091,4.821e-05,0.41583,8368,654,True,False
rule_092,1.076e-05,0.134297,12621,254,True,False
rule_093,1.9e-07,0.003752,20192,3,True,False
rule_094,0.0,0.0,298,81,False,False
rule_095,0.00020447,1.87151,9065,484,True,False
rule_096,4.048e-05,0.575221,14474,11,True,False
rule_097,2.46e-06,0.043806,18092,12,True,False
rule_098,0.00020202,1.413705,6589,805,True,False
rule_099,2.6e-06,0.032171,12614,146,True,False
