rule_id,fitness,late_displacement,final_bits,final_objects,chaotic,viable
rule_000,0.0,0.0,325,72,False,False
rule_001,7.654e-05,0.718455,9659,20,True,False
rule_002,6.463e-05,0.487283,7720,216,True,False
rule_003,0.0,0.0,175,136,False,False
rule_004,1.657e-05,0.092899,5898,38,True,False
rule_005,0.0,0.0,322,73,False,False
rule_006,0.0,0.0,324,72,False,False
rule_007,0.0,0.0,450,75,False,False
rule_008,0.0,0.0,313,78,False,False
rule_009,8.292e-05,0.445715,5515,256,True,False
rule_010,2.841e-05,0.289131,10456,27,True,False
rule_011,0.0,0.0,10643,1431,True,False
rule_012,0.00021833,1.111087,4553,932,True,False
rule_013,0.0,0.0,168,136,False,False
rule_014,0.0,0.0,477,71,False,False
rule_015,0.00016205,0.659381,4343,122,True,False
rule_016,0.0,0.0,479,72,False,False
rule_017,0.0,0.0,325,72,False,False
rule_018,0.0,0.0,162,135,False,False
rule_019,0.00020208,1.210049,6289,95,True,False
rule_020,0.0,0.0,164,146,False,False
rule_021,0.003683,8.423026,1759,924,True,False
rule_022,8.69e-05,0.637294,7352,378,True,False
rule_023,0.00047058,2.252652,4380,803,True,False
rule_024,0.0,0.0,327,71,False,False
rule_025,0.0,0.0,182,137,False,False
rule_026,0.0,0.0,320,74,False,False
rule_027,8.901e-05,0.673907,7577,390,True,False
rule_028,4.764e-05,0.3138,6888,49,True,False
rule_029,0.0,0.0,325,72,False,False
rule_030,1.059e-05,0.081967,6695,1441,True,False
rule_031,0.0,0.0,327,72,False,False
rule_032,0.0,0.0,327,71,False,False
rule_033,0.0001646,1.207207,7634,48,True,False
rule_034,3.371e-05,0.224972,5879,1191,True,False
rule_035,0.0,0.0,368,77,False,False
rule_036,0.00016146,1.044336,6072,792,True,False
rule_037,0.00019421,1.276122,6536,431,True,False
rule_038,9.595e-05,0.790519,7286,1349,True,False
rule_039,2.22e-06,0.021716,9502,694,True,False
rule_040,0.0,0.0,483,72,False,False
rule_041,0.00010812,0.68744,6649,39,True,False
rule_042,0.00021196,1.259257,6214,123,True,False
rule_043,0.00020417,1.229689,6329,54,True,False
rule_044,0.00019478,1.449774,7737,42,True,False
rule_045,0.0,0.0,312,78,False,False
rule_046,3.1e-06,0.032753,10277,678,True,False
rule_047,0.0,0.0,337,138,False,False
rule_048,1.14e-06,0.014177,12462,399,True,False
rule_049,6.001e-05,0.630514,10800,41,True,False
rule_050,7.219e-05,0.014655,193,142,False,True
rule_051,0.0,0.0,23,13,False,False
rule_052,0.0,0.0,327,72,False,False
rule_053,0.0,0.0,184,72,False,False
rule_054,0.0,0.0,355,71,False,False
rule_055,0.0,0.0,311,78,False,False
rule_056,0.0,0.0,495,71,False,False
rule_057,6.796e-05,0.666933,10006,204,True,False
rule_058,0.0,0.0,281,150,False,False
rule_059,0.0,0.0,327,71,False,False
rule_060,5.5e-05,0.333168,6324,14,True,False
rule_061,0.00078562,1.667081,1607,911,True,False
rule_062,0.0,0.0,318,72,False,False
rule_063,0.0,0.0,315,77,False,False
rule_064,7.948e-05,0.420824,5610,63,True,False
rule_065,0.0,0.0,326,72,False,False
rule_066,2.1e-06,0.022387,10557,496,True,False
rule_067,2.76e-05,0.304836,11312,14,True,False
rule_068,0.0,0.0,191,141,False,False
rule_069,0.0,0.0,294,80,False,False
rule_070,0.0,0.0,167,136,False,False
rule_071,0.00013369,0.538624,3443,982,True,False
rule_072,0.0,0.0,325,72,False,False
rule_073,0.0,0.0,317,72,False,False
rule_074,0.0,0.0,14055,589,True,False
rule_075,0.0,0.0,167,140,False,False
rule_076,0.0,0.0,314,73,False,False
rule_077,6.04e-06,0.061518,9616,973,True,False
rule_078,0.0,0.0,330,72,False,False
rule_079,0.0,0.0,311,78,False,False
rule_080,0.0,0.0,291,75,False,False
rule_081,8.547e-05,0.454624,5452,263,True,False
rule_082,0.0,0.0,294,72,False,False
rule_083,1.094e-05,0.129333,12093,128,True,False
rule_084,0.0,0.0,317,72,False,False
rule_085,0.0,0.0,315,73,False,False
rule_086,0.0,0.0,48,19,False,False
rule_087,8.977e-05,0.879338,10105,58,True,False
rule_088,0.02771506,0.859167,318,95,False,True
rule_089,9.56e-05,0.720534,7842,53,True,False
rule_090,2.48e-06,0.028412,11727,36,True,False
rule_091,0.00020926,1.250741,6191,182,True,False
rule_092,0.0,0.0,477,73,False,False
rule_093,0.00027178,1.258598,3926,1101,True,False
rule_094,0.00014981,1.144701,7950,57,True,False
rule_095,0.0,0.0,495,71,False,False
rule_096,0.0,0.0,493,72,False,False
rule_097,0.0,0.0,341,147,False,False
rule_098,0.0,0.0,189,72,False,False
rule_099,0.0,0.0,327,72,False,False
