rule_id,fitness,late_displacement,final_bits,final_objects,chaotic,viable
rule_000,0.00024912,1.693269,7106,87,True,False
rule_001,0.0,0.0,324,73,False,False
rule_002,0.0,0.0,496,73,False,False
rule_003,0.00013486,0.899082,6923,140,True,False
rule_004,7.29e-05,0.01458,194,140,False,True
rule_005,0.0,0.0,309,77,False,False
rule_006,0.00156254,0.293758,201,135,False,True
rule_007,0.0,0.0,324,73,False,False
rule_008,0.0,0.0,324,73,False,False
rule_009,0.0,0.0,330,99,False,False
rule_010,0.02839845,0.993946,316,97,False,True
rule_011,0.0,0.0,323,74,False,False
rule_012,0.02771506,0.859167,318,95,False,True
rule_013,0.0,0.0,172,139,False,False
rule_014,0.0,0.0,318,78,False,False
rule_015,0.0,0.0,205,132,False,False
rule_016,0.01805245,0.559626,316,93,False,True
rule_017,7.219e-05,0.014655,193,142,False,True
rule_018,0.00152361,0.303199,194,139,False,True
rule_019,0.0,0.0,490,73,False,False
rule_020,0.0,0.0,324,73,False,False
rule_021,0.0,0.0,300,76,False,False
rule_022,0.0,0.0,491,73,False,False
rule_023,0.00033223,2.758809,7667,1033,True,False
rule_024,0.0,0.0,306,78,False,False
rule_025,0.02771506,0.859167,318,95,False,True
rule_026,0.0,0.0,463,80,False,False
rule_027,0.0,0.0,500,71,False,False
rule_028,0.0,0.0,464,79,False,False
rule_029,0.0,0.0,492,74,False,False
rule_030,0.01323803,2.501988,429,156,False,True
rule_031,0.02771506,0.859167,318,95,False,True
rule_032,0.0,0.0,318,73,False,False
rule_033,0.0,0.0,326,72,False,False
rule_034,0.03804293,0.836944,335,83,False,True
rule_035,0.0,0.0,498,73,False,False
rule_036,7.925e-05,0.593451,6109,1775,True,False
rule_037,0.0,0.0,326,72,False,False
rule_038,0.00030278,1.194764,4181,161,True,False
rule_039,0.02771506,0.859167,318,95,False,True
rule_040,7.219e-05,0.014655,193,142,False,True
rule_041,0.0,0.0,326,102,False,False
rule_042,0.0,0.0,308,79,False,False
rule_043,0.0,0.0,175,138,False,False
rule_044,0.0,0.0,335,71,False,False
rule_045,0.0,0.0,157,147,False,False
rule_046,0.0,0.0,312,74,False,False
rule_047,9.169e-05,0.80611,9076,32,True,False
rule_048,0.0,0.0,175,138,False,False
rule_049,0.0,0.0,14439,144,True,False
rule_050,6.483e-05,0.460282,6967,529,True,False
rule_051,0.0,0.0,466,79,False,False
rule_052,0.02771506,0.859167,318,95,False,True
rule_053,0.0,0.0,327,72,False,False
rule_054,0.0,0.0,297,83,False,False
rule_055,0.0,0.0,324,73,False,False
rule_056,0.0,0.0,324,72,False,False
rule_057,0.0,0.0,506,71,False,False
rule_058,0.0,0.0,466,79,False,False
rule_059,0.0,0.0,372,71,False,False
rule_060,0.0,0.0,329,98,False,False
rule_061,0.0,0.0,498,73,False,False
rule_062,0.0,0.0,326,72,False,False
rule_063,0.0,0.0,328,72,False,False
rule_064,0.0,0.0,335,72,False,False
rule_065,0.0,0.0,194,142,False,False
rule_066,3.676e-05,0.372206,10426,50,True,False
rule_067,0.00025135,1.58075,6392,293,True,False
rule_068,0.00019064,1.002555,4071,1584,True,False
rule_069,0.0,0.0,472,76,False,False
rule_070,0.0,0.0,330,99,False,False
rule_071,0.0,0.0,464,78,False,False
rule_072,0.0,0.0,325,72,False,False
rule_073,0.02771506,0.859167,318,95,False,True
rule_074,7.219e-05,0.014655,193,142,False,True
rule_075,0.0,0.0,500,71,False,False
rule_076,0.0,0.0,159,148,False,False
rule_077,0.0,0.0,175,138,False,False
rule_078,0.02771506,0.859167,318,95,False,True
rule_079,0.0,0.0,24,10,False,False
rule_080,0.00105003,0.01785,310,71,False,True
rule_081,0.00156254,0.293758,201,135,False,True
rule_082,0.00032568,2.202556,6970,189,True,False
rule_083,0.0,0.0,504,73,False,False
rule_084,0.0,0.0,312,74,False,False
rule_085,0.00021327,1.275804,6244,134,True,False
rule_086,0.0,0.0,157,147,False,False
rule_087,0.0,0.0,324,73,False,False
rule_088,0.0,0.0,156,148,False,False
rule_089,0.0,0.0,466,79,False,False
rule_090,0.0,0.0,194,139,False,False
rule_091,0.00024913,1.489072,5811,562,True,False
rule_092,0.0,0.0,197,140,False,False
rule_093,0.0,0.0,174,147,False,False
rule_094,0.00025813,1.023724,4226,136,True,False
rule_095,0.0,0.0,492,71,False,False
rule_096,7.219e-05,0.014655,193,142,False,True
rule_097,0.02771506,0.859167,318,95,False,True
rule_098,0.00025086,1.501659,6260,122,True,False
rule_099,0.02771506,0.859167,318,95,False,True
