rule_id,fitness,final_bits,final_objects,displacement_100_200
rule_000,0.28374171,316,93,0.559626
rule_001,0.43426001,318,95,0.859167
rule_002,0.0,158,148,0.0
rule_003,0.56420162,343,81,1.159651
rule_004,0.56420162,343,81,1.159651
rule_005,0.0,338,140,0.0
rule_006,0.0,323,74,0.0
rule_007,0.0,158,148,0.0
rule_008,0.50395057,316,97,0.993946
rule_009,0.19759304,314,157,0.388498
rule_010,0.0,156,148,0.0
rule_011,1.33193795,78,37,1.651603
rule_012,0.28374171,316,93,0.559626
rule_013,0.0,322,72,0.0
rule_014,0.43426001,318,95,0.859167
rule_015,0.43426001,318,95,0.859167
rule_016,0.43426001,318,95,0.859167
rule_017,0.43426001,318,95,0.859167
rule_018,0.43426001,318,95,0.859167
rule_019,0.41213175,335,83,0.836944
rule_020,0.0,158,148,0.0
rule_021,0.0,330,99,0.0
rule_022,0.43426001,318,95,0.859167
rule_023,0.0,498,73,0.0
rule_024,0.0,498,73,0.0
rule_025,0.0,158,148,0.0
rule_026,0.19759304,314,157,0.388498
rule_027,0.0,324,102,0.0
rule_028,0.0,321,73,0.0
rule_029,0.43426001,318,95,0.859167
rule_030,0.43426001,318,95,0.859167
rule_031,0.43426001,318,95,0.859167
rule_032,0.28374171,316,93,0.559626
rule_033,0.28374171,316,93,0.559626
rule_034,0.19277295,318,153,0.381394
rule_035,0.0,320,74,0.0
rule_036,0.0,159,148,0.0
rule_037,0.0,498,73,0.0
rule_038,0.19277295,318,153,0.381394
rule_039,0.43426001,318,95,0.859167
rule_040,0.0,320,101,0.0
rule_041,0.50395057,316,97,0.993946
rule_042,0.0,323,74,0.0
rule_043,0.43426001,318,95,0.859167
rule_044,0.19277295,318,153,0.381394
rule_045,0.0,330,99,0.0
rule_046,0.43426001,318,95,0.859167
rule_047,0.0,10600,259,0.266308
rule_048,0.50395057,316,97,0.993946
rule_049,0.0,310,74,0.0
rule_050,0.0,288,90,0.0
rule_051,0.19759304,314,157,0.388498
rule_052,0.43426001,318,95,0.859167
rule_053,0.41213175,335,83,0.836944
rule_054,0.43426001,318,95,0.859167
rule_055,0.0,330,99,0.0
rule_056,0.43426001,318,95,0.859167
rule_057,0.0,463,79,0.0
rule_058,0.0,320,101,0.0
rule_059,0.19759304,314,157,0.388498
rule_060,0.19277295,318,153,0.381394
rule_061,0.43426001,318,95,0.859167
rule_062,0.43426001,318,95,0.859167
rule_063,0.0,498,73,0.0
rule_064,0.0,323,74,0.0
rule_065,0.41094882,682,192,1.273309
rule_066,0.0,338,140,0.0
rule_067,0.43426001,318,95,0.859167
rule_068,0.0,332,82,0.0
rule_069,0.0,321,73,0.0
rule_070,0.56420162,343,81,1.159651
rule_071,0.56420162,343,81,1.159651
rule_072,0.0,463,79,0.0
rule_073,0.43426001,318,95,0.859167
rule_074,0.43426001,318,95,0.859167
rule_075,0.0,321,73,0.0
rule_076,0.0,323,74,0.0
rule_077,0.43426001,318,95,0.859167
rule_078,0.0,323,74,0.0
rule_079,0.0,323,74,0.0
rule_080,0.50395057,316,97,0.993946
rule_081,0.43426001,318,95,0.859167
rule_082,0.43426001,318,95,0.859167
rule_083,0.41213175,335,83,0.836944
rule_084,0.0,498,73,0.0
rule_085,0.0,332,82,0.0
rule_086,0.43426001,318,95,0.859167
rule_087,0.0,156,148,0.0
rule_088,0.50395057,316,97,0.993946
rule_089,0.0,498,73,0.0
rule_090,0.50395057,316,97,0.993946
rule_091,0.43426001,318,95,0.859167
rule_092,0.41213175,335,83,0.836944
rule_093,0.43426001,318,95,0.859167
rule_094,0.0,156,148,0.0
rule_095,0.43426001,318,95,0.859167
rule_096,0.43426001,318,95,0.859167
rule_097,0.0,323,74,0.0
rule_098,0.0,1839,473,6.089667
rule_099,0.0,498,73,0.0
