step,bit_count,object_count,com_q,com_r,displacement
0,325,72,77.710769,75.258462,0.0
20,78,37,73.435897,66.948718,9.3448578
40,80,37,75.0875,66.95,8.71275356
60,78,38,73.435897,66.948718,9.3448578
80,78,37,73.435897,66.948718,9.3448578
100,80,37,75.0875,66.95,8.71275356
120,78,38,73.435897,66.948718,9.3448578
140,78,37,73.435897,66.948718,9.3448578
160,80,37,75.0875,66.95,8.71275356
180,78,38,73.435897,66.948718,9.3448578
200,78,37,73.435897,66.948718,9.3448578
220,80,37,75.0875,66.95,8.71275356
240,78,38,73.435897,66.948718,9.3448578
260,78,37,73.435897,66.948718,9.3448578
280,80,37,75.0875,66.95,8.71275356
300,78,38,73.435897,66.948718,9.3448578
320,78,37,73.435897,66.948718,9.3448578
340,80,37,75.0875,66.95,8.71275356
360,78,38,73.435897,66.948718,9.3448578
380,78,37,73.435897,66.948718,9.3448578
400,80,37,75.0875,66.95,8.71275356
420,78,38,73.435897,66.948718,9.3448578
440,78,37,73.435897,66.948718,9.3448578
460,80,37,75.0875,66.95,8.71275356
480,78,38,73.435897,66.948718,9.3448578
500,78,37,73.435897,66.948718,9.3448578
520,80,37,75.0875,66.95,8.71275356
540,78,38,73.435897,66.948718,9.3448578
560,78,37,73.435897,66.948718,9.3448578
580,80,37,75.0875,66.95,8.71275356
600,78,38,73.435897,66.948718,9.3448578
620,78,37,73.435897,66.948718,9.3448578
640,80,37,75.0875,66.95,8.71275356
660,78,38,73.435897,66.948718,9.3448578
680,78,37,73.435897,66.948718,9.3448578
700,80,37,75.0875,66.95,8.71275356
720,78,38,73.435897,66.948718,9.3448578
740,78,37,73.435897,66.948718,9.3448578
760,80,37,75.0875,66.95,8.71275356
780,78,38,73.435897,66.948718,9.3448578
800,78,37,73.435897,66.948718,9.3448578
820,80,37,75.0875,66.95,8.71275356
840,78,38,73.435897,66.948718,9.3448578
860,78,37,73.435897,66.948718,9.3448578
880,80,37,75.0875,66.95,8.71275356
900,78,38,73.435897,66.948718,9.3448578
920,78,37,73.435897,66.948718,9.3448578
940,80,37,75.0875,66.95,8.71275356
960,78,38,73.435897,66.948718,9.3448578
980,78,37,73.435897,66.948718,9.3448578
1000,80,37,75.0875,66.95,8.71275356
