object_id, type, period, bit_count, com_q, com_r
1, still-life, 1, 9, 90.56, 31.44
2, oscillator, 4, 4, 26.25, 39.00
3, oscillator, 3, 6, 25.33, 42.33
4, still-life, 1, 1, 144.00, 77.00
5, oscillator, 4, 11, 89.00, 61.00
6, still-life, 1, 1, 114.00, 118.00
7, still-life, 1, 1, 31.00, 56.00
8, still-life, 1, 1, 111.00, 119.00
9, oscillator, 3, 6, 139.50, 67.00
10, still-life, 1, 1, 112.00, 93.00
11, still-life, 1, 1, 144.00, 79.00
12, still-life, 1, 7, 45.00, 143.00
13, still-life, 1, 1, 34.00, 53.00
14, still-life, 1, 3, 82.67, 72.67
15, still-life, 1, 1, 81.00, 75.00
16, still-life, 1, 3, 82.00, 76.00
17, still-life, 1, 1, 12.00, 88.00
18, still-life, 1, 1, 111.00, 121.00
19, still-life, 1, 1, 112.00, 95.00
20, still-life, 1, 1, 109.00, 96.00
21, still-life, 1, 1, 12.00, 90.00
22, still-life, 1, 1, 109.00, 98.00
23, still-life, 1, 1, 50.00, 23.00
24, still-life, 1, 1, 147.00, 74.00
25, still-life, 1, 1, 29.00, 21.00
26, still-life, 1, 1, 47.00, 26.00
27, still-life, 1, 1, 50.00, 25.00
28, still-life, 1, 1, 9.00, 91.00
29, still-life, 1, 1, 147.00, 76.00
30, still-life, 1, 1, 26.00, 24.00
31, still-life, 1, 1, 29.00, 23.00
32, still-life, 1, 1, 47.00, 28.00
33, still-life, 1, 1, 9.00, 93.00
34, still-life, 1, 1, 26.00, 26.00
35, still-life, 1, 1, 34.00, 51.00
36, still-life, 1, 1, 114.00, 116.00
37, still-life, 1, 1, 31.00, 54.00
