rule_id,fitness,displacement,bit_ratio,bits_100,bits_200
rule_090,0.00592729,0.326594,55.1,503,551
rule_000,0.0,0.0,2.2,22,22
rule_001,0.0,0.0,2.2,22,22
rule_002,0.0,0.0,2.2,22,22
rule_003,0.0,0.0,2.2,22,22
rule_004,0.0,0.0,2.2,22,22
rule_005,0.0,0.0,2.2,22,22
rule_006,0.0,0.0,2.2,22,22
rule_007,0.0,0.0,2.2,22,22
rule_008,0.0,0.0,2.2,22,22
rule_009,0.0,0.0,2.2,22,22
rule_010,0.0,0.0,2.2,22,22
rule_011,0.0,0.0,2.2,22,22
rule_012,0.0,0.0,2.2,22,22
rule_013,0.0,0.0,2.2,22,22
rule_014,0.0,0.0,2.2,22,22
rule_015,0.0,0.0,2.2,22,22
rule_016,0.0,0.0,2.2,22,22
rule_017,0.0,0.0,2.2,22,22
rule_018,0.0,0.0,2.2,22,22
rule_019,0.0,0.0,2.2,22,22
rule_020,0.0,0.0,2.2,22,22
rule_021,0.0,0.0,2.2,22,22
rule_022,0.0,0.0,2.2,22,22
rule_023,0.0,0.0,2.2,22,22
rule_024,0.0,0.0,2.2,22,22
rule_025,0.0,0.0,2.2,22,22
rule_026,0.0,0.0,2.2,22,22
rule_027,0.0,0.0,2.2,22,22
rule_028,0.0,0.0,2.2,22,22
rule_029,0.0,0.0,2.2,22,22
rule_030,0.0,0.0,2.2,22,22
rule_031,0.0,0.0,2.2,22,22
rule_032,0.0,0.0,2.2,22,22
rule_033,0.0,0.0,2.2,22,22
rule_034,0.0,0.0,2.2,22,22
rule_035,0.0,0.0,2.2,22,22
rule_036,0.0,0.0,2.2,22,22
rule_037,0.0,0.0,2.2,22,22
rule_038,0.0,0.0,2.2,22,22
rule_039,0.0,0.0,2.2,22,22
rule_040,0.0,0.0,2.2,22,22
rule_041,0.0,0.0,2.2,22,22
rule_042,0.0,0.0,2.2,22,22
rule_043,0.0,0.0,2.2,22,22
rule_044,0.0,0.0,2.2,22,22
rule_045,0.0,0.0,2.2,22,22
rule_046,0.0,0.0,2.2,22,22
rule_047,0.0,0.0,2.2,22,22
rule_048,0.0,0.0,2.2,22,22
rule_049,0.0,0.0,2.2,22,22
rule_050,0.0,0.0,2.2,22,22
rule_051,0.0,0.0,2.2,22,22
rule_052,0.0,0.0,2.2,22,22
rule_053,0.0,0.0,2.2,22,22
rule_054,0.0,0.0,2.2,22,22
rule_055,0.0,0.0,2.2,22,22
rule_056,0.0,0.0,2.2,22,22
rule_057,0.0,0.0,2.2,22,22
rule_058,0.0,0.0,2.2,22,22
rule_059,0.0,0.0,2.2,22,22
rule_060,0.0,0.0,2.2,22,22
rule_061,0.0,0.0,2.2,22,22
rule_062,0.0,0.0,2.2,22,22
rule_063,0.0,0.0,2.2,22,22
rule_064,0.0,0.0,2.2,22,22
rule_065,0.0,0.0,2.2,22,22
rule_066,0.0,0.0,2.2,22,22
rule_067,0.0,0.0,2.2,22,22
rule_068,0.0,0.0,2.2,22,22
rule_069,0.0,0.0,2.2,22,22
rule_070,0.0,0.0,2.2,22,22
rule_071,0.0,0.0,2.2,22,22
rule_072,0.0,0.0,2.2,22,22
rule_073,0.0,0.0,2.2,22,22
rule_074,0.0,0.0,2.2,22,22
rule_075,0.0,0.0,2.2,22,22
rule_076,0.0,0.0,2.2,22,22
rule_077,0.0,0.0,2.2,22,22
rule_078,0.0,0.0,2.2,22,22
rule_079,0.0,0.0,2.2,22,22
rule_080,0.0,0.0,2.2,22,22
rule_081,0.0,0.0,2.2,22,22
rule_082,0.0,0.0,5.1,51,51
rule_083,0.0,0.0,2.2,22,22
rule_084,0.0,0.0,2.2,22,22
rule_085,0.0,0.0,2.2,22,22
rule_086,0.0,0.0,2.2,22,22
rule_087,0.0,0.0,2.2,22,22
rule_088,0.0,0.0,2.2,22,22
rule_089,0.0,0.0,2.2,22,22
rule_091,0.0,0.0,2.2,22,22
rule_092,0.0,0.0,2.2,22,22
rule_093,0.0,0.0,2.2,22,22
rule_094,0.0,0.0,2.2,22,22
rule_095,0.0,0.0,2.2,22,22
rule_096,0.0,0.0,2.2,22,22
rule_097,0.0,0.0,2.2,22,22
rule_098,0.0,0.0,2.2,22,22
rule_099,0.0,0.0,2.2,22,22
