rule_id,fitness,displacement,bit_ratio,bits_100,bits_200,viable
rule_000,0.0,0.0,2.1,21,21,False
rule_001,0.00047133,0.049678,105.4,1052,1054,False
rule_002,0.0,0.0,45.7,457,457,False
rule_003,0.01793993,1.829873,102.0,898,1020,False
rule_004,0.0,0.0,1.4,14,14,False
rule_005,0.00036619,0.045444,124.1,1239,1241,False
rule_006,0.00400162,0.440178,110.0,1086,1100,False
rule_007,0.00184648,0.233211,126.3,1192,1263,False
rule_008,0.0014468,0.223531,154.5,1561,1545,False
rule_009,7.12e-06,0.001462,205.2,2052,2052,False
rule_010,0.00208093,0.176463,84.8,798,848,False
rule_011,0.00065142,0.067944,104.3,1041,1043,False
rule_012,0.0,0.0,45.1,451,451,False
rule_013,0.0,0.0,2.2,22,22,False
rule_014,0.1693096,5.570286,32.9,247,329,False
rule_015,0.00035045,0.055266,157.7,1579,1577,False
rule_016,0.02408481,2.25193,93.5,851,935,False
rule_017,0.0,0.0,1.6,16,16,False
rule_018,0.0275636,1.582151,57.4,523,574,False
rule_019,0.0,0.0,150.7,1507,1507,False
rule_020,0.0,0.0,1.6,16,16,False
rule_021,0.00257054,0.401261,156.1,1544,1561,False
rule_022,0.0,0.0,154.6,1546,1546,False
rule_023,0.0,0.0,2.4,24,24,False
rule_024,0.0,0.0,2.4,24,24,False
rule_025,0.0,0.0,1.2,12,12,False
rule_026,0.0,0.0,1.9,19,19,False
rule_027,0.0,0.0,2.5,25,25,False
rule_028,0.0,0.0,2.3,23,23,False
rule_029,3.834e-05,0.006695,174.6,1743,1746,False
rule_030,0.0,0.0,2.5,25,25,False
rule_031,0.0,0.0,154.7,1547,1547,False
rule_032,0.00114708,0.234464,204.4,2027,2044,False
rule_033,0.21236325,3.227921,15.2,165,152,False
rule_034,0.0,0.0,1.4,14,14,False
rule_035,0.0,0.0,44.9,449,449,False
rule_036,0.0,0.0,2.0,20,20,False
rule_037,0.0,0.0,45.2,452,452,False
rule_038,0.0,0.0,12.0,120,120,False
rule_039,0.0,0.0,45.6,456,456,False
rule_040,0.0,0.0,2.0,20,20,False
rule_041,0.00730406,0.68366,93.6,917,936,False
rule_042,0.0,0.0,160.1,1601,1601,False
rule_043,0.0,0.0,1.9,19,19,False
rule_044,0.00286384,0.456783,159.5,1584,1595,False
rule_045,0.01037204,0.965637,93.1,866,931,False
rule_046,0.0,0.0,2.0,20,20,False
rule_047,0.00049808,0.090153,181.0,1799,1810,False
rule_048,0.0,0.0,1.7,17,17,False
rule_049,0.0,0.0,2.0,20,20,False
rule_050,0.00408681,0.360457,88.2,834,882,False
rule_051,0.10816163,1.946909,18.0,135,180,False
rule_052,0.03630594,2.657595,73.2,604,732,False
rule_053,0.20857659,3.608375,17.3,163,173,False
rule_054,0.00026648,0.036455,136.8,1369,1368,False
rule_055,0.00093639,0.169487,181.0,1798,1810,False
rule_056,0.00763553,0.689488,90.3,771,903,False
rule_057,0.01100439,1.169767,106.3,979,1063,False
rule_058,0.00097966,0.136663,139.5,1424,1395,False
rule_059,0.00070051,0.100522,143.5,1435,1435,False
rule_060,7.948e-05,0.014672,184.6,1845,1846,False
rule_061,0.00182276,0.28745,157.7,1560,1577,False
rule_062,0.00099637,0.236239,237.1,2352,2371,False
rule_063,0.00226387,0.333242,147.2,1487,1472,False
rule_064,0.0013099,0.192032,146.6,1469,1466,False
rule_065,0.0,0.0,45.7,457,457,False
rule_066,0.01529937,1.343285,87.8,802,878,False
rule_067,0.0,0.0,45.5,455,455,False
rule_068,0.0,0.0,2.3,23,23,False
rule_069,0.0052792,0.832529,157.7,1553,1577,False
rule_070,0.01367957,1.346069,98.4,915,984,False
rule_071,0.12237203,3.181673,26.0,222,260,False
rule_072,0.00439413,0.180159,41.0,407,410,False
rule_073,0.0,0.0,2.8,28,28,False
rule_074,0.00125308,0.191471,152.8,1552,1528,False
rule_075,0.00368673,0.558539,151.5,1459,1515,False
rule_076,0.00102687,0.139449,135.8,1352,1358,False
rule_077,0.0,0.0,45.4,454,454,False
rule_078,0.0,0.0,1.7,17,17,False
rule_079,0.00645457,1.018531,157.8,1592,1578,False
rule_080,0.29541164,2.126964,7.2,77,72,False
rule_081,0.0,0.0,45.1,451,451,False
rule_082,0.00016544,0.026288,158.9,1598,1589,False
rule_083,0.02708643,1.267645,46.8,505,468,False
rule_084,0.0,0.0,1.7,17,17,False
rule_085,0.0,0.0,1.9,19,19,False
rule_086,0.0,0.0,152.6,1526,1526,False
rule_087,0.03022159,1.613833,53.4,492,534,False
rule_088,0.0,0.0,148.7,1487,1487,False
rule_089,0.02402146,1.938531,80.7,706,807,False
rule_090,0.23036501,3.179037,13.8,160,138,False
rule_091,0.02089343,2.388119,114.3,997,1143,False
rule_092,0.00080095,0.137282,171.4,1708,1714,False
rule_093,0.0,0.0,273.2,2732,2732,False
rule_094,0.0,0.0,1.7,17,17,False
rule_095,0.02294651,0.844432,36.8,372,368,False
rule_096,0.00153527,0.303369,197.6,1904,1976,False
rule_097,0.00081755,0.198664,243.0,2413,2430,False
rule_098,0.01830586,0.942752,51.5,526,515,False
rule_099,7.333e-05,0.01243,169.5,1697,1695,False
