rule_id,fitness,displacement,bit_ratio,bits_100,bits_200,viable
rule_000,0.0,0.0,2.2,22,22,False
rule_001,0.00933166,0.273418,29.3,305,293,False
rule_002,0.0,0.0,2.2,22,22,False
rule_003,0.0,0.0,2.1,21,21,False
rule_004,0.0,0.0,2.3,23,23,False
rule_005,0.0,0.0,2.2,22,22,False
rule_006,0.01411997,0.79919,56.6,489,566,False
rule_007,0.0,0.0,2.3,23,23,False
rule_008,0.0,0.0,2.2,22,22,False
rule_009,0.0,0.0,2.2,22,22,False
rule_010,0.01535761,1.346862,87.7,802,877,False
rule_011,0.0,0.0,2.2,22,22,False
rule_012,0.0,0.0,3.1,31,31,False
rule_013,0.0,0.0,8.2,82,82,False
rule_014,0.02815354,1.593491,56.6,516,566,False
rule_015,0.0,0.0,2.2,22,22,False
rule_016,0.0,0.0,2.1,21,21,False
rule_017,0.0,0.0,2.3,23,23,False
rule_018,0.0,0.0,2.3,23,23,False
rule_019,0.0,0.0,2.3,23,23,False
rule_020,0.0,0.0,2.2,22,22,False
rule_021,0.0,0.0,2.3,23,23,False
rule_022,0.0,0.0,2.2,22,22,False
rule_023,0.0,0.0,2.2,22,22,False
rule_024,0.0,0.0,2.2,22,22,False
rule_025,0.01538926,1.3481,87.6,801,876,False
rule_026,0.01535761,1.346862,87.7,802,877,False
rule_027,0.01412416,0.799428,56.6,489,566,False
rule_028,0.0,0.0,2.0,20,20,False
rule_029,0.0,0.0,2.3,23,23,False
rule_030,0.01412452,0.799448,56.6,489,566,False
rule_031,0.0,0.0,2.5,25,25,False
rule_032,0.0,0.0,2.1,21,21,False
rule_033,0.0,0.0,2.2,22,22,False
rule_034,0.0,0.0,3.2,32,32,False
rule_035,0.0,0.0,2.2,22,22,False
rule_036,0.0,0.0,3.1,31,31,False
rule_037,0.0,0.0,2.0,20,20,False
rule_038,0.0,0.0,2.2,22,22,False
rule_039,0.0,0.0,2.0,20,20,False
rule_040,0.0,0.0,2.4,24,24,False
rule_041,0.0,0.0,2.9,29,29,False
rule_042,0.0,0.0,2.1,21,21,False
rule_043,0.0,0.0,2.3,23,23,False
rule_044,0.0,0.0,2.3,23,23,False
rule_045,0.0,0.0,2.2,22,22,False
rule_046,0.0,0.0,2.2,22,22,False
rule_047,0.0,0.0,2.2,22,22,False
rule_048,0.00642207,0.380186,59.2,549,592,False
rule_049,0.01417172,0.800702,56.5,488,565,False
rule_050,0.01198016,0.733186,61.2,589,612,False
rule_051,0.0,0.0,1.8,18,18,False
rule_052,0.0,0.0,2.2,22,22,False
rule_053,0.0,0.0,2.0,20,20,False
rule_054,0.0,0.0,143.9,1439,1439,False
rule_055,0.0,0.0,2.2,22,22,False
rule_056,0.0,0.0,2.4,24,24,False
rule_057,0.0,0.0,2.2,22,22,False
rule_058,0.0,0.0,2.2,22,22,False
rule_059,0.01433906,0.805855,56.2,485,562,False
rule_060,0.0,0.0,2.2,22,22,False
rule_061,0.0,0.0,2.2,22,22,False
rule_062,0.0,0.0,1.7,17,17,False
rule_063,0.0,0.0,2.2,22,22,False
rule_064,0.01546459,1.348512,87.2,796,872,False
rule_065,0.0,0.0,50.4,504,504,False
rule_066,0.0,0.0,1.9,19,19,False
rule_067,0.0,0.0,2.2,22,22,False
rule_068,0.01417172,0.800702,56.5,488,565,False
rule_069,0.0,0.0,2.2,22,22,False
rule_070,0.0,0.0,45.9,459,459,False
rule_071,0.0,0.0,2.2,22,22,False
rule_072,0.0,0.0,2.2,22,22,False
rule_073,0.0,0.0,2.1,21,21,False
rule_074,0.0,0.0,2.2,22,22,False
rule_075,0.0,0.0,2.2,22,22,False
rule_076,0.0,0.0,2.2,22,22,False
rule_077,0.0,0.0,1.8,18,18,False
rule_078,0.0,0.0,2.2,22,22,False
rule_079,0.0,0.0,2.2,22,22,False
rule_080,0.0,0.0,2.2,22,22,False
rule_081,0.0,0.0,2.2,22,22,False
rule_082,0.0,0.0,2.3,23,23,False
rule_083,0.0,0.0,2.1,21,21,False
rule_084,0.0,0.0,2.3,23,23,False
rule_085,0.0,0.0,2.2,22,22,False
rule_086,0.0,0.0,2.1,21,21,False
rule_087,0.0,0.0,2.2,22,22,False
rule_088,0.0,0.0,2.5,25,25,False
rule_089,0.0,0.0,2.2,22,22,False
rule_090,0.0,0.0,2.1,21,21,False
rule_091,0.0,0.0,2.0,20,20,False
rule_092,0.0,0.0,2.2,22,22,False
rule_093,0.0,0.0,2.5,25,25,False
rule_094,0.0,0.0,2.4,24,24,False
rule_095,0.0,0.0,2.2,22,22,False
rule_096,0.0,0.0,2.2,22,22,False
rule_097,0.0,0.0,2.1,21,21,False
rule_098,0.0,0.0,2.2,22,22,False
rule_099,0.0,0.0,2.1,21,21,False
