rule_id,fitness,displacement,bit_ratio,bits_100,bits_200,viable
rule_000,0.0,0.0,2.0,20,20,False
rule_001,0.012996,0.825246,63.5,611,635,False
rule_002,0.02253703,0.827109,36.7,358,367,False
rule_003,0.0,0.0,1.9,19,19,False
rule_004,0.0048084,0.273117,56.8,516,568,False
rule_005,0.0,0.0,1.9,19,19,False
rule_006,0.0,0.0,2.3,23,23,False
rule_007,0.0,0.0,2.2,22,22,False
rule_008,0.0,0.0,2.2,22,22,False
rule_009,0.01465128,0.830727,56.7,539,567,False
rule_010,0.01030329,1.077725,104.6,926,1046,False
rule_011,0.0,0.0,151.8,1518,1518,False
rule_012,1.15406807,6.924408,6.0,71,60,False
rule_013,0.0,0.0,2.1,21,21,False
rule_014,0.0,0.0,2.2,22,22,False
rule_015,0.23374577,4.978785,21.3,155,213,False
rule_016,0.0,0.0,3.0,30,30,False
rule_017,0.0,0.0,2.0,20,20,False
rule_018,0.0,0.0,2.3,23,23,False
rule_019,0.01406392,1.132146,80.5,781,805,False
rule_020,0.0,0.0,2.4,24,24,False
rule_021,0.11133481,3.796517,34.1,287,341,False
rule_022,0.01448287,0.815386,56.3,481,563,False
rule_023,0.01502048,0.462631,30.8,283,308,False
rule_024,0.0,0.0,1.9,19,19,False
rule_025,0.0,0.0,2.3,23,23,False
rule_026,0.0,0.0,2.1,21,21,False
rule_027,0.0,0.0,50.6,506,506,False
rule_028,0.0,0.0,45.6,456,456,False
rule_029,0.0,0.0,2.3,23,23,False
rule_030,0.00580753,0.604564,104.1,959,1041,False
rule_031,0.0,0.0,2.0,20,20,False
rule_032,0.0,0.0,2.3,23,23,False
rule_033,0.00014461,0.006566,45.4,453,454,False
rule_034,0.0,0.0,45.7,457,457,False
rule_035,0.0,0.0,3.2,32,32,False
rule_036,0.00474085,0.267858,56.5,513,565,False
rule_037,0.02279281,1.271839,55.8,565,558,False
rule_038,0.00167029,0.159847,95.7,823,957,False
rule_039,0.00641697,0.836131,130.3,1245,1303,False
rule_040,0.0,0.0,3.0,30,30,False
rule_041,0.0,0.0,45.6,456,456,False
rule_042,0.01538869,1.348049,87.6,801,876,False
rule_043,0.00412715,0.361539,87.6,865,876,False
rule_044,0.02034744,1.023476,50.3,480,503,False
rule_045,0.0,0.0,2.2,22,22,False
rule_046,0.00015725,0.021906,139.3,1387,1393,False
rule_047,0.0,0.0,2.9,29,29,False
rule_048,0.00024103,0.041794,173.4,1734,1734,False
rule_049,0.00716141,1.061321,148.2,1246,1482,False
rule_050,0.0,0.0,2.0,20,20,False
rule_051,0.0,0.0,2.4,24,24,False
rule_052,0.0,0.0,2.0,20,20,False
rule_053,0.0,0.0,2.1,21,21,False
rule_054,0.0,0.0,2.4,24,24,False
rule_055,0.0,0.0,2.5,25,25,False
rule_056,0.0,0.0,2.2,22,22,False
rule_057,0.03027636,1.659145,54.8,495,548,False
rule_058,0.0,0.0,1.8,18,18,False
rule_059,0.0,0.0,2.2,22,22,False
rule_060,0.01690325,1.022647,60.5,575,605,False
rule_061,1.23850134,6.811757,5.5,68,55,False
rule_062,0.0,0.0,2.0,20,20,False
rule_063,0.0,0.0,2.2,22,22,False
rule_064,0.01418124,0.80124,56.5,488,565,False
rule_065,0.0,0.0,2.1,21,21,False
rule_066,0.0,0.0,147.2,1472,1472,False
rule_067,0.00737411,0.705702,95.7,1010,957,False
rule_068,0.0,0.0,2.2,22,22,False
rule_069,0.0,0.0,1.7,17,17,False
rule_070,0.0,0.0,1.6,16,16,False
rule_071,0.124481,3.149369,25.3,179,253,False
rule_072,0.0,0.0,2.1,21,21,False
rule_073,0.0,0.0,2.2,22,22,False
rule_074,4.593e-05,0.010499,228.6,2286,2286,False
rule_075,0.0,0.0,2.3,23,23,False
rule_076,0.0,0.0,1.9,19,19,False
rule_077,0.00869095,0.943838,108.6,960,1086,False
rule_078,0.0,0.0,2.4,24,24,False
rule_079,0.0,0.0,2.4,24,24,False
rule_080,0.0,0.0,1.9,19,19,False
rule_081,0.01415314,0.799652,56.5,488,565,False
rule_082,0.0,0.0,1.9,19,19,False
rule_083,8.197e-05,0.014926,182.1,1825,1821,False
rule_084,0.0,0.0,2.2,22,22,False
rule_085,0.0,0.0,2.3,23,23,False
rule_086,0.0,0.0,1.8,18,18,False
rule_087,0.03116598,1.284038,41.2,378,412,False
rule_088,0.0,0.0,2.2,22,22,False
rule_089,0.0,0.0,50.5,505,505,False
rule_090,0.00019185,0.030236,157.6,1580,1576,False
rule_091,0.01385463,1.323117,95.5,880,955,False
rule_092,0.0,0.0,2.5,25,25,False
rule_093,0.0517059,2.487054,48.1,426,481,False
rule_094,0.0,0.0,6.8,68,68,False
rule_095,0.0,0.0,1.8,18,18,False
rule_096,0.0,0.0,2.2,22,22,False
rule_097,0.0,0.0,2.7,27,27,False
rule_098,0.0,0.0,2.8,28,28,False
rule_099,0.0,0.0,1.9,19,19,False
