rule_name,displacement,bit_ratio,linear_fitness,quadratic_fitness
rule_061,6.811757,5.5000,1.23850127,0.32055327
rule_012,6.924408,6.0000,1.15406800,0.26632338
rule_015,4.978785,21.3000,0.23374577,0.01205254
rule_071,3.149369,25.3000,0.12448099,0.00532447
rule_021,3.796517,34.1000,0.11133481,0.00346205
rule_093,2.487054,48.1000,0.05170590,0.00112059
rule_087,1.284038,41.2000,0.03116597,0.00079407
rule_002,0.827109,36.7000,0.02253703,0.00064846
rule_057,1.659145,54.8000,0.03027637,0.00057302
rule_023,0.462631,30.8000,0.01502049,0.00052037
rule_037,1.271839,55.8000,0.02279281,0.00042338
rule_044,1.023476,50.3000,0.02034744,0.00042093
rule_060,1.022647,60.5000,0.01690326,0.00028878
rule_009,0.830727,56.7000,0.01465127,0.00026768
rule_022,0.815386,56.3000,0.01448288,0.00026655
rule_064,0.801240,56.5000,0.01418124,0.00026004
rule_081,0.799652,56.5000,0.01415313,0.00025952
rule_001,0.825246,63.5000,0.01299600,0.00021121
rule_042,1.348049,87.6000,0.01538869,0.00017973
rule_019,1.132146,80.5000,0.01406393,0.00017910
rule_091,1.323117,95.5000,0.01385463,0.00014814
rule_010,1.077725,104.6000,0.01030330,0.00010040
rule_004,0.273117,56.8000,0.00480840,0.00008769
rule_036,0.267858,56.5000,0.00474085,0.00008693
rule_077,0.943838,108.6000,0.00869096,0.00008151
rule_067,0.705702,95.7000,0.00737411,0.00007868
rule_030,0.604564,104.1000,0.00580753,0.00005687
rule_039,0.836131,130.3000,0.00641697,0.00005001
rule_049,1.061321,148.2000,0.00716141,0.00004898
rule_043,0.361539,87.6000,0.00412716,0.00004820
rule_038,0.159847,95.7000,0.00167029,0.00001782
rule_033,0.006566,45.4000,0.00014463,0.00000333
rule_048,0.041794,173.4000,0.00024103,0.00000141
rule_090,0.030236,157.6000,0.00019185,0.00000123
rule_046,0.021906,139.3000,0.00015726,0.00000115
rule_083,0.014926,182.1000,0.00008197,0.00000046
rule_074,0.010499,228.6000,0.00004593,0.00000020
rule_000,0.000000,2.0000,0.00000000,0.00000000
rule_003,0.000000,1.9000,0.00000000,0.00000000
rule_005,0.000000,1.9000,0.00000000,0.00000000
rule_006,0.000000,2.3000,0.00000000,0.00000000
rule_007,0.000000,2.2000,0.00000000,0.00000000
rule_008,0.000000,2.2000,0.00000000,0.00000000
rule_011,0.000000,151.8000,0.00000000,0.00000000
rule_013,0.000000,2.1000,0.00000000,0.00000000
rule_014,0.000000,2.2000,0.00000000,0.00000000
rule_016,0.000000,3.0000,0.00000000,0.00000000
rule_017,0.000000,2.0000,0.00000000,0.00000000
rule_018,0.000000,2.3000,0.00000000,0.00000000
rule_020,0.000000,2.4000,0.00000000,0.00000000
rule_024,0.000000,1.9000,0.00000000,0.00000000
rule_025,0.000000,2.3000,0.00000000,0.00000000
rule_026,0.000000,2.1000,0.00000000,0.00000000
rule_027,0.000000,50.6000,0.00000000,0.00000000
rule_028,0.000000,45.6000,0.00000000,0.00000000
rule_029,0.000000,2.3000,0.00000000,0.00000000
rule_031,0.000000,2.0000,0.00000000,0.00000000
rule_032,0.000000,2.3000,0.00000000,0.00000000
rule_034,0.000000,45.7000,0.00000000,0.00000000
rule_035,0.000000,3.2000,0.00000000,0.00000000
rule_040,0.000000,3.0000,0.00000000,0.00000000
rule_041,0.000000,45.6000,0.00000000,0.00000000
rule_045,0.000000,2.2000,0.00000000,0.00000000
rule_047,0.000000,2.9000,0.00000000,0.00000000
rule_050,0.000000,2.0000,0.00000000,0.00000000
rule_051,0.000000,2.4000,0.00000000,0.00000000
rule_052,0.000000,2.0000,0.00000000,0.00000000
rule_053,0.000000,2.1000,0.00000000,0.00000000
rule_054,0.000000,2.4000,0.00000000,0.00000000
rule_055,0.000000,2.5000,0.00000000,0.00000000
rule_056,0.000000,2.2000,0.00000000,0.00000000
rule_058,0.000000,1.8000,0.00000000,0.00000000
rule_059,0.000000,2.2000,0.00000000,0.00000000
rule_062,0.000000,2.0000,0.00000000,0.00000000
rule_063,0.000000,2.2000,0.00000000,0.00000000
rule_065,0.000000,2.1000,0.00000000,0.00000000
rule_066,0.000000,147.2000,0.00000000,0.00000000
rule_068,0.000000,2.2000,0.00000000,0.00000000
rule_069,0.000000,1.7000,0.00000000,0.00000000
rule_070,0.000000,1.6000,0.00000000,0.00000000
rule_072,0.000000,2.1000,0.00000000,0.00000000
rule_073,0.000000,2.2000,0.00000000,0.00000000
rule_075,0.000000,2.3000,0.00000000,0.00000000
rule_076,0.000000,1.9000,0.00000000,0.00000000
rule_078,0.000000,2.4000,0.00000000,0.00000000
rule_079,0.000000,2.4000,0.00000000,0.00000000
rule_080,0.000000,1.9000,0.00000000,0.00000000
rule_082,0.000000,1.9000,0.00000000,0.00000000
rule_084,0.000000,2.2000,0.00000000,0.00000000
rule_085,0.000000,2.3000,0.00000000,0.00000000
rule_086,0.000000,1.8000,0.00000000,0.00000000
rule_088,0.000000,2.2000,0.00000000,0.00000000
rule_089,0.000000,50.5000,0.00000000,0.00000000
rule_092,0.000000,2.5000,0.00000000,0.00000000
rule_094,0.000000,6.8000,0.00000000,0.00000000
rule_095,0.000000,1.8000,0.00000000,0.00000000
rule_096,0.000000,2.2000,0.00000000,0.00000000
rule_097,0.000000,2.7000,0.00000000,0.00000000
rule_098,0.000000,2.8000,0.00000000,0.00000000
rule_099,0.000000,1.9000,0.00000000,0.00000000
