rule_id,fitness,bit_ratio,displacement_100_200
rule_000,0.0,0.956923,0.0
rule_001,0.01725039,0.858462,0.017596
rule_002,0.0035161,0.947692,0.003526
rule_003,0.82190632,0.907692,0.82891
rule_004,0.48783843,2.566154,1.684427
rule_005,0.0,0.963077,0.0
rule_006,0.70031208,0.941538,0.702706
rule_007,0.0,1.015385,0.0
rule_008,2.78363638,1.215385,2.912771
rule_009,0.46744514,0.821538,0.482333
rule_010,0.0,0.104615,0.0
rule_011,0.00478032,0.901538,0.004827
rule_012,0.70031208,0.941538,0.702706
rule_013,0.0,0.923077,0.0
rule_014,0.47015252,2.547692,1.596333
rule_015,0.0,0.818462,0.0
rule_016,0.70031208,0.941538,0.702706
rule_017,0.73077873,0.489231,0.921428
rule_018,0.00476281,12.735385,0.660693
rule_019,0.00478032,0.901538,0.004827
rule_020,1.92845149,2.347692,5.431049
rule_021,0.46744514,0.821538,0.482333
rule_022,0.47015252,2.547692,1.596333
rule_023,0.26252185,0.578462,0.309171
rule_024,0.0,0.052308,0.0
rule_025,0.01725039,0.858462,0.017596
rule_026,0.0,0.818462,0.0
rule_027,0.48783843,2.566154,1.684427
rule_028,0.0,0.409231,0.0
rule_029,0.0,0.818462,0.0
rule_030,0.46744514,0.821538,0.482333
rule_031,0.47015252,2.547692,1.596333
rule_032,0.73077873,0.489231,0.921428
rule_033,0.46744514,0.821538,0.482333
rule_034,0.70031208,0.941538,0.702706
rule_035,0.0,0.818462,0.0
rule_036,0.0,1.021538,0.0
rule_037,0.47015252,2.547692,1.596333
rule_038,0.31057492,0.889231,0.314386
rule_039,0.70031208,0.941538,0.702706
rule_040,0.48783843,2.566154,1.684427
rule_041,0.73077873,0.489231,0.921428
rule_042,0.0,1.012308,0.0
rule_043,4.46907467,1.750769,6.988088
rule_044,0.46744514,0.821538,0.482333
rule_045,2.2e-06,37.378462,0.002917
rule_046,0.70031208,0.941538,0.702706
rule_047,0.0,0.818462,0.0
rule_048,0.31043813,0.889231,0.314247
rule_049,1.15236793,2.966154,5.607147
rule_050,0.73077873,0.489231,0.921428
rule_051,0.48783843,2.566154,1.684427
rule_052,0.01624837,10.073846,1.354053
rule_053,0.0,0.966154,0.0
rule_054,0.48783843,2.566154,1.684427
rule_055,0.0,0.4,0.0
rule_056,0.0,0.470769,0.0
rule_057,2.15638322,3.335385,13.917343
rule_058,0.48783843,2.566154,1.684427
rule_059,0.00503732,0.843077,0.005161
rule_060,0.31043813,0.889231,0.314247
rule_061,0.48783843,2.566154,1.684427
rule_062,0.26252185,0.578462,0.309171
rule_063,0.47015252,2.547692,1.596333
rule_064,0.0,0.495385,0.0
rule_065,0.46744514,0.821538,0.482333
rule_066,0.47015252,2.547692,1.596333
rule_067,0.48783843,2.566154,1.684427
rule_068,4.39505618,1.76,6.933641
rule_069,0.68242303,0.572308,0.807252
rule_070,0.22155939,0.873846,0.225085
rule_071,0.00478032,0.901538,0.004827
rule_072,0.26252185,0.578462,0.309171
rule_073,0.47015252,2.547692,1.596333
rule_074,0.22155939,0.873846,0.225085
rule_075,0.0,0.403077,0.0
rule_076,0.00476281,12.735385,0.660693
rule_077,6.54976991,1.304615,7.157527
rule_078,0.48783843,2.566154,1.684427
rule_079,0.70031208,0.941538,0.702706
rule_080,4.46907467,1.750769,6.988088
rule_081,0.00473309,12.861538,0.670661
rule_082,0.0,0.947692,0.0
rule_083,0.47015252,2.547692,1.596333
rule_084,0.0,0.846154,0.0
rule_085,4.39505618,1.76,6.933641
rule_086,4.39505618,1.76,6.933641
rule_087,0.46744514,0.821538,0.482333
rule_088,0.47015252,2.547692,1.596333
rule_089,0.73077873,0.489231,0.921428
rule_090,0.0,0.113846,0.0
rule_091,0.0,0.575385,0.0
rule_092,0.46744514,0.821538,0.482333
rule_093,0.48783843,2.566154,1.684427
rule_094,0.00478032,0.901538,0.004827
rule_095,0.73077873,0.489231,0.921428
rule_096,0.0,0.569231,0.0
rule_097,0.0,0.104615,0.0
rule_098,4.39505618,1.76,6.933641
rule_099,0.0,0.569231,0.0
