step,live_cell_count,com_q,com_r,total_displacement
0,325,77.7108,75.2585,26.154991
20,376,80.008,71.8324,22.289773
40,445,80.1708,69.191,19.673256
60,506,80.1146,67.3933,17.937607
80,581,83.1721,65.7814,15.837178
100,650,88.4554,64.6154,15.141154
120,711,92.4304,63.7286,15.854465
140,786,96.2634,62.8868,17.448364
160,855,99.2,62.2339,19.12482
180,916,100.8712,61.7041,20.124676
200,991,99.5994,61.1897,18.79365
220,1056,98.6468,60.75,17.767777
240,1062,99.1714,60.0556,17.786608
260,1078,98.9416,59.3173,17.186327
280,1091,98.0302,58.637,16.051975
300,1092,96.4625,58.043,14.414951
320,1065,93.8469,57.7005,12.110437
340,1036,90.2461,57.3137,9.30099
360,998,89.0651,56.8156,8.203246
380,958,92.2213,56.2714,9.947303
400,935,93.6813,55.9059,10.916749
420,934,93.697,55.8887,10.920671
440,934,93.7088,55.8951,10.934054
460,935,93.6813,55.9059,10.916749
480,934,93.697,55.8887,10.920671
500,934,93.7088,55.8951,10.934054
520,935,93.6813,55.9059,10.916749
540,934,93.697,55.8887,10.920671
560,934,93.7088,55.8951,10.934054
580,935,93.6813,55.9059,10.916749
600,934,93.697,55.8887,10.920671
620,934,93.7088,55.8951,10.934054
640,935,93.6813,55.9059,10.916749
660,934,93.697,55.8887,10.920671
680,934,93.7088,55.8951,10.934054
700,935,93.6813,55.9059,10.916749
720,934,93.697,55.8887,10.920671
740,934,93.7088,55.8951,10.934054
760,935,93.6813,55.9059,10.916749
780,934,93.697,55.8887,10.920671
800,934,93.7088,55.8951,10.934054
820,935,93.6813,55.9059,10.916749
840,934,93.697,55.8887,10.920671
860,934,93.7088,55.8951,10.934054
880,935,93.6813,55.9059,10.916749
900,934,93.697,55.8887,10.920671
920,934,93.7088,55.8951,10.934054
940,935,93.6813,55.9059,10.916749
960,934,93.697,55.8887,10.920671
980,934,93.7088,55.8951,10.934054
1000,935,93.6813,55.9059,10.916749
