rule_id,fitness,bit_ratio,displacement_400_800
rule_000,0.61113234,2.350769,1.726191
rule_001,0.61113234,2.350769,1.726191
rule_002,0.61113234,2.350769,1.726191
rule_003,0.61113234,2.350769,1.726191
rule_004,4.36845701,2.107692,9.728476
rule_005,0.0,0.403077,0.0
rule_006,0.0,1.021538,0.0
rule_007,0.4887172,2.332308,1.356212
rule_008,0.0,0.876923,0.0
rule_009,0.4887172,2.332308,1.356212
rule_010,0.00091558,12.950769,0.131679
rule_011,0.0,0.403077,0.0
rule_012,0.4887172,2.332308,1.356212
rule_013,0.4887172,2.332308,1.356212
rule_014,0.61113234,2.350769,1.726191
rule_015,4.0786328,1.516923,5.168482
rule_016,6.4793321,1.584615,8.693807
rule_017,0.0,1.021538,0.0
rule_018,0.61113234,2.350769,1.726191
rule_019,0.61113234,2.350769,1.726191
rule_020,0.61113234,2.350769,1.726191
rule_021,0.61113234,2.350769,1.726191
rule_022,0.0,0.403077,0.0
rule_023,0.61113234,2.350769,1.726191
rule_024,0.0,1.021538,0.0
rule_025,0.61113234,2.350769,1.726191
rule_026,0.61113234,2.350769,1.726191
rule_027,4.260103,1.504615,5.344882
rule_028,0.4887172,2.332308,1.356212
rule_029,0.4887172,2.332308,1.356212
rule_030,0.4887172,2.332308,1.356212
rule_031,0.4887172,2.332308,1.356212
rule_032,0.4887172,2.332308,1.356212
rule_033,0.4887172,2.332308,1.356212
rule_034,0.61113234,2.350769,1.726191
rule_035,0.61113234,2.350769,1.726191
rule_036,0.61113234,2.350769,1.726191
rule_037,0.49538763,1.049231,0.496588
rule_038,0.00091558,12.950769,0.131679
rule_039,0.4887172,2.332308,1.356212
rule_040,0.61113234,2.350769,1.726191
rule_041,0.61113234,2.350769,1.726191
rule_042,0.61113234,2.350769,1.726191
rule_043,0.6342355,2.356923,1.802015
rule_044,0.4887172,2.332308,1.356212
rule_045,0.0,0.953846,0.0
rule_046,0.4887172,2.332308,1.356212
rule_047,0.61113234,2.350769,1.726191
rule_048,4.260103,1.504615,5.344882
rule_049,0.6342355,2.356923,1.802015
rule_050,0.56782857,2.369231,1.63239
rule_051,0.4887172,2.332308,1.356212
rule_052,0.61113234,2.350769,1.726191
rule_053,4.260103,1.504615,5.344882
rule_054,0.0,0.409231,0.0
rule_055,4.260103,1.504615,5.344882
rule_056,0.61113234,2.350769,1.726191
rule_057,0.0,1.021538,0.0
rule_058,0.56782857,2.369231,1.63239
rule_059,0.13699101,3.046154,0.710537
rule_060,0.00091558,12.950769,0.131679
rule_061,0.61113234,2.350769,1.726191
rule_062,0.6342355,2.356923,1.802015
rule_063,0.4887172,2.332308,1.356212
rule_064,4.260103,1.504615,5.344882
rule_065,0.61113234,2.350769,1.726191
rule_066,4.260103,1.504615,5.344882
rule_067,0.0,1.021538,0.0
rule_068,4.260103,1.504615,5.344882
rule_069,2.76504876,1.593846,3.740152
rule_070,0.61113234,2.350769,1.726191
rule_071,0.4887172,2.332308,1.356212
rule_072,0.61113234,2.350769,1.726191
rule_073,0.84652573,2.043077,1.767554
rule_074,0.4887172,2.332308,1.356212
rule_075,0.0,1.021538,0.0
rule_076,0.61113234,2.350769,1.726191
rule_077,0.61113234,2.350769,1.726191
rule_078,0.4887172,2.332308,1.356212
rule_079,0.4887172,2.332308,1.356212
rule_080,0.01206012,8.92,0.768548
rule_081,0.0033697,1.227692,0.003544
rule_082,4.0786328,1.516923,5.168482
rule_083,0.4887172,2.332308,1.356212
rule_084,0.61113234,2.350769,1.726191
rule_085,0.4887172,2.332308,1.356212
rule_086,0.4887172,2.332308,1.356212
rule_087,4.260103,1.504615,5.344882
rule_088,0.4887172,2.332308,1.356212
rule_089,0.61113234,2.350769,1.726191
rule_090,0.61113234,2.350769,1.726191
rule_091,0.0,0.403077,0.0
rule_092,6.4793321,1.584615,8.693807
rule_093,1.08956353,2.04,2.268035
rule_094,0.61113234,2.350769,1.726191
rule_095,0.56782857,2.369231,1.63239
rule_096,0.6342355,2.356923,1.802015
rule_097,0.0,0.403077,0.0
rule_098,4.260103,1.504615,5.344882
rule_099,0.4887172,2.332308,1.356212
