rule_id,fitness,std_dev,total_displacement,velocities,annihilated
rule_001,0.87803617,0.13890524,0.320788,0.3208;0.0000;0.0000;0.0000,0
rule_002,0.81377361,0.22884299,0.52849,0.5285;0.0000;0.0000;0.0000,0
rule_003,0.80536964,0.24166587,0.643165,0.5792;0.0316;0.0169;0.0155,0
rule_004,0.82347471,0.21436637,0.495058,0.4951;0.0000;0.0000;0.0000,0
rule_005,0.87258107,0.14602532,0.337231,0.3372;0.0000;0.0000;0.0000,0
rule_006,0.86676022,0.15372162,0.355005,0.3550;0.0000;0.0000;0.0000,0
rule_007,0.84261573,0.1867806,0.526833,0.4551;0.0156;0.0303;0.0258,0
rule_008,0.81518388,0.22671709,0.523581,0.5236;0.0000;0.0000;0.0000,0
rule_009,0.84247213,0.18698289,0.431818,0.4318;0.0000;0.0000;0.0000,0
rule_010,0.77695507,0.28707571,0.662973,0.6630;0.0000;0.0000;0.0000,0
rule_011,0.85469109,0.17001336,0.568292,0.4362;0.0569;0.0407;0.0345,0
rule_012,0.80498513,0.24225897,0.663747,0.5853;0.0195;0.0197;0.0392,0
rule_013,0.83696196,0.19479744,0.449865,0.4499;0.0000;0.0000;0.0000,0
rule_014,0.91419117,0.09386312,0.394648,0.2576;0.0630;0.0133;0.0608,0
rule_015,0.95393221,0.04829252,0.149659,0.1209;0.0054;0.0116;0.0117,0
rule_016,0.80644548,0.24000943,0.589563,0.5631;0.0125;0.0090;0.0049,0
rule_017,0.82141512,0.21741124,0.50209,0.5021;0.0000;0.0000;0.0000,0
rule_018,0.70364931,0.42116249,0.972633,0.9726;0.0000;0.0000;0.0000,0
rule_019,0.74408133,0.34393911,0.794293,0.7943;0.0000;0.0000;0.0000,0
rule_020,0.86040292,0.16224617,0.374691,0.3747;0.0000;0.0000;0.0000,0
rule_021,0.86645273,0.15413105,0.35595,0.3560;0.0000;0.0000;0.0000,0
rule_022,0.675217,0.48100537,1.110834,1.1108;0.0000;0.0000;0.0000,0
rule_023,0.92501092,0.08106832,0.187219,0.1872;0.0000;0.0000;0.0000,0
rule_024,0.98097217,0.01939691,0.044795,0.0448;0.0000;0.0000;0.0000,0
rule_025,0.89796722,0.1136264,0.35016,0.2836;0.0221;0.0361;0.0084,0
rule_026,0.78311099,0.2769582,0.879808,0.6977;0.0573;0.0274;0.0974,0
rule_027,0.69012571,0.44901137,1.036947,1.0369;0.0000;0.0000;0.0000,0
rule_028,0.87035161,0.14896093,0.344011,0.3440;0.0000;0.0000;0.0000,0
rule_029,0.65482358,0.52712889,1.801119,1.3536;0.2121;0.2111;0.0243,0
rule_030,0.6584502,0.51871775,1.517464,1.2748;0.1096;0.1213;0.0118,0
rule_031,0.69796529,0.43273601,1.126419,1.0307;0.0463;0.0412;0.0082,0
rule_032,0.81579572,0.22579706,0.521456,0.5215;0.0000;0.0000;0.0000,0
rule_033,0.87249009,0.14614483,0.533624,0.3856;0.0523;0.0303;0.0655,0
rule_034,0.625848,0.59783206,1.520161,1.4155;0.0316;0.0435;0.0296,0
rule_035,0.86588877,0.15488274,0.440836,0.3782;0.0118;0.0313;0.0195,0
rule_036,0.65135015,0.53527255,1.236159,1.2362;0.0000;0.0000;0.0000,0
rule_037,0.85795697,0.16555962,0.583827,0.4318;0.0654;0.0291;0.0575,0
rule_038,0.87624613,0.14123186,0.326161,0.3262;0.0000;0.0000;0.0000,0
rule_039,0.82930305,0.20583181,0.475348,0.4753;0.0000;0.0000;0.0000,0
rule_040,0.8194234,0.22037033,0.561086,0.5219;0.0189;0.0080;0.0122,0
rule_041,0.73735691,0.35619533,0.822598,0.8226;0.0000;0.0000;0.0000,0
rule_042,0.93836166,0.06568719,0.151698,0.1517;0.0000;0.0000;0.0000,0
rule_043,0.78096387,0.28046897,0.845419,0.6967;0.0441;0.0677;0.0369,0
rule_044,0.78805111,0.26895322,0.621121,0.6211;0.0000;0.0000;0.0000,0
rule_045,0.69527993,0.43826962,1.01214,1.0121;0.0000;0.0000;0.0000,0
rule_046,0.90020556,0.11085739,0.314792,0.2706;0.0108;0.0131;0.0203,0
rule_047,0.79911323,0.25138711,0.721164,0.6153;0.0243;0.0524;0.0292,0
rule_048,0.7773344,0.28644763,0.675742,0.6651;0.0049;0.0053;0.0004,0
rule_049,0.86826068,0.15172784,0.3504,0.3504;0.0000;0.0000;0.0000,0
rule_050,0.92823155,0.0773174,0.178557,0.1786;0.0000;0.0000;0.0000,0
rule_051,0.81590428,0.22563397,0.521079,0.5211;0.0000;0.0000;0.0000,0
rule_052,0.91526106,0.09258445,0.213815,0.2138;0.0000;0.0000;0.0000,0
rule_053,0.7548419,0.32478072,0.750049,0.7500;0.0000;0.0000;0.0000,0
rule_054,0.82631055,0.21019876,0.485433,0.4854;0.0000;0.0000;0.0000,0
rule_055,0.75444961,0.32546957,0.75164,0.7516;0.0000;0.0000;0.0000,0
rule_056,0.70149016,0.42553675,1.077684,1.0063;0.0089;0.0268;0.0357,0
rule_057,0.89595517,0.11612727,0.268184,0.2682;0.0000;0.0000;0.0000,0
rule_058,0.90132699,0.10947526,0.299557,0.2644;0.0176;0.0120;0.0056,0
rule_059,0.76136064,0.31343801,0.723854,0.7239;0.0000;0.0000;0.0000,0
rule_060,0.81599967,0.22549069,0.520748,0.5207;0.0000;0.0000;0.0000,0
rule_061,0.66837698,0.49616164,1.216141,1.1634;0.0124;0.0185;0.0218,0
rule_062,0.86871091,0.15113093,0.349022,0.3490;0.0000;0.0000;0.0000,0
rule_063,0.82040955,0.21890341,0.505536,0.5055;0.0000;0.0000;0.0000,0
rule_064,0.97534139,0.02528203,0.058386,0.0584;0.0000;0.0000;0.0000,0
rule_065,0.97150548,0.02933028,0.067735,0.0677;0.0000;0.0000;0.0000,0
rule_066,0.93460383,0.06997208,0.161594,0.1616;0.0000;0.0000;0.0000,0
rule_067,0.925927,0.07999875,0.184749,0.1847;0.0000;0.0000;0.0000,0
rule_068,0.88389336,0.1313582,0.303359,0.3034;0.0000;0.0000;0.0000,0
rule_069,0.74157908,0.34847386,0.804766,0.8048;0.0000;0.0000;0.0000,0
rule_070,0.93912048,0.0648261,0.149709,0.1497;0.0000;0.0000;0.0000,0
rule_071,0.70717736,0.41407242,0.956259,0.9563;0.0000;0.0000;0.0000,0
rule_072,0.62646781,0.59625121,1.404898,1.3839;0.0102;0.0003;0.0105,0
rule_073,0.92596485,0.07995461,0.218759,0.1931;0.0128;0.0064;0.0065,0
rule_074,0.94210006,0.06145838,0.363688,0.1920;0.0295;0.0838;0.0584,0
rule_075,0.73601699,0.35866429,1.034223,0.8793;0.0452;0.0748;0.0350,0
rule_076,0.66867698,0.4954904,1.541053,1.2404;0.1671;0.0558;0.0777,0
rule_077,0.73468635,0.36112505,0.928625,0.8576;0.0226;0.0308;0.0177,0
rule_078,0.81993398,0.21961039,0.663935,0.5458;0.0263;0.0587;0.0332,0
rule_079,0.90104094,0.10982748,0.253636,0.2536;0.0000;0.0000;0.0000,0
rule_080,0.78119969,0.28008244,0.780881,0.6797;0.0456;0.0103;0.0452,0
rule_081,0.77338562,0.29301602,0.776097,0.7015;0.0282;0.0272;0.0192,0
rule_082,0.74242339,0.34694033,0.952987,0.8390;0.0265;0.0456;0.0419,0
rule_083,0.89433365,0.11815093,0.30399,0.2806;0.0025;0.0120;0.0090,0
rule_084,0.71294952,0.40262385,0.92982,0.9298;0.0000;0.0000;0.0000,0
rule_085,0.94024684,0.0635505,0.146764,0.1468;0.0000;0.0000;0.0000,0
rule_086,0.98104101,0.01932538,0.04463,0.0446;0.0000;0.0000;0.0000,0
rule_087,0.83400332,0.199036,0.573237,0.4878;0.0287;0.0183;0.0385,0
rule_088,0.74134705,0.3488959,0.848105,0.8163;0.0112;0.0125;0.0081,0
rule_089,0.86776854,0.15238103,0.37088,0.3566;0.0027;0.0066;0.0049,0
rule_090,0.84047951,0.18979699,0.438317,0.4383;0.0000;0.0000;0.0000,0
rule_091,0.90930337,0.09974298,0.230347,0.2303;0.0000;0.0000;0.0000,0
rule_092,0.9113871,0.09722861,0.327573,0.2492;0.0307;0.0089;0.0387,0
