rule_id,composite_fitness,total_displacement,std_dev,velocities,annihilated
rule_001,1.32004084,3.081288,1.3342368,3.0813;0.0000;0.0000;0.0000,0
rule_002,1.1910289,2.064953,0.73375591,1.7851;0.0262;0.1347;0.1190,0
rule_003,0.2496307,0.271172,0.08629433,0.2171;0.0239;0.0155;0.0146,0
rule_004,0.72174663,0.995022,0.37863053,0.9046;0.0283;0.0331;0.0291,0
rule_005,0.09191212,0.095722,0.04144874,0.0957;0.0000;0.0000;0.0000,0
rule_006,0.74558467,0.893463,0.19833834,0.5617;0.0550;0.1334;0.1434,0
rule_007,0.68266591,0.92019,0.34793615,0.8324;0.0152;0.0289;0.0436,0
rule_008,0.37424972,0.434355,0.16060181,0.3866;0.0079;0.0235;0.0164,0
rule_009,1.08194211,2.023261,0.87002734,2.0127;0.0052;0.0003;0.0050,0
rule_010,0.5084271,0.651959,0.28230674,0.6520;0.0000;0.0000;0.0000,0
rule_011,1.0041547,1.481297,0.4751677,1.1932;0.1106;0.0911;0.0865,0
rule_012,1.06118009,1.543134,0.45416803,1.1677;0.2023;0.1074;0.0656,0
rule_013,0.26622807,0.290348,0.0905998,0.2285;0.0047;0.0331;0.0240,0
rule_014,0.51529734,0.6633,0.28721714,0.6633;0.0000;0.0000;0.0000,0
rule_015,0.57425272,0.743681,0.2950409,0.6969;0.0118;0.0234;0.0116,0
rule_016,0.85925907,1.185969,0.38022245,0.9537;0.0649;0.0513;0.1161,0
rule_017,1.02755291,1.521926,0.48111723,1.2112;0.1361;0.0416;0.1330,0
rule_018,0.40116831,0.457025,0.1392353,0.3541;0.0569;0.0304;0.0157,0
rule_019,1.06598376,1.166764,0.09454167,0.3932;0.2870;0.1415;0.3451,0
rule_020,0.86090494,1.227402,0.42571187,1.0440;0.0527;0.0754;0.0553,0
rule_021,3.4649859,6.252726,0.80454592,2.3344;2.3004;1.2048;0.4132,0
rule_022,0.5084271,0.651959,0.28230674,0.6520;0.0000;0.0000;0.0000,0
rule_023,0.52783167,0.63802,0.20875624,0.5209;0.0396;0.0294;0.0482,0
rule_024,0.55142023,0.724382,0.3136668,0.7244;0.0000;0.0000;0.0000,0
rule_025,0.4766135,0.583317,0.22387746,0.5335;0.0248;0.0149;0.0101,0
rule_026,0.40665871,0.474998,0.16805122,0.4096;0.0216;0.0129;0.0309,0
rule_027,0.55059321,0.722956,0.31304909,0.7230;0.0000;0.0000;0.0000,0
rule_028,0.64789286,0.708463,0.09348753,0.3367;0.1008;0.1253;0.1456,0
rule_029,1.02718145,1.561324,0.52000814,1.2900;0.1271;0.0867;0.0576,0
rule_030,0.51857878,0.652035,0.25734985,0.6087;0.0113;0.0104;0.0217,0
rule_031,0.50056094,0.639081,0.27673034,0.6391;0.0000;0.0000;0.0000,0
rule_032,0.48841693,0.576382,0.18010184,0.4559;0.0345;0.0372;0.0489,0
rule_033,0.63206689,0.856056,0.35437601,0.8277;0.0223;0.0015;0.0046,0
rule_034,0.76305292,1.139585,0.4934548,1.1396;0.0000;0.0000;0.0000,0
