rule_id,fitness_score,mean_velocity,std_dev_velocity,initial_bit_count,final_bit_count
g2_rule_001,0.2742574571,6.67438262,4.61604472,3,13
g2_rule_011,0.2742574571,6.67438262,4.61604472,3,13
g2_rule_012,0.2742574571,6.67438262,4.61604472,3,13
g2_rule_055,0.2742574571,6.67438262,4.61604472,3,13
g2_rule_057,0.2742574571,6.67438262,4.61604472,3,13
g2_rule_062,0.2742574571,6.67438262,4.61604472,3,13
g2_rule_069,0.2742574571,6.67438262,4.61604472,3,13
g2_rule_071,0.2742574571,6.67438262,4.61604472,3,13
g2_rule_075,0.2742574571,6.67438262,4.61604472,3,13
g2_rule_078,0.2742574571,6.67438262,4.61604472,3,13
g2_rule_002,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_003,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_004,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_006,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_005,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_007,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_008,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_009,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_010,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_013,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_014,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_015,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_017,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_020,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_019,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_021,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_024,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_025,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_027,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_026,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_028,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_030,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_031,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_032,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_034,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_037,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_039,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_040,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_041,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_043,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_042,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_044,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_046,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_048,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_047,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_049,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_050,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_051,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_052,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_056,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_058,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_059,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_060,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_061,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_063,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_064,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_066,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_067,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_068,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_070,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_072,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_077,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_079,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_080,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_081,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_082,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_083,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_084,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_085,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_086,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_089,0.1085146575,19.90861141,11.50895828,3,44
g2_rule_090,0.1085146575,19.90861141,11.50895828,3,44
