generation,max_fitness,mean_fitness,best_rule_id
2,0.2742574571,0.1019693610,g2_rule_001
3,0.2742574571,0.1888574701,g3_rule_001
4,0.2742574571,0.1959352943,g4_rule_003
5,0.2742574571,0.2072020770,g5_rule_002
6,0.2742574571,0.1684670548,g6_rule_001
7,0.6736781151,0.2000258533,g7_rule_076
8,0.6736781151,0.1846675650,g8_rule_001
9,0.6736781151,0.2016010464,g9_rule_002
10,0.6736781151,0.4321675324,g10_rule_003
11,0.6736781151,0.4404434348,g11_rule_001
12,0.6736781151,0.4435387199,g12_rule_002
13,0.6736781151,0.4024492843,g13_rule_001
