step,bit_count
0,3
1,6
2,6
3,9
4,6
5,15
6,9
7,18
8,6
9,15
10,15
11,24
12,9
13,24
14,18
15,33
16,6
17,15
18,15
19,24
20,15
21,42
22,24
23,51
24,9
25,24
26,24
27,39
28,18
29,51
30,33
31,66
32,6
33,15
34,15
35,24
36,15
37,42
38,24
39,51
40,15
41,42
42,42
43,69
44,24
45,69
46,51
47,96
48,9
49,24
50,24
51,39
52,24
53,69
54,39
55,84
56,18
57,51
58,51
59,84
60,33
61,96
62,66
63,129
64,3
65,6
66,6
67,9
68,6
69,15
70,9
71,18
72,6
73,15
74,15
75,24
76,9
77,24
78,18
79,33
80,6
81,15
82,15
83,24
84,15
85,42
86,24
87,51
88,9
89,24
90,24
91,39
92,18
93,51
94,33
95,66
96,6
97,15
98,15
99,24
100,15
101,42
102,24
103,51
104,15
105,42
106,42
107,69
108,24
109,69
110,51
111,96
112,9
113,24
114,24
115,39
116,24
117,69
118,39
119,84
120,18
121,51
122,51
123,84
124,33
125,96
126,66
127,129
128,3
129,6
130,6
131,9
132,6
133,15
134,9
135,18
136,6
137,15
138,15
139,24
140,9
141,24
142,18
143,33
144,6
145,15
146,15
147,24
148,15
149,42
150,24
151,51
152,9
153,24
154,24
155,39
156,18
157,51
158,33
159,66
160,6
161,15
162,15
163,24
164,15
165,42
166,24
167,51
168,15
169,42
170,42
171,69
172,24
173,69
174,51
175,96
176,9
177,24
178,24
179,39
180,24
181,69
182,39
183,84
184,18
185,51
186,51
187,84
188,33
189,96
190,66
191,129
192,3
193,6
194,6
195,9
196,6
197,15
198,9
199,18
200,6
201,15
202,15
203,24
204,9
205,24
206,18
207,33
208,6
209,15
210,15
211,24
212,15
213,42
214,24
215,51
216,9
217,24
218,24
219,39
220,18
221,51
222,33
223,66
224,6
225,15
226,15
227,24
228,15
229,42
230,24
231,51
232,15
233,42
234,42
235,69
236,24
237,69
238,51
239,96
240,9
241,24
242,24
243,39
244,24
245,69
246,39
247,84
248,18
249,51
250,51
251,84
252,33
253,96
254,66
255,129
256,3
257,6
258,6
259,9
260,6
261,15
262,9
263,18
264,6
265,15
266,15
267,24
268,9
269,24
270,18
271,33
272,6
273,15
274,15
275,24
276,15
277,42
278,24
279,51
280,9
281,24
282,24
283,39
284,18
285,51
286,33
287,66
288,6
289,15
290,15
291,24
292,15
293,42
294,24
295,51
296,15
297,42
298,42
299,69
300,24
301,69
302,51
303,96
304,9
305,24
306,24
307,39
308,24
309,69
310,39
311,84
312,18
313,51
314,51
315,84
316,33
317,96
318,66
319,129
320,3
321,6
322,6
323,9
324,6
325,15
326,9
327,18
328,6
329,15
330,15
331,24
332,9
333,24
334,18
335,33
336,6
337,15
338,15
339,24
340,15
341,42
342,24
343,51
344,9
345,24
346,24
347,39
348,18
349,51
350,33
351,66
352,6
353,15
354,15
355,24
356,15
357,42
358,24
359,51
360,15
361,42
362,42
363,69
364,24
365,69
366,51
367,96
368,9
369,24
370,24
371,39
372,24
373,69
374,39
375,84
376,18
377,51
378,51
379,84
380,33
381,96
382,66
383,129
384,3
385,6
386,6
387,9
388,6
389,15
390,9
391,18
392,6
393,15
394,15
395,24
396,9
397,24
398,18
399,33
400,6
401,15
402,15
403,24
404,15
405,42
406,24
407,51
408,9
409,24
410,24
411,39
412,18
413,51
414,33
415,66
416,6
417,15
418,15
419,24
420,15
421,42
422,24
423,51
424,15
425,42
426,42
427,69
428,24
429,69
430,51
431,96
432,9
433,24
434,24
435,39
436,24
437,69
438,39
439,84
440,18
441,51
442,51
443,84
444,33
445,96
446,66
447,129
448,3
449,6
450,6
451,9
452,6
453,15
454,9
455,18
456,6
457,15
458,15
459,24
460,9
461,24
462,18
463,33
464,6
465,15
466,15
467,24
468,15
469,42
470,24
471,51
472,9
473,24
474,24
475,39
476,18
477,51
478,33
479,66
480,6
481,15
482,15
483,24
484,15
485,42
486,24
487,51
488,15
489,42
490,42
491,69
492,24
493,69
494,51
495,96
496,9
497,24
498,24
499,39
500,24
501,69
502,39
503,84
504,18
505,51
506,51
507,84
508,33
509,96
510,66
511,129
512,3
513,6
514,6
515,9
516,6
517,15
518,9
519,18
520,6
521,15
522,15
523,24
524,9
525,24
526,18
527,33
528,6
529,15
530,15
531,24
532,15
533,42
534,24
535,51
536,9
537,24
538,24
539,39
540,18
541,51
542,33
543,66
544,6
545,15
546,15
547,24
548,15
549,42
550,24
551,51
552,15
553,42
554,42
555,69
556,24
557,69
558,51
559,96
560,9
561,24
562,24
563,39
564,24
565,69
566,39
567,84
568,18
569,51
570,51
571,84
572,33
573,96
574,66
575,129
576,3
577,6
578,6
579,9
580,6
581,15
582,9
583,18
584,6
585,15
586,15
587,24
588,9
589,24
590,18
591,33
592,6
593,15
594,15
595,24
596,15
597,42
598,24
599,51
600,9
601,24
602,24
603,39
604,18
605,51
606,33
607,66
608,6
609,15
610,15
611,24
612,15
613,42
614,24
615,51
616,15
617,42
618,42
619,69
620,24
621,69
622,51
623,96
624,9
625,24
626,24
627,39
628,24
629,69
630,39
631,84
632,18
633,51
634,51
635,84
636,33
637,96
638,66
639,129
640,3
641,6
642,6
643,9
644,6
645,15
646,9
647,18
648,6
649,15
650,15
651,24
652,9
653,24
654,18
655,33
656,6
657,15
658,15
659,24
660,15
661,42
662,24
663,51
664,9
665,24
666,24
667,39
668,18
669,51
670,33
671,66
672,6
673,15
674,15
675,24
676,15
677,42
678,24
679,51
680,15
681,42
682,42
683,69
684,24
685,69
686,51
687,96
688,9
689,24
690,24
691,39
692,24
693,69
694,39
695,84
696,18
697,51
698,51
699,84
700,33
701,96
702,66
703,129
704,3
705,6
706,6
707,9
708,6
709,15
710,9
711,18
712,6
713,15
714,15
715,24
716,9
717,24
718,18
719,33
720,6
721,15
722,15
723,24
724,15
725,42
726,24
727,51
728,9
729,24
730,24
731,39
732,18
733,51
734,33
735,66
736,6
737,15
738,15
739,24
740,15
741,42
742,24
743,51
744,15
745,42
746,42
747,69
748,24
749,69
750,51
751,96
752,9
753,24
754,24
755,39
756,24
757,69
758,39
759,84
760,18
761,51
762,51
763,84
764,33
765,96
766,66
767,129
768,3
769,6
770,6
771,9
772,6
773,15
774,9
775,18
776,6
777,15
778,15
779,24
780,9
781,24
782,18
783,33
784,6
785,15
786,15
787,24
788,15
789,42
790,24
791,51
792,9
793,24
794,24
795,39
796,18
797,51
798,33
799,66
800,6
801,15
802,15
803,24
804,15
805,42
806,24
807,51
808,15
809,42
810,42
811,69
812,24
813,69
814,51
815,96
816,9
817,24
818,24
819,39
820,24
821,69
822,39
823,84
824,18
825,51
826,51
827,84
828,33
829,96
830,66
831,129
832,3
833,6
834,6
835,9
836,6
837,15
838,9
839,18
840,6
841,15
842,15
843,24
844,9
845,24
846,18
847,33
848,6
849,15
850,15
851,24
852,15
853,42
854,24
855,51
856,9
857,24
858,24
859,39
860,18
861,51
862,33
863,66
864,6
865,15
866,15
867,24
868,15
869,42
870,24
871,51
872,15
873,42
874,42
875,69
876,24
877,69
878,51
879,96
880,9
881,24
882,24
883,39
884,24
885,69
886,39
887,84
888,18
889,51
890,51
891,84
892,33
893,96
894,66
895,129
896,3
897,6
898,6
899,9
900,6
901,15
902,9
903,18
904,6
905,15
906,15
907,24
908,9
909,24
910,18
911,33
912,6
913,15
914,15
915,24
916,15
917,42
918,24
919,51
920,9
921,24
922,24
923,39
924,18
925,51
926,33
927,66
928,6
929,15
930,15
931,24
932,15
933,42
934,24
935,51
936,15
937,42
938,42
939,69
940,24
941,69
942,51
943,96
944,9
945,24
946,24
947,39
948,24
949,69
950,39
951,84
952,18
953,51
954,51
955,84
956,33
957,96
958,66
959,129
960,3
961,6
962,6
963,9
964,6
965,15
966,9
967,18
968,6
969,15
970,15
971,24
972,9
973,24
974,18
975,33
976,6
977,15
978,15
979,24
980,15
981,42
982,24
983,51
984,9
985,24
986,24
987,39
988,18
989,51
990,33
991,66
992,6
993,15
994,15
995,24
996,15
997,42
998,24
999,51
1000,15
1001,42
1002,42
1003,69
1004,24
1005,69
1006,51
1007,96
1008,9
1009,24
1010,24
1011,39
1012,24
1013,69
1014,39
1015,84
1016,18
1017,51
1018,51
1019,84
1020,33
1021,96
1022,66
1023,129
1024,3
1025,6
1026,6
1027,9
1028,6
1029,15
1030,9
1031,18
1032,6
1033,15
1034,15
1035,24
1036,9
1037,24
1038,18
1039,33
1040,6
1041,15
1042,15
1043,24
1044,15
1045,42
1046,24
1047,51
1048,9
1049,24
1050,24
1051,39
1052,18
1053,51
1054,33
1055,66
1056,6
1057,15
1058,15
1059,24
1060,15
1061,42
1062,24
1063,51
1064,15
1065,42
1066,42
1067,69
1068,24
1069,69
1070,51
1071,96
1072,9
1073,24
1074,24
1075,39
1076,24
1077,69
1078,39
1079,84
1080,18
1081,51
1082,51
1083,84
1084,33
1085,96
1086,66
1087,129
1088,3
1089,6
1090,6
1091,9
1092,6
1093,15
1094,9
1095,18
1096,6
1097,15
1098,15
1099,24
1100,9
1101,24
1102,18
1103,33
1104,6
1105,15
1106,15
1107,24
1108,15
1109,42
1110,24
1111,51
1112,9
1113,24
1114,24
1115,39
1116,18
1117,51
1118,33
1119,66
1120,6
1121,15
1122,15
1123,24
1124,15
1125,42
1126,24
1127,51
1128,15
1129,42
1130,42
1131,69
1132,24
1133,69
1134,51
1135,96
1136,9
1137,24
1138,24
1139,39
1140,24
1141,69
