step,com_x,com_y,bit_count
0,63.3333,63.6667,3
1,63.5000,63.7500,4
2,63.4000,63.4000,5
3,63.6000,64.2000,5
4,63.2857,62.7143,7
5,63.6250,64.3750,8
6,63.3333,62.7778,9
7,63.7500,65.6250,8
8,63.2857,61.5714,7
9,63.5000,63.9000,10
10,63.3846,62.5385,13
11,63.7273,66.2727,11
12,63.2727,60.2727,11
13,63.5714,65.3571,14
14,63.3529,61.4706,17
15,63.8462,69.3077,13
16,63.2857,59.2857,7
17,63.5000,63.9000,10
18,63.3846,61.3077,13
19,63.6154,66.5385,13
20,63.2632,58.4737,19
21,63.6364,67.0455,22
22,63.3200,59.7200,25
23,63.8500,71.8500,20
24,63.2727,56.6364,11
25,63.5000,63.9375,16
26,63.3810,60.0476,21
27,63.6842,70.3684,19
28,63.2609,56.6522,23
29,63.6071,66.9643,28
30,63.3333,58.8182,33
31,63.9167,76.8750,24
32,63.2857,54.7143,7
33,63.5000,63.9000,10
34,63.3846,58.8462,13
35,63.6154,69.0000,13
36,63.2632,53.4211,19
37,63.6364,69.9545,22
38,63.3200,55.8800,25
39,63.7727,76.2273,22
40,63.2632,53.0000,19
41,63.5000,63.9643,28
42,63.3784,58.2973,37
43,63.7419,75.1290,31
44,63.2581,52.3548,31
45,63.5750,67.6750,40
46,63.3469,56.5918,49
47,63.9143,83.3429,35
48,63.2727,49.3636,11
49,63.5000,63.9375,16
50,63.3810,56.2381,21
51,63.6190,71.6667,21
52,63.2581,48.2258,31
53,63.6389,72.9722,36
54,63.3171,52.0244,41
55,63.8235,85.5588,34
56,63.2609,49.3478,23
57,63.5000,63.9706,34
58,63.3778,56.4667,45
59,63.7179,76.9487,39
60,63.2558,48.1628,43
61,63.5926,70.2778,54
62,63.3385,53.4923,65
63,63.9556,92.9111,45
64,63.3333,53.1667,6
65,63.5000,63.7500,8
66,63.4000,57.4000,10
67,63.6000,70.1000,10
68,63.2857,50.1429,14
69,63.6250,71.6875,16
70,63.3333,53.1667,18
71,63.7500,79.6250,16
72,63.2857,50.1429,14
73,63.5000,63.7500,20
74,63.3846,56.4231,26
75,63.7273,78.1818,22
76,63.2727,49.3182,22
77,63.5714,68.2857,28
78,63.3529,54.4118,34
79,63.8462,85.7308,26
80,63.2857,50.1429,14
81,63.5000,63.7500,20
82,63.3846,56.4231,26
83,63.6154,71.0769,26
84,63.2632,48.7105,38
85,63.6364,72.4091,44
86,63.3200,52.3200,50
87,63.8500,85.9750,40
88,63.2727,49.3182,22
89,63.5000,63.7500,32
90,63.3810,56.1905,42
91,63.6842,75.4474,38
92,63.2609,48.5652,46
93,63.6071,70.5536,56
94,63.3333,53.1667,66
95,63.9565,92.7391,46
96,63.5000,63.7500,8
97,63.6000,70.1000,10
98,63.6250,71.6875,16
99,63.7500,79.6250,16
100,63.5000,63.7500,20
101,63.7273,78.1818,22
102,63.5714,68.2857,28
103,63.8462,85.7308,26
104,63.5000,63.7500,20
105,63.6154,71.0769,26
106,63.6364,72.4091,44
107,63.8500,85.9750,40
108,63.5000,63.7500,32
109,63.6842,75.4474,38
110,63.6071,70.5536,56
111,63.9167,90.2083,48
112,63.3750,55.8125,16
113,63.5455,66.6364,22
114,63.5000,63.7500,32
115,63.6875,75.6562,32
116,63.3636,55.0909,44
117,63.6800,75.1800,50
118,63.4333,59.5167,60
119,63.8800,87.8800,50
120,63.4286,59.2143,28
121,63.5789,68.7632,38
122,63.5667,67.9833,60
123,63.7857,81.8929,56
124,63.3929,56.9464,56
125,63.6667,74.3333,66
126,63.5000,63.7500,88
127,63.9565,92.7391,46
128,63.5000,63.7500,8
129,63.5000,63.7500,8
130,63.5000,63.7500,12
131,63.5000,63.7500,8
132,63.5000,63.7500,20
133,63.5000,63.7500,12
134,63.5000,63.7500,24
135,63.5000,63.7500,8
136,63.5000,63.7500,20
137,63.5000,63.7500,20
138,63.5000,63.7500,32
139,63.5000,63.7500,12
140,63.5000,63.7500,32
141,63.5000,63.7500,24
142,63.5000,63.7500,44
143,63.5000,63.7500,8
144,63.5000,63.7500,20
145,63.5000,63.7500,20
146,63.5000,63.7500,32
147,63.5000,63.7500,20
148,63.5000,63.7500,56
149,63.5000,63.7500,32
150,63.5000,63.7500,68
151,63.5000,63.7500,12
152,63.5000,63.7500,32
153,63.5000,63.7500,32
154,63.5000,63.7500,52
155,63.5000,63.7500,24
156,63.5000,63.7500,68
157,63.5000,63.7500,44
158,63.5000,63.7500,88
159,63.6667,74.3333,6
160,63.6000,70.1000,10
161,63.7143,77.3571,14
162,63.6667,74.3333,18
163,63.7143,77.3571,14
164,63.6154,71.0769,26
165,63.7273,78.1818,22
166,63.6471,73.0882,34
167,63.7143,77.3571,14
168,63.6154,71.0769,26
169,63.7368,78.7895,38
170,63.6800,75.1800,50
171,63.7273,78.1818,22
172,63.6190,71.3095,42
173,63.7391,78.9348,46
174,63.6667,74.3333,66
175,63.6000,70.1000,10
176,63.5455,66.6364,22
177,63.6154,71.0769,26
178,63.5789,68.7632,38
179,63.6154,71.0769,26
180,63.5484,66.8226,62
181,63.6190,71.3095,42
182,63.5641,67.8205,78
183,63.6667,74.3333,18
184,63.5789,68.7632,38
185,63.6800,75.1800,50
186,63.6286,71.9143,70
187,63.6471,73.0882,34
188,63.5641,67.8205,78
189,63.6667,74.3333,66
190,63.5000,63.7500,88
191,63.6667,74.3333,6
192,63.5000,63.7500,8
193,63.6000,70.1000,10
194,63.4000,57.4000,10
195,63.7143,77.3571,14
196,63.3750,55.8125,16
197,63.6667,74.3333,18
198,63.2500,47.8750,16
199,63.7143,77.3571,14
200,63.5000,63.7500,20
201,63.6154,71.0769,26
202,63.2727,49.3182,22
203,63.7273,78.1818,22
204,63.4286,59.2143,28
205,63.6471,73.0882,34
206,63.1538,41.7692,26
207,63.7143,77.3571,14
208,63.5000,63.7500,20
209,63.6154,71.0769,26
210,63.3846,56.4231,26
211,63.7368,78.7895,38
212,63.3636,55.0909,44
213,63.6800,75.1800,50
214,63.1500,41.5250,40
215,63.7273,78.1818,22
216,63.5000,63.7500,32
217,63.6190,71.3095,42
218,63.3158,52.0526,38
219,63.7391,78.9348,46
220,63.3929,56.9464,56
221,63.6667,74.3333,66
222,63.0833,37.2917,48
223,63.7500,79.6250,8
224,63.7143,77.3571,14
225,63.7500,79.6250,16
226,63.6250,71.6875,16
227,63.8000,82.8000,20
228,63.6154,71.0769,26
229,63.7857,81.8929,28
230,63.4545,60.8636,22
231,63.8000,82.8000,20
232,63.7368,78.7895,38
233,63.7727,81.0682,44
234,63.5000,63.7500,32
235,63.8125,83.5938,32
236,63.6800,75.1800,50
237,63.7857,81.8929,56
238,63.2143,45.6071,28
239,63.7500,79.6250,16
