generation,min,mean,max,std,non_zero,n_ge_1,n_ge_2,champion_fitness
0,0.0,8e-06,0.000321,3.9e-05,5,0,0,0.000321
1,0.0,0.004169,0.4,0.039788,57,0,0,0.4
2,0.0,0.014621,0.4,0.069469,92,0,0,0.4
3,0.0,0.072735,0.4,0.136337,84,0,0,0.4
4,0.0,0.151418,0.4,0.186866,78,0,0,0.4
5,0.0,0.174788,0.4,0.188798,82,0,0,0.4
6,0.0,0.202935,2.0,0.266975,83,1,1,2.0
7,0.0,0.289239,2.0,0.541574,77,8,8,2.0
8,0.0,0.97389,2.0,0.915508,85,43,43,2.0
9,0.0,0.826757,2.0,0.930482,86,38,38,2.0
10,0.0,0.872214,2.0,0.949421,85,41,41,2.0
