step,bit_count,num_components,sim_time_ms
0,6,2,0.32839999767020345
1,4,4,1.173999989987351
2,6,4,0.8135999960359186
3,6,4,0.8395000040763989
4,6,4,0.8013000042410567
5,6,4,0.836799998069182
6,6,4,0.9600999910617247
7,6,4,0.8464999991701916
8,6,4,0.8151999936671928
9,6,4,0.8374999888474122
10,6,4,0.8117000106722116
11,6,4,0.8291999984066933
12,6,4,0.7968999998411164
13,6,4,0.8318000036524609
14,6,4,0.7968999998411164
15,6,4,0.8283000061055645
16,6,4,0.7949999999254942
17,6,4,0.8262999908765778
18,6,4,0.7945999968796968
19,6,4,0.8218000002671033
20,6,4,0.8266999939223751
21,6,4,0.8242000039899722
22,6,5,0.7991000020410866
23,6,4,0.8219999872380868
24,6,4,0.7908999978099018
25,6,4,1.1328999971738085
26,6,4,0.8128999907057732
27,6,4,0.8403999963775277
28,6,4,0.7958000060170889
29,6,4,0.8471000037388876
30,6,4,0.7992000028025359
31,6,4,0.8235999994212762
32,6,4,0.799899993580766
33,6,4,0.8215000125346705
34,6,4,0.8076999947661534
35,6,5,0.8305999945150688
36,6,5,0.7935000030556694
37,6,4,0.8308000105898827
38,6,4,0.79340000229422
39,6,4,0.8267000084742904
40,6,4,0.7922000077087432
41,6,4,0.8206999918911606
42,6,4,0.8013000042410567
43,6,4,0.8229999948525801
44,6,4,0.9315999923273921
45,6,4,0.8722000056877732
46,6,4,0.8267999946838245
47,6,4,0.8304999937536195
48,6,4,0.7949999999254942
49,6,4,0.8382999949390069
50,6,4,0.7945000106701627
51,6,4,0.8322999929077923
52,6,4,0.7936000038171187
53,6,4,0.8231999963754788
54,6,4,0.7990000012796372
55,6,4,0.8222000033129007
56,6,4,0.7998000073712319
57,6,4,0.8289999968837947
58,6,4,0.7949999999254942
59,6,4,0.8279000030597672
60,6,4,0.7938000053400174
61,6,4,0.8295000006910414
62,6,4,0.7946000114316121
63,6,4,0.8373000018764287
64,6,4,0.8229999948525801
65,6,4,0.865099995280616
66,6,4,0.7991000020410866
67,6,4,0.8279999892693013
68,6,4,0.8169999928213656
69,6,4,0.8589999924879521
70,6,4,0.7977000059327111
71,6,4,0.8500000112690032
72,6,4,0.7953000022098422
73,6,4,0.8338000043295324
74,6,4,0.7987999997567385
75,6,4,0.824499991722405
76,6,4,0.8092999923974276
77,6,4,0.827899988507852
78,6,4,0.7994999905349687
79,6,4,0.8233999978983775
80,6,4,0.7941000076243654
81,6,4,0.8268000092357397
82,6,4,0.7919999916339293
83,6,4,1.007800005027093
84,6,4,0.8205999911297113
85,6,4,0.8739000040804967
86,6,4,0.8023000118555501
87,6,4,0.8269999962067232
88,6,4,0.8027999865589663
89,6,4,0.8249999955296516
90,6,4,0.8015000057639554
91,6,4,0.822000001790002
92,6,4,0.7920999923953786
93,6,4,0.8289000106742606
94,6,4,0.7933000015327707
95,6,4,0.8315000013681129
96,6,4,0.7953999884193763
97,6,4,0.8238999871537089
98,6,4,0.8021999965421855
99,6,4,0.8343000081367791
100,6,4,0.7962000090628862
101,6,4,0.8272000122815371
102,6,4,0.8256000000983477
103,6,4,0.8259000023826957
104,6,4,0.7944999961182475
105,6,4,0.8280000038212165
