step,CoM_x,CoM_y,bit_count,state_hash
0,63.333333,63.666667,3,34ed349a130f228f
1,63.333333,64.000000,3,a2aed0ec9e5aa2d8
2,63.666667,63.666667,3,44d3ed4deb4ac7b8
3,63.666667,64.000000,3,f067db67410ca6a5
4,63.333333,64.333333,3,418cf1275861566f
5,63.333333,64.000000,3,a2aed0ec9e5aa2d8
6,63.666667,63.666667,3,44d3ed4deb4ac7b8
7,63.666667,64.000000,3,f067db67410ca6a5
8,63.333333,64.333333,3,418cf1275861566f
9,63.333333,64.000000,3,a2aed0ec9e5aa2d8
10,63.666667,63.666667,3,44d3ed4deb4ac7b8
11,63.666667,64.000000,3,f067db67410ca6a5
12,63.333333,64.333333,3,418cf1275861566f
13,63.333333,64.000000,3,a2aed0ec9e5aa2d8
14,63.666667,63.666667,3,44d3ed4deb4ac7b8
15,63.666667,64.000000,3,f067db67410ca6a5
16,63.333333,64.333333,3,418cf1275861566f
17,63.333333,64.000000,3,a2aed0ec9e5aa2d8
18,63.666667,63.666667,3,44d3ed4deb4ac7b8
19,63.666667,64.000000,3,f067db67410ca6a5
20,63.333333,64.333333,3,418cf1275861566f
21,63.333333,64.000000,3,a2aed0ec9e5aa2d8
22,63.666667,63.666667,3,44d3ed4deb4ac7b8
23,63.666667,64.000000,3,f067db67410ca6a5
24,63.333333,64.333333,3,418cf1275861566f
25,63.333333,64.000000,3,a2aed0ec9e5aa2d8
26,63.666667,63.666667,3,44d3ed4deb4ac7b8
27,63.666667,64.000000,3,f067db67410ca6a5
28,63.333333,64.333333,3,418cf1275861566f
29,63.333333,64.000000,3,a2aed0ec9e5aa2d8
30,63.666667,63.666667,3,44d3ed4deb4ac7b8
31,63.666667,64.000000,3,f067db67410ca6a5
32,63.333333,64.333333,3,418cf1275861566f
33,63.333333,64.000000,3,a2aed0ec9e5aa2d8
34,63.666667,63.666667,3,44d3ed4deb4ac7b8
35,63.666667,64.000000,3,f067db67410ca6a5
36,63.333333,64.333333,3,418cf1275861566f
37,63.333333,64.000000,3,a2aed0ec9e5aa2d8
38,63.666667,63.666667,3,44d3ed4deb4ac7b8
39,63.666667,64.000000,3,f067db67410ca6a5
40,63.333333,64.333333,3,418cf1275861566f
41,63.333333,64.000000,3,a2aed0ec9e5aa2d8
42,63.666667,63.666667,3,44d3ed4deb4ac7b8
43,63.666667,64.000000,3,f067db67410ca6a5
44,63.333333,64.333333,3,418cf1275861566f
45,63.333333,64.000000,3,a2aed0ec9e5aa2d8
46,63.666667,63.666667,3,44d3ed4deb4ac7b8
47,63.666667,64.000000,3,f067db67410ca6a5
48,63.333333,64.333333,3,418cf1275861566f
49,63.333333,64.000000,3,a2aed0ec9e5aa2d8
50,63.666667,63.666667,3,44d3ed4deb4ac7b8
51,63.666667,64.000000,3,f067db67410ca6a5
52,63.333333,64.333333,3,418cf1275861566f
53,63.333333,64.000000,3,a2aed0ec9e5aa2d8
54,63.666667,63.666667,3,44d3ed4deb4ac7b8
