generation,max,mean,non_zero
0,0.083333,0.000833,1
1,0.166667,0.004512,4
2,0.166667,0.031095,26
3,0.166667,0.140118,87
4,0.166667,0.130000,78
5,0.166667,0.130833,79
6,0.166667,0.136667,82
7,0.166667,0.158333,95
8,0.166667,0.134167,81
9,0.166667,0.131667,79
10,7.000000,0.198333,78
11,7.000000,0.543333,80
12,7.000000,2.918333,70
13,7.000000,6.160000,88
14,7.000000,6.090000,87
15,7.000496,5.950005,85
16,7.000496,6.020040,86
17,7.000496,5.467164,79
18,7.000496,5.887274,85
19,7.000496,5.950422,85
20,7.000496,5.957293,86
