generation,min,mean,max,std,non_zero,n_ge_1,n_ge_2,champion_fitness
0,0.0,0.024,2.4,0.238797,1,1,1,2.4
1,0.0,0.288,2.4,0.779908,12,12,12,2.4
2,0.0,2.088,2.4,0.807128,87,87,87,2.4
3,0.0,2.28,2.4,0.523068,95,95,95,2.4
4,0.0,2.16,2.4,0.72,90,90,90,2.4
5,0.0,2.112,2.4,0.779908,88,88,88,2.4
6,0.0,2.232,2.4,0.612353,93,93,93,2.4
7,0.0,2.232,2.4,0.612353,93,93,93,2.4
8,0.0,2.16,2.4,0.72,90,90,90,2.4
9,0.0,2.112,2.4,0.779908,88,88,88,2.4
10,0.0,2.28,2.4,0.523068,95,95,95,2.4
11,0.0,2.136,2.4,0.750935,89,89,89,2.4
12,0.0,2.249143,2.4,0.572315,94,94,93,2.4
13,0.0,2.328,2.4,0.409409,97,97,97,2.4
14,0.0,2.256,2.4,0.569968,94,94,94,2.4
15,0.0,2.136,2.4,0.750935,89,89,89,2.4
16,0.0,2.28,2.4,0.523068,95,95,95,2.4
17,0.0,2.088,2.4,0.807128,87,87,87,2.4
18,0.0,2.112,2.4,0.779908,88,88,88,2.4
19,0.0,2.208,2.4,0.651104,92,92,92,2.4
20,0.0,2.16,2.4,0.72,90,90,90,2.4
