================================================================================
TRAJECTORY LOG -- iter_220 champion rule
Seed: L_TROMINO_3bit at [[63, 63], [64, 63], [64, 64]]
Grid: 128x128, Steps: 500
Rule entries: 12

Rule dictionary:
    2 (0b0000010) -> 66
   16 (0b0010000) -> 80
   38 (0b0100110) -> 102
   39 (0b0100111) -> 103
   52 (0b0110100) -> 116
   60 (0b0111100) -> 124
   66 (0b1000010) -> 2
   70 (0b1000110) -> 6
   71 (0b1000111) -> 7
   80 (0b1010000) -> 16
  112 (0b1110000) -> 48
  120 (0b1111000) -> 56

================================================================================
STEP | CoM_row           | CoM_col           | Active | d_row  | d_col  | Speed
----------------------------------------------------------------------------------------------------
   0 |           63.666667 |           63.333333 |        3 | +0.000000 | +0.000000 | 0.000000 ***
   1 |           63.500000 |           63.500000 |        6 | -0.166667 | +0.166667 | 0.235702
   2 |           63.333333 |           63.666667 |        6 | -0.166667 | +0.166667 | 0.235702
   3 |           63.111111 |           63.888889 |        9 | -0.222222 | +0.222222 | 0.314270
   4 |           63.000000 |           64.000000 |        6 | -0.111111 | +0.111111 | 0.157135
   5 |           62.800000 |           64.200000 |       15 | -0.200000 | +0.200000 | 0.282843
   6 |           62.555556 |           64.444444 |        9 | -0.244444 | +0.244444 | 0.345697
   7 |           62.500000 |           64.500000 |       18 | -0.055556 | +0.055556 | 0.078567
   8 |           62.333333 |           64.666667 |        6 | -0.166667 | +0.166667 | 0.235702
   9 |           62.000000 |           65.000000 |       15 | -0.333333 | +0.333333 | 0.471405
  10 |           61.933333 |           65.066667 |       15 | -0.066667 | +0.066667 | 0.094281
  11 |           61.791667 |           65.208333 |       24 | -0.141667 | +0.141667 | 0.200347
  12 |           61.444444 |           65.555556 |        9 | -0.347222 | +0.347222 | 0.491046
  13 |           61.125000 |           65.875000 |       24 | -0.319444 | +0.319444 | 0.451763
  14 |           61.333333 |           65.666667 |       18 | +0.208333 | -0.208333 | 0.294628
  15 |           61.090909 |           65.909091 |       33 | -0.242424 | +0.242424 | 0.342840
  16 |           61.000000 |           66.000000 |        6 | -0.090909 | +0.090909 | 0.128565
  17 |           60.400000 |           66.600000 |       15 | -0.600000 | +0.600000 | 0.848528
  18 |           60.333333 |           66.666667 |       15 | -0.066667 | +0.066667 | 0.094281
  19 |           60.125000 |           66.875000 |       24 | -0.208333 | +0.208333 | 0.294628
  20 |           60.200000 |           66.800000 |       15 | +0.075000 | -0.075000 | 0.106066
  21 |           59.928571 |           67.071429 |       42 | -0.271429 | +0.271429 | 0.383858
  22 |           59.916667 |           67.083333 |       24 | -0.011905 | +0.011905 | 0.016836
  23 |           59.803922 |           67.196078 |       51 | -0.112745 | +0.112745 | 0.159446
  24 |           59.222222 |           67.777778 |        9 | -0.581699 | +0.581699 | 0.822647
  25 |           58.625000 |           68.375000 |       24 | -0.597222 | +0.597222 | 0.844600
  26 |           58.583333 |           68.416667 |       24 | -0.041667 | +0.041667 | 0.058926
  27 |           58.410256 |           68.589744 |       39 | -0.173077 | +0.173077 | 0.244768
  28 |           59.000000 |           68.000000 |       18 | +0.589744 | -0.589744 | 0.834023
  29 |           58.705882 |           68.294118 |       51 | -0.294118 | +0.294118 | 0.415945
  30 |           58.515152 |           68.484848 |       33 | -0.190731 | +0.190731 | 0.269734
  31 |           58.500000 |           68.500000 |       66 | -0.015152 | +0.015152 | 0.021427
  32 |           58.333333 |           68.666667 |        6 | -0.166667 | +0.166667 | 0.235702
  33 |           57.200000 |           69.800000 |       15 | -1.133333 | +1.133333 | 1.602775
  34 |           57.133333 |           69.866667 |       15 | -0.066667 | +0.066667 | 0.094281
  35 |           56.791667 |           70.208333 |       24 | -0.341667 | +0.341667 | 0.483190
  36 |           57.000000 |           70.000000 |       15 | +0.208333 | -0.208333 | 0.294628
  37 |           56.500000 |           70.500000 |       42 | -0.500000 | +0.500000 | 0.707107
  38 |           56.583333 |           70.416667 |       24 | +0.083333 | -0.083333 | 0.117851
  39 |           56.352941 |           70.647059 |       51 | -0.230392 | +0.230392 | 0.325824
  40 |           56.733333 |           70.266667 |       15 | +0.380392 | -0.380392 | 0.537956
  41 |           56.214286 |           70.785714 |       42 | -0.519048 | +0.519048 | 0.734044
  42 |           56.190476 |           70.809524 |       42 | -0.023810 | +0.023810 | 0.033672
  43 |           56.057971 |           70.942029 |       69 | -0.132505 | +0.132505 | 0.187391
  44 |           56.166667 |           70.833333 |       24 | +0.108696 | -0.108696 | 0.153719
  45 |           55.826087 |           71.173913 |       69 | -0.340580 | +0.340580 | 0.481652
  46 |           55.941176 |           71.058824 |       51 | +0.115090 | -0.115090 | 0.162761
  47 |           55.781250 |           71.218750 |       96 | -0.159926 | +0.159926 | 0.226170
  48 |           54.777778 |           72.222222 |        9 | -1.003472 | +1.003472 | 1.419124
  49 |           53.625000 |           73.375000 |       24 | -1.152778 | +1.152778 | 1.630274
  50 |           53.583333 |           73.416667 |       24 | -0.041667 | +0.041667 | 0.058926
  51 |           53.282051 |           73.717949 |       39 | -0.301282 | +0.301282 | 0.426077
  52 |           53.500000 |           73.500000 |       24 | +0.217949 | -0.217949 | 0.308226
  53 |           53.043478 |           73.956522 |       69 | -0.456522 | +0.456522 | 0.645619
  54 |           53.153846 |           73.846154 |       39 | +0.110368 | -0.110368 | 0.156084
  55 |           52.940476 |           74.059524 |       84 | -0.213370 | +0.213370 | 0.301751
  56 |           54.333333 |           72.666667 |       18 | +1.392857 | -1.392857 | 1.969797
  57 |           53.764706 |           73.235294 |       51 | -0.568627 | +0.568627 | 0.804161
  58 |           53.745098 |           73.254902 |       51 | -0.019608 | +0.019608 | 0.027730
  59 |           53.607143 |           73.392857 |       84 | -0.137955 | +0.137955 | 0.195098
  60 |           53.363636 |           73.636364 |       33 | -0.243506 | +0.243506 | 0.344370
  61 |           53.031250 |           73.968750 |       96 | -0.332386 | +0.332386 | 0.470065
  62 |           53.333333 |           73.666667 |       66 | +0.302083 | -0.302083 | 0.427210
  63 |           53.085271 |           73.914729 |      129 | -0.248062 | +0.248062 | 0.350813
  64 |           63.666667 |           63.333333 |        3 | +10.581395 | -10.581395 | 14.964353
  65 |           63.500000 |           63.500000 |        6 | -0.166667 | +0.166667 | 0.235702
  66 |           63.333333 |           63.666667 |        6 | -0.166667 | +0.166667 | 0.235702
  67 |           63.111111 |           63.888889 |        9 | -0.222222 | +0.222222 | 0.314270
  68 |           63.000000 |           64.000000 |        6 | -0.111111 | +0.111111 | 0.157135
  69 |           62.800000 |           64.200000 |       15 | -0.200000 | +0.200000 | 0.282843
  70 |           62.555556 |           64.444444 |        9 | -0.244444 | +0.244444 | 0.345697
  71 |           62.500000 |           64.500000 |       18 | -0.055556 | +0.055556 | 0.078567
  72 |           62.333333 |           64.666667 |        6 | -0.166667 | +0.166667 | 0.235702
  73 |           62.000000 |           65.000000 |       15 | -0.333333 | +0.333333 | 0.471405
  74 |           61.933333 |           65.066667 |       15 | -0.066667 | +0.066667 | 0.094281
  75 |           61.791667 |           65.208333 |       24 | -0.141667 | +0.141667 | 0.200347
  76 |           61.444444 |           65.555556 |        9 | -0.347222 | +0.347222 | 0.491046
  77 |           61.125000 |           65.875000 |       24 | -0.319444 | +0.319444 | 0.451763
  78 |           61.333333 |           65.666667 |       18 | +0.208333 | -0.208333 | 0.294628
  79 |           61.090909 |           65.909091 |       33 | -0.242424 | +0.242424 | 0.342840
  80 |           61.000000 |           66.000000 |        6 | -0.090909 | +0.090909 | 0.128565
  81 |           60.400000 |           66.600000 |       15 | -0.600000 | +0.600000 | 0.848528
  82 |           60.333333 |           66.666667 |       15 | -0.066667 | +0.066667 | 0.094281
  83 |           60.125000 |           66.875000 |       24 | -0.208333 | +0.208333 | 0.294628
  84 |           60.200000 |           66.800000 |       15 | +0.075000 | -0.075000 | 0.106066
  85 |           59.928571 |           67.071429 |       42 | -0.271429 | +0.271429 | 0.383858
  86 |           59.916667 |           67.083333 |       24 | -0.011905 | +0.011905 | 0.016836
  87 |           59.803922 |           67.196078 |       51 | -0.112745 | +0.112745 | 0.159446
  88 |           59.222222 |           67.777778 |        9 | -0.581699 | +0.581699 | 0.822647
  89 |           58.625000 |           68.375000 |       24 | -0.597222 | +0.597222 | 0.844600
  90 |           58.583333 |           68.416667 |       24 | -0.041667 | +0.041667 | 0.058926
  91 |           58.410256 |           68.589744 |       39 | -0.173077 | +0.173077 | 0.244768
  92 |           59.000000 |           68.000000 |       18 | +0.589744 | -0.589744 | 0.834023
  93 |           58.705882 |           68.294118 |       51 | -0.294118 | +0.294118 | 0.415945
  94 |           58.515152 |           68.484848 |       33 | -0.190731 | +0.190731 | 0.269734
  95 |           58.500000 |           68.500000 |       66 | -0.015152 | +0.015152 | 0.021427
  96 |           58.333333 |           68.666667 |        6 | -0.166667 | +0.166667 | 0.235702
  97 |           57.200000 |           69.800000 |       15 | -1.133333 | +1.133333 | 1.602775
  98 |           57.133333 |           69.866667 |       15 | -0.066667 | +0.066667 | 0.094281
  99 |           56.791667 |           70.208333 |       24 | -0.341667 | +0.341667 | 0.483190
 100 |           57.000000 |           70.000000 |       15 | +0.208333 | -0.208333 | 0.294628 ***
 101 |           56.500000 |           70.500000 |       42 | -0.500000 | +0.500000 | 0.707107
 102 |           56.583333 |           70.416667 |       24 | +0.083333 | -0.083333 | 0.117851
 103 |           56.352941 |           70.647059 |       51 | -0.230392 | +0.230392 | 0.325824
 104 |           56.733333 |           70.266667 |       15 | +0.380392 | -0.380392 | 0.537956
 105 |           56.214286 |           70.785714 |       42 | -0.519048 | +0.519048 | 0.734044
 106 |           56.190476 |           70.809524 |       42 | -0.023810 | +0.023810 | 0.033672
 107 |           56.057971 |           70.942029 |       69 | -0.132505 | +0.132505 | 0.187391
 108 |           56.166667 |           70.833333 |       24 | +0.108696 | -0.108696 | 0.153719
 109 |           55.826087 |           71.173913 |       69 | -0.340580 | +0.340580 | 0.481652
 110 |           55.941176 |           71.058824 |       51 | +0.115090 | -0.115090 | 0.162761
 111 |           55.781250 |           71.218750 |       96 | -0.159926 | +0.159926 | 0.226170
 112 |           54.777778 |           72.222222 |        9 | -1.003472 | +1.003472 | 1.419124
 113 |           53.625000 |           73.375000 |       24 | -1.152778 | +1.152778 | 1.630274
 114 |           53.583333 |           73.416667 |       24 | -0.041667 | +0.041667 | 0.058926
 115 |           53.282051 |           73.717949 |       39 | -0.301282 | +0.301282 | 0.426077
 116 |           53.500000 |           73.500000 |       24 | +0.217949 | -0.217949 | 0.308226
 117 |           53.043478 |           73.956522 |       69 | -0.456522 | +0.456522 | 0.645619
 118 |           53.153846 |           73.846154 |       39 | +0.110368 | -0.110368 | 0.156084
 119 |           52.940476 |           74.059524 |       84 | -0.213370 | +0.213370 | 0.301751
 120 |           54.333333 |           72.666667 |       18 | +1.392857 | -1.392857 | 1.969797
 121 |           53.764706 |           73.235294 |       51 | -0.568627 | +0.568627 | 0.804161
 122 |           53.745098 |           73.254902 |       51 | -0.019608 | +0.019608 | 0.027730
 123 |           53.607143 |           73.392857 |       84 | -0.137955 | +0.137955 | 0.195098
 124 |           53.363636 |           73.636364 |       33 | -0.243506 | +0.243506 | 0.344370
 125 |           53.031250 |           73.968750 |       96 | -0.332386 | +0.332386 | 0.470065
 126 |           53.333333 |           73.666667 |       66 | +0.302083 | -0.302083 | 0.427210
 127 |           53.085271 |           73.914729 |      129 | -0.248062 | +0.248062 | 0.350813
 128 |           63.666667 |           63.333333 |        3 | +10.581395 | -10.581395 | 14.964353
 129 |           63.500000 |           63.500000 |        6 | -0.166667 | +0.166667 | 0.235702
 130 |           63.333333 |           63.666667 |        6 | -0.166667 | +0.166667 | 0.235702
 131 |           63.111111 |           63.888889 |        9 | -0.222222 | +0.222222 | 0.314270
 132 |           63.000000 |           64.000000 |        6 | -0.111111 | +0.111111 | 0.157135
 133 |           62.800000 |           64.200000 |       15 | -0.200000 | +0.200000 | 0.282843
 134 |           62.555556 |           64.444444 |        9 | -0.244444 | +0.244444 | 0.345697
 135 |           62.500000 |           64.500000 |       18 | -0.055556 | +0.055556 | 0.078567
 136 |           62.333333 |           64.666667 |        6 | -0.166667 | +0.166667 | 0.235702
 137 |           62.000000 |           65.000000 |       15 | -0.333333 | +0.333333 | 0.471405
 138 |           61.933333 |           65.066667 |       15 | -0.066667 | +0.066667 | 0.094281
 139 |           61.791667 |           65.208333 |       24 | -0.141667 | +0.141667 | 0.200347
 140 |           61.444444 |           65.555556 |        9 | -0.347222 | +0.347222 | 0.491046
 141 |           61.125000 |           65.875000 |       24 | -0.319444 | +0.319444 | 0.451763
 142 |           61.333333 |           65.666667 |       18 | +0.208333 | -0.208333 | 0.294628
 143 |           61.090909 |           65.909091 |       33 | -0.242424 | +0.242424 | 0.342840
 144 |           61.000000 |           66.000000 |        6 | -0.090909 | +0.090909 | 0.128565
 145 |           60.400000 |           66.600000 |       15 | -0.600000 | +0.600000 | 0.848528
 146 |           60.333333 |           66.666667 |       15 | -0.066667 | +0.066667 | 0.094281
 147 |           60.125000 |           66.875000 |       24 | -0.208333 | +0.208333 | 0.294628
 148 |           60.200000 |           66.800000 |       15 | +0.075000 | -0.075000 | 0.106066
 149 |           59.928571 |           67.071429 |       42 | -0.271429 | +0.271429 | 0.383858
 150 |           59.916667 |           67.083333 |       24 | -0.011905 | +0.011905 | 0.016836
 151 |           59.803922 |           67.196078 |       51 | -0.112745 | +0.112745 | 0.159446
 152 |           59.222222 |           67.777778 |        9 | -0.581699 | +0.581699 | 0.822647
 153 |           58.625000 |           68.375000 |       24 | -0.597222 | +0.597222 | 0.844600
 154 |           58.583333 |           68.416667 |       24 | -0.041667 | +0.041667 | 0.058926
 155 |           58.410256 |           68.589744 |       39 | -0.173077 | +0.173077 | 0.244768
 156 |           59.000000 |           68.000000 |       18 | +0.589744 | -0.589744 | 0.834023
 157 |           58.705882 |           68.294118 |       51 | -0.294118 | +0.294118 | 0.415945
 158 |           58.515152 |           68.484848 |       33 | -0.190731 | +0.190731 | 0.269734
 159 |           58.500000 |           68.500000 |       66 | -0.015152 | +0.015152 | 0.021427
 160 |           58.333333 |           68.666667 |        6 | -0.166667 | +0.166667 | 0.235702
 161 |           57.200000 |           69.800000 |       15 | -1.133333 | +1.133333 | 1.602775
 162 |           57.133333 |           69.866667 |       15 | -0.066667 | +0.066667 | 0.094281
 163 |           56.791667 |           70.208333 |       24 | -0.341667 | +0.341667 | 0.483190
 164 |           57.000000 |           70.000000 |       15 | +0.208333 | -0.208333 | 0.294628
 165 |           56.500000 |           70.500000 |       42 | -0.500000 | +0.500000 | 0.707107
 166 |           56.583333 |           70.416667 |       24 | +0.083333 | -0.083333 | 0.117851
 167 |           56.352941 |           70.647059 |       51 | -0.230392 | +0.230392 | 0.325824
 168 |           56.733333 |           70.266667 |       15 | +0.380392 | -0.380392 | 0.537956
 169 |           56.214286 |           70.785714 |       42 | -0.519048 | +0.519048 | 0.734044
 170 |           56.190476 |           70.809524 |       42 | -0.023810 | +0.023810 | 0.033672
 171 |           56.057971 |           70.942029 |       69 | -0.132505 | +0.132505 | 0.187391
 172 |           56.166667 |           70.833333 |       24 | +0.108696 | -0.108696 | 0.153719
 173 |           55.826087 |           71.173913 |       69 | -0.340580 | +0.340580 | 0.481652
 174 |           55.941176 |           71.058824 |       51 | +0.115090 | -0.115090 | 0.162761
 175 |           55.781250 |           71.218750 |       96 | -0.159926 | +0.159926 | 0.226170
 176 |           54.777778 |           72.222222 |        9 | -1.003472 | +1.003472 | 1.419124
 177 |           53.625000 |           73.375000 |       24 | -1.152778 | +1.152778 | 1.630274
 178 |           53.583333 |           73.416667 |       24 | -0.041667 | +0.041667 | 0.058926
 179 |           53.282051 |           73.717949 |       39 | -0.301282 | +0.301282 | 0.426077
 180 |           53.500000 |           73.500000 |       24 | +0.217949 | -0.217949 | 0.308226
 181 |           53.043478 |           73.956522 |       69 | -0.456522 | +0.456522 | 0.645619
 182 |           53.153846 |           73.846154 |       39 | +0.110368 | -0.110368 | 0.156084
 183 |           52.940476 |           74.059524 |       84 | -0.213370 | +0.213370 | 0.301751
 184 |           54.333333 |           72.666667 |       18 | +1.392857 | -1.392857 | 1.969797
 185 |           53.764706 |           73.235294 |       51 | -0.568627 | +0.568627 | 0.804161
 186 |           53.745098 |           73.254902 |       51 | -0.019608 | +0.019608 | 0.027730
 187 |           53.607143 |           73.392857 |       84 | -0.137955 | +0.137955 | 0.195098
 188 |           53.363636 |           73.636364 |       33 | -0.243506 | +0.243506 | 0.344370
 189 |           53.031250 |           73.968750 |       96 | -0.332386 | +0.332386 | 0.470065
 190 |           53.333333 |           73.666667 |       66 | +0.302083 | -0.302083 | 0.427210
 191 |           53.085271 |           73.914729 |      129 | -0.248062 | +0.248062 | 0.350813
 192 |           63.666667 |           63.333333 |        3 | +10.581395 | -10.581395 | 14.964353
 193 |           63.500000 |           63.500000 |        6 | -0.166667 | +0.166667 | 0.235702
 194 |           63.333333 |           63.666667 |        6 | -0.166667 | +0.166667 | 0.235702
 195 |           63.111111 |           63.888889 |        9 | -0.222222 | +0.222222 | 0.314270
 196 |           63.000000 |           64.000000 |        6 | -0.111111 | +0.111111 | 0.157135
 197 |           62.800000 |           64.200000 |       15 | -0.200000 | +0.200000 | 0.282843
 198 |           62.555556 |           64.444444 |        9 | -0.244444 | +0.244444 | 0.345697
 199 |           62.500000 |           64.500000 |       18 | -0.055556 | +0.055556 | 0.078567
 200 |           62.333333 |           64.666667 |        6 | -0.166667 | +0.166667 | 0.235702 ***
 201 |           62.000000 |           65.000000 |       15 | -0.333333 | +0.333333 | 0.471405
 202 |           61.933333 |           65.066667 |       15 | -0.066667 | +0.066667 | 0.094281
 203 |           61.791667 |           65.208333 |       24 | -0.141667 | +0.141667 | 0.200347
 204 |           61.444444 |           65.555556 |        9 | -0.347222 | +0.347222 | 0.491046
 205 |           61.125000 |           65.875000 |       24 | -0.319444 | +0.319444 | 0.451763
 206 |           61.333333 |           65.666667 |       18 | +0.208333 | -0.208333 | 0.294628
 207 |           61.090909 |           65.909091 |       33 | -0.242424 | +0.242424 | 0.342840
 208 |           61.000000 |           66.000000 |        6 | -0.090909 | +0.090909 | 0.128565
 209 |           60.400000 |           66.600000 |       15 | -0.600000 | +0.600000 | 0.848528
