================================================================================
TRAJECTORY LOG -- iter_220 consistency champion rule
Source JSON: champion_vc_rule_consistency.json
Seed: L_TROMINO_3bit at [(63, 63), (64, 63), (64, 64)]
Grid: 128x128, Steps: 500
Rule entries: 18

Rule dictionary:
    8 (0b0001000) -> 72
   24 (0b0011000) -> 88
   33 (0b0100001) -> 97
   37 (0b0100101) -> 101
   41 (0b0101001) -> 105
   42 (0b0101010) -> 106
   50 (0b0110010) -> 114
   56 (0b0111000) -> 120
   57 (0b0111001) -> 121
   68 (0b1000100) -> 4
   69 (0b1000101) -> 5
   70 (0b1000110) -> 6
   71 (0b1000111) -> 7
   76 (0b1001100) -> 12
   96 (0b1100000) -> 32
  118 (0b1110110) -> 54
  120 (0b1111000) -> 56
  124 (0b1111100) -> 60

================================================================================
STEP | CoM_row_raw | CoM_col_raw | CoM_row_unwrapped | CoM_col_unwrapped | Active | Displacement | Step Velocity
-----------------------------------------------------------------------------------------------------------------------------
   0 |   63.666667 |   63.333333 |         63.666667 |         63.333333 |      3 |     0.000000 |      0.000000 ***
   1 |   63.666667 |   64.333333 |         63.666667 |         64.333333 |      3 |     1.000000 |      1.000000
   2 |   63.666667 |   65.333333 |         63.666667 |         65.333333 |      3 |     2.000000 |      1.000000
   3 |   63.666667 |   66.333333 |         63.666667 |         66.333333 |      3 |     3.000000 |      1.000000
   4 |   63.666667 |   67.333333 |         63.666667 |         67.333333 |      3 |     4.000000 |      1.000000
   5 |   63.666667 |   68.333333 |         63.666667 |         68.333333 |      3 |     5.000000 |      1.000000
   6 |   63.666667 |   69.333333 |         63.666667 |         69.333333 |      3 |     6.000000 |      1.000000
   7 |   63.666667 |   70.333333 |         63.666667 |         70.333333 |      3 |     7.000000 |      1.000000
   8 |   63.666667 |   71.333333 |         63.666667 |         71.333333 |      3 |     8.000000 |      1.000000
   9 |   63.666667 |   72.333333 |         63.666667 |         72.333333 |      3 |     9.000000 |      1.000000
  10 |   63.666667 |   73.333333 |         63.666667 |         73.333333 |      3 |    10.000000 |      1.000000
  11 |   63.666667 |   74.333333 |         63.666667 |         74.333333 |      3 |    11.000000 |      1.000000
  12 |   63.666667 |   75.333333 |         63.666667 |         75.333333 |      3 |    12.000000 |      1.000000
  13 |   63.666667 |   76.333333 |         63.666667 |         76.333333 |      3 |    13.000000 |      1.000000
  14 |   63.666667 |   77.333333 |         63.666667 |         77.333333 |      3 |    14.000000 |      1.000000
  15 |   63.666667 |   78.333333 |         63.666667 |         78.333333 |      3 |    15.000000 |      1.000000
  16 |   63.666667 |   79.333333 |         63.666667 |         79.333333 |      3 |    16.000000 |      1.000000
  17 |   63.666667 |   80.333333 |         63.666667 |         80.333333 |      3 |    17.000000 |      1.000000
  18 |   63.666667 |   81.333333 |         63.666667 |         81.333333 |      3 |    18.000000 |      1.000000
  19 |   63.666667 |   82.333333 |         63.666667 |         82.333333 |      3 |    19.000000 |      1.000000
  20 |   63.666667 |   83.333333 |         63.666667 |         83.333333 |      3 |    20.000000 |      1.000000
  21 |   63.666667 |   84.333333 |         63.666667 |         84.333333 |      3 |    21.000000 |      1.000000
  22 |   63.666667 |   85.333333 |         63.666667 |         85.333333 |      3 |    22.000000 |      1.000000
  23 |   63.666667 |   86.333333 |         63.666667 |         86.333333 |      3 |    23.000000 |      1.000000
  24 |   63.666667 |   87.333333 |         63.666667 |         87.333333 |      3 |    24.000000 |      1.000000
  25 |   63.666667 |   88.333333 |         63.666667 |         88.333333 |      3 |    25.000000 |      1.000000
  26 |   63.666667 |   89.333333 |         63.666667 |         89.333333 |      3 |    26.000000 |      1.000000
  27 |   63.666667 |   90.333333 |         63.666667 |         90.333333 |      3 |    27.000000 |      1.000000
  28 |   63.666667 |   91.333333 |         63.666667 |         91.333333 |      3 |    28.000000 |      1.000000
