generation,best_fitness,mean_fitness
0,0.017685,0.000423
1,0.019679,0.003632
2,0.019679,0.014452
3,0.019679,0.018057
4,0.019679,0.017642
5,0.019679,0.018071
6,0.019679,0.017366
7,0.019679,0.016337
8,0.019679,0.018607
9,0.019679,0.017383
10,0.019679,0.017956
11,0.019679,0.018213
12,0.019679,0.017793
13,0.019679,0.017562
14,0.019679,0.016733
15,0.019679,0.017563
16,0.019679,0.017415
17,0.019679,0.016972
18,0.019679,0.018816
19,0.019679,0.017671
20,0.019679,0.017391
21,0.019679,0.016894
22,0.019679,0.017655
23,0.019679,0.017792
24,0.019679,0.017674
25,0.019679,0.017310
26,0.019679,0.018007
27,0.019679,0.016715
28,0.019679,0.018346
29,0.019679,0.017079
30,0.019679,0.017118
