step,Y1,Y2,defl_Y1,defl_Y2,separation,mutual_attraction,total_bits,bits_glider1,bits_glider2
0,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
1,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
2,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
3,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
4,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
5,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
6,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
7,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
8,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
9,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
10,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
11,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
12,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
13,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
14,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
15,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
16,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
17,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
18,12.500000,18.500000,-0.500000,-0.500000,+6.000000,+0.000000,8,4,4
19,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
20,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
21,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
22,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
23,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
24,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
25,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
26,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
27,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
28,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
29,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
30,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
31,12.500000,18.500000,-0.500000,-0.500000,+6.000000,+0.000000,8,4,4
32,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
33,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
34,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
35,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
36,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
37,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
38,13.250000,19.000000,+0.250000,+0.000000,+5.750000,+0.250000,8,4,4
39,13.250000,19.250000,+0.250000,+0.250000,+6.000000,+0.000000,8,4,4
40,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
41,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
42,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
43,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
44,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
45,12.750000,19.000000,-0.250000,+0.000000,+6.250000,-0.250000,8,4,4
46,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
47,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
48,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
49,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
50,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
51,13.250000,19.000000,+0.250000,+0.000000,+5.750000,+0.250000,8,4,4
52,13.250000,19.000000,+0.250000,+0.000000,+5.750000,+0.250000,8,4,4
53,13.000000,19.000000,+0.000000,+0.000000,+6.000000,+0.000000,8,4,4
54,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
55,12.750000,18.750000,-0.250000,-0.250000,+6.000000,+0.000000,8,4,4
