LONG-TERM SUSTAINED BOUND STATE REPORT (PERMUTATION 10)
=====================================================

Step | Active Bits | Active Sep | Active Status | Control Bits | Control Sep | Control Status
--------------------------------------------------------------------------------------------
   0 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
   1 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
   2 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
   3 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
   4 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
   5 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
   6 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
   7 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
   8 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
   9 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  10 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
  11 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  12 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
  13 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  14 |           8 |     2.8927 | ok            |            8 |     22.5253 | ok            
  15 |           8 |     2.7456 | ok            |            8 |     22.3834 | ok            
  16 |           8 |     2.7947 | ok            |            8 |     22.4357 | ok            
  17 |           8 |     2.7456 | ok            |            8 |     22.4133 | ok            
  18 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
  19 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  20 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
  21 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  22 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
  23 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  24 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
  25 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  26 |           8 |    22.0491 | ok            |            8 |      2.7456 | ok            
  27 |           8 |    22.1331 | ok            |            8 |      2.7456 | ok            
  28 |           8 |    22.3292 | ok            |            8 |      2.7456 | ok            
  29 |           8 |    22.3572 | ok            |            8 |      2.7456 | ok            
  30 |           8 |    22.1873 | ok            |            8 |      2.7456 | ok            
  31 |           8 |    22.3049 | ok            |            8 |     14.0158 | ok            
  32 |           8 |    22.3965 | ok            |            8 |     16.0815 | ok            
  33 |           8 |    22.4618 | ok            |            8 |     16.0815 | ok            
  34 |           8 |    22.3292 | ok            |            8 |     16.0815 | ok            
  35 |           8 |     2.7456 | ok            |            8 |     17.0341 | ok            
  36 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
  37 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  38 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
  39 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  40 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
  41 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  42 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
  43 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  44 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
  45 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  46 |           8 |     2.8927 | ok            |            8 |     22.5253 | ok            
  47 |           8 |     2.7456 | ok            |            8 |     22.3834 | ok            
  48 |           8 |     2.7947 | ok            |            8 |     22.4357 | ok            
  49 |           8 |     2.7456 | ok            |            8 |     22.4133 | ok            
  50 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
  51 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  52 |           8 |     2.7947 | ok            |            8 |      2.7456 | ok            
  53 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
  54 |           8 |     2.8927 | ok            |            8 |      2.7456 | ok            
  55 |           8 |     2.7456 | ok            |            8 |      2.7456 | ok            
