step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size
0,12,ok,15.500,18.750,15.750,7.0000,4.6667,13.0000,15.500,17.750,15.750,1.0000,4,15.500,25.750,15.750,7.0000,4,15.500,12.750,15.750,6.0000,4
1,12,ok,16.250,19.250,16.750,7.0000,4.6667,13.0000,16.250,26.250,16.750,7.0000,4,16.250,18.250,16.750,1.0000,4,16.250,13.250,16.750,6.0000,4
2,12,ok,16.500,18.917,17.583,6.8354,4.5634,12.5100,16.500,17.750,17.750,1.1785,4,16.500,25.750,17.750,6.8354,4,16.500,13.250,17.250,5.6765,4
3,12,ok,16.833,18.917,18.250,7.3622,4.9472,13.5185,16.500,17.750,17.750,1.3123,4,17.250,26.250,18.750,7.3622,4,16.750,12.750,18.250,6.1672,4
4,12,ok,17.278,19.450,18.961,6.3531,4.3288,12.1973,17.000,13.600,18.800,5.8588,5,17.500,25.750,19.750,6.3531,4,17.333,19.000,18.333,0.7744,3
5,12,ok,17.639,18.083,19.806,7.6803,5.3171,14.2544,17.167,17.000,18.667,1.6412,6,17.750,25.750,20.250,7.6803,4,18.000,11.500,20.500,6.6297,2
6,12,ok,18.111,18.306,20.528,7.9867,5.4979,14.2522,17.333,16.667,19.333,2.1720,6,18.500,26.250,21.250,7.9867,4,18.500,12.000,21.000,6.3352,2
7,12,ok,18.083,18.917,20.750,7.4312,5.0807,13.5577,17.500,17.750,19.750,1.6436,4,18.750,26.250,21.750,7.4312,4,18.000,12.750,20.750,6.1672,4
8,12,ok,18.500,19.000,21.500,6.8829,4.6662,12.8914,18.250,18.250,20.750,1.0897,4,19.000,25.750,22.750,6.8829,4,18.250,13.000,21.000,6.0260,4
9,12,ok,18.750,19.000,22.000,6.8829,4.8080,12.8209,18.250,18.250,20.750,1.5411,4,19.250,25.750,23.250,6.8829,4,18.750,13.000,22.000,6.0000,4
10,12,ok,19.167,19.083,22.750,7.3692,5.0071,13.1909,20.000,26.250,24.250,7.3692,4,18.500,17.750,21.750,1.7951,4,19.000,13.250,22.250,5.8571,4
