step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size
0,12,ok,15.167,17.667,17.333,4.3205,2.8987,7.8740,15.500,15.000,15.000,3.5590,4,14.500,21.000,20.000,4.3205,4,15.500,17.000,17.000,0.8165,4
1,12,ok,15.417,18.667,16.583,4.3205,2.8987,7.8740,15.750,16.000,14.250,3.5590,4,14.750,22.000,19.250,4.3205,4,15.750,18.000,16.250,0.8165,4
2,12,ok,16.167,19.667,16.333,4.3205,2.8987,7.8740,16.500,17.000,14.000,3.5590,4,15.500,23.000,19.000,4.3205,4,16.500,19.000,16.000,0.8165,4
3,12,ok,16.417,20.667,15.583,4.3205,2.8987,7.8740,15.750,24.000,18.250,4.3205,4,16.750,18.000,13.250,3.5590,4,16.750,20.000,15.250,0.8165,4
4,12,ok,16.833,23.333,16.667,4.3205,2.9257,6.9642,16.000,25.500,18.000,2.6771,2,17.500,20.000,14.000,4.3205,8,17.000,24.500,18.000,1.7795,2
5,12,ok,17.417,22.667,14.583,4.3205,2.8987,7.8740,17.750,20.000,12.250,3.5590,4,16.750,26.000,17.250,4.3205,4,17.750,22.000,14.250,0.8165,4
6,12,ok,17.833,25.333,15.667,4.3205,2.9257,6.9642,17.000,27.500,17.000,2.6771,2,18.500,22.000,13.000,4.3205,8,18.000,26.500,17.000,1.7795,2
7,12,ok,18.417,24.667,13.583,4.3205,2.8987,7.8740,18.750,22.000,11.250,3.5590,4,17.750,28.000,16.250,4.3205,4,18.750,24.000,13.250,0.8165,4
8,12,ok,19.167,25.667,13.333,4.3205,2.8987,7.8740,19.500,25.000,13.000,0.8165,4,19.500,23.000,11.000,3.5590,4,18.500,29.000,16.000,4.3205,4
9,12,ok,19.417,26.667,12.583,4.3205,2.8987,7.8740,19.750,24.000,10.250,3.5590,4,18.750,30.000,15.250,4.3205,4,19.750,26.000,12.250,0.8165,4
10,12,ok,19.833,29.333,13.667,4.3205,2.9257,6.9642,20.500,26.000,11.000,4.3205,8,20.000,30.500,15.000,1.7795,2,19.000,31.500,15.000,2.6771,2
11,12,ok,20.417,28.667,11.583,4.3205,2.8987,7.8740,20.750,28.000,11.250,0.8165,4,20.750,26.000,9.250,3.5590,4,19.750,32.000,14.250,4.3205,4
12,12,ok,21.167,29.667,11.333,4.3205,2.8987,7.8740,21.500,27.000,9.000,3.5590,4,20.500,33.000,14.000,4.3205,4,21.500,29.000,11.000,0.8165,4
13,12,ok,21.417,30.667,10.583,4.3205,2.8987,7.8740,21.750,30.000,10.250,0.8165,4,20.750,34.000,13.250,4.3205,4,21.750,28.000,8.250,3.5590,4
14,12,ok,22.167,31.667,10.333,4.3205,2.8987,7.8740,21.500,35.000,13.000,4.3205,4,22.500,29.000,8.000,3.5590,4,22.500,31.000,10.000,0.8165,4
15,12,ok,22.774,32.952,10.083,3.8769,2.7978,6.7221,22.571,30.857,8.000,2.9616,7,21.750,36.000,12.250,3.8769,4,24.000,32.000,10.000,1.5548,1
16,12,ok,23.167,33.667,9.333,4.3205,2.8987,7.8740,23.500,33.000,9.000,0.8165,4,22.500,37.000,12.000,4.3205,4,23.500,31.000,7.000,3.5590,4
17,12,ok,23.417,34.667,8.583,4.3205,2.8987,7.8740,23.750,34.000,8.250,0.8165,4,22.750,38.000,11.250,4.3205,4,23.750,32.000,6.250,3.5590,4
18,12,ok,24.167,35.667,8.333,4.3205,2.8987,7.8740,24.500,33.000,6.000,3.5590,4,23.500,39.000,11.000,4.3205,4,24.500,35.000,8.000,0.8165,4
19,12,ok,24.417,36.667,7.583,4.3205,2.8987,7.8740,24.750,36.000,7.250,0.8165,4,24.750,34.000,5.250,3.5590,4,23.750,40.000,10.250,4.3205,4
20,12,ok,25.167,37.667,7.333,4.3205,2.8987,7.8740,25.500,37.000,7.000,0.8165,4,24.500,41.000,10.000,4.3205,4,25.500,35.000,5.000,3.5590,4
21,12,ok,25.417,38.667,6.583,4.3205,2.8987,7.8740,25.750,38.000,6.250,0.8165,4,25.750,36.000,4.250,3.5590,4,24.750,42.000,9.250,4.3205,4
22,12,ok,26.167,39.667,6.333,4.3205,2.8987,7.8740,26.500,39.000,6.000,0.8165,4,25.500,43.000,9.000,4.3205,4,26.500,37.000,4.000,3.5590,4
23,12,ok,26.417,40.667,5.583,4.3205,2.8987,7.8740,26.750,38.000,3.250,3.5590,4,25.750,44.000,8.250,4.3205,4,26.750,40.000,5.250,0.8165,4
