step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
0,16,ok,15.500,19.250,19.750,7.6322,5.9521,15.2643,15.500,17.750,15.750,4.2720,4,15.500,20.750,23.750,4.2720,4,15.500,12.750,15.750,7.6322,4,15.500,25.750,23.750,7.6322,4
1,16,ok,16.208,17.062,18.958,8.8469,5.4091,14.4287,16.250,23.750,24.750,8.8469,8,16.333,19.000,16.333,3.2650,3,16.000,11.000,18.000,6.1413,1,16.250,14.500,16.750,3.3830,4
2,16,ok,16.458,17.125,19.458,8.7832,4.9306,13.7386,16.333,18.000,17.333,2.3015,3,16.500,23.500,25.500,8.7832,8,17.000,12.000,18.000,5.3559,2,16.000,15.000,17.000,3.2816,3
3,16,ok,16.698,16.333,20.354,8.9287,5.3203,13.6456,16.667,13.333,17.667,4.0279,3,16.625,23.250,26.000,8.9287,8,17.000,11.000,20.000,5.3536,1,16.500,17.750,17.750,2.9712,4
4,16,ok,17.260,20.833,24.979,8.2364,4.7861,13.3540,16.667,21.333,25.667,1.0369,3,17.125,15.750,18.500,8.2364,8,17.250,26.250,26.750,5.6988,4,18.000,20.000,29.000,4.1724,1
5,16,ok,17.490,20.573,25.698,8.2279,4.9731,13.0258,17.375,15.625,19.125,8.2279,8,18.000,19.000,30.000,4.6090,1,17.250,26.000,27.000,5.5862,4,17.333,21.667,26.667,1.4694,3
6,16,ok,17.613,19.167,23.725,7.7171,6.1520,15.2147,17.200,17.000,19.400,4.8549,5,17.500,25.750,27.750,7.7171,4,17.750,21.250,27.750,4.5343,4,18.000,12.667,20.000,7.5017,3
7,16,ok,17.812,19.312,24.312,7.6370,6.1519,15.1059,18.000,20.750,28.750,4.6683,4,17.750,26.000,28.000,7.6370,4,18.000,12.750,20.750,7.4695,4,17.500,17.750,19.750,4.8327,4
8,16,ok,18.250,19.625,24.875,7.6750,6.0334,15.2643,18.250,18.500,20.500,4.5173,4,18.250,26.000,29.000,7.5932,4,18.250,13.000,21.000,7.6750,4,18.250,21.000,29.000,4.3481,4
9,16,ok,18.988,17.911,26.756,7.3950,6.8573,13.7846,18.167,17.000,20.667,6.2116,6,20.000,19.000,34.000,7.3950,1,18.286,24.143,28.857,6.6142,7,19.500,11.500,23.500,7.2084,2
10,16,ok,19.259,18.777,27.098,7.8009,6.3792,14.4935,21.000,12.000,27.000,6.9976,1,19.000,21.250,30.250,4.0147,4,18.286,15.857,21.143,6.7036,7,18.750,26.000,30.000,7.8009,4
11,16,ok,19.323,20.333,29.604,8.7470,5.5437,14.1714,18.750,25.750,30.250,5.4850,4,18.875,15.250,22.500,8.7470,8,18.667,21.333,29.667,1.1977,3,21.000,19.000,36.000,6.7452,1
