step,total_bits,status,bary_x,bary_y,bary_z,max_dispersion,avg_dispersion,max_pair_dist,g0_x,g0_y,g0_z,g0_dist_bary,g0_clust_size,g1_x,g1_y,g1_z,g1_dist_bary,g1_clust_size,g2_x,g2_y,g2_z,g2_dist_bary,g2_clust_size,g3_x,g3_y,g3_z,g3_dist_bary,g3_clust_size
0,16,ok,15.500,19.250,19.750,7.6322,5.9521,15.2643,15.500,17.750,15.750,4.2720,4,15.500,20.750,23.750,4.2720,4,15.500,12.750,15.750,7.6322,4,15.500,25.750,23.750,7.6322,4
1,16,ok,16.208,17.062,18.958,8.8469,5.4091,14.4287,16.250,23.750,24.750,8.8469,8,16.333,19.000,16.333,3.2650,3,16.000,11.000,18.000,6.1413,1,16.250,14.500,16.750,3.3830,4
2,16,ok,16.500,16.625,19.750,8.9382,5.0215,13.6702,16.500,23.250,25.750,8.9382,8,16.500,17.750,17.750,2.2947,4,17.000,12.000,18.000,4.9702,2,16.000,13.500,17.500,3.8831,2
3,16,ok,17.208,17.062,20.958,8.8469,5.4091,14.4287,17.000,11.000,20.000,6.1413,1,17.250,23.750,26.750,8.8469,8,17.333,19.000,18.333,3.2650,3,17.250,14.500,18.750,3.3830,4
4,16,ok,17.500,19.250,23.750,7.6322,5.9521,15.2643,17.500,17.750,19.750,4.2720,4,17.500,20.750,27.750,4.2720,4,17.500,12.750,19.750,7.6322,4,17.500,25.750,27.750,7.6322,4
5,16,ok,18.267,20.400,24.667,7.5504,6.0524,15.1008,18.333,27.000,28.333,7.5504,3,18.200,13.800,21.000,7.5504,5,18.333,19.000,20.333,4.5544,3,18.200,21.800,29.000,4.5544,5
6,16,ok,18.500,17.875,23.750,8.0555,4.4911,13.2004,18.000,18.500,21.500,2.3881,2,18.500,23.250,29.750,8.0555,8,18.500,12.750,21.750,5.5014,4,19.000,17.000,22.000,2.0194,2
7,16,ok,19.258,20.075,26.708,7.3801,5.8460,14.6652,19.250,21.250,30.750,4.2090,4,19.250,26.250,30.750,7.3801,4,19.200,13.800,23.000,7.2891,5,19.333,19.000,22.333,4.5058,3
8,16,ok,19.500,19.250,27.750,7.6322,5.9521,15.2643,19.500,17.750,23.750,4.2720,4,19.500,20.750,31.750,4.2720,4,19.500,12.750,23.750,7.6322,4,19.500,25.750,31.750,7.6322,4
9,16,ok,20.208,21.062,30.958,8.1712,5.0614,13.5675,20.000,19.000,34.000,3.6809,1,20.250,15.750,24.750,8.1712,8,20.250,22.500,32.750,2.2974,4,20.333,27.000,32.333,6.0959,3
10,16,ok,20.500,16.625,27.750,8.9382,5.0215,13.6702,20.500,23.250,33.750,8.9382,8,21.000,12.000,26.000,4.9702,2,20.000,13.500,25.500,3.8831,2,20.500,17.750,25.750,2.2947,4
11,16,ok,21.267,20.400,30.667,7.5504,6.0524,15.1008,21.333,19.000,26.333,4.5544,3,21.333,27.000,34.333,7.5504,3,21.200,13.800,27.000,7.5504,5,21.200,21.800,35.000,4.5544,5
