delta_y,delta_t,active_bits,control_a_bits,control_b_bits,linear_superposition,outcome
-4,0,8,4,4,True,Transmission
-4,1,8,4,4,True,Transmission
-4,2,8,4,4,True,Transmission
-4,3,8,4,4,True,Transmission
-4,4,8,4,4,True,Transmission
-4,5,8,4,4,True,Transmission
-4,6,8,4,4,True,Transmission
-4,7,8,4,4,True,Transmission
-4,8,8,4,4,True,Transmission
-4,9,8,4,4,True,Transmission
-4,10,8,4,4,True,Transmission
-4,11,8,4,4,True,Transmission
-4,12,8,4,4,True,Transmission
-3,0,8,4,4,True,Transmission
-3,1,8,4,4,True,Transmission
-3,2,8,4,4,True,Transmission
-3,3,8,4,4,True,Transmission
-3,4,8,4,4,True,Transmission
-3,5,8,4,4,True,Transmission
-3,6,8,4,4,True,Transmission
-3,7,8,4,4,True,Transmission
-3,8,8,4,4,True,Transmission
-3,9,8,4,4,True,Transmission
-3,10,8,4,4,True,Transmission
-3,11,8,4,4,True,Transmission
-3,12,8,4,4,True,Transmission
-2,0,8,4,4,True,Transmission
-2,1,8,4,4,True,Transmission
-2,2,8,4,4,True,Transmission
-2,3,8,4,4,True,Transmission
-2,4,8,4,4,True,Transmission
-2,5,8,4,4,True,Transmission
-2,6,8,4,4,True,Transmission
-2,7,8,4,4,True,Transmission
-2,8,8,4,4,True,Transmission
-2,9,8,4,4,True,Transmission
-2,10,8,4,4,True,Transmission
-2,11,8,4,4,True,Transmission
-2,12,8,4,4,True,Transmission
-1,0,8,4,4,True,Transmission
-1,1,8,4,4,True,Transmission
-1,2,168,4,4,False,Chaos
-1,3,8,4,4,True,Transmission
-1,4,109,4,4,False,Chaos
-1,5,8,4,4,True,Transmission
-1,6,162,4,4,False,Chaos
-1,7,8,4,4,True,Transmission
-1,8,159,4,4,False,Chaos
-1,9,8,4,4,True,Transmission
-1,10,103,4,4,False,Chaos
-1,11,8,4,4,True,Transmission
-1,12,147,4,4,False,Chaos
0,0,252,4,4,False,Chaos
0,1,252,4,4,False,Chaos
0,2,24,4,4,False,Chaos
0,3,132,4,4,False,Chaos
0,4,10,4,4,False,Scattering/Deflection
0,5,128,4,4,False,Chaos
0,6,24,4,4,False,Chaos
0,7,249,4,4,False,Chaos
0,8,24,4,4,False,Chaos
0,9,128,4,4,False,Chaos
0,10,8,4,4,False,Scattering/Deflection
0,11,131,4,4,False,Chaos
0,12,24,4,4,False,Chaos
1,0,0,4,4,False,Annihilation
1,1,0,4,4,False,Annihilation
1,2,111,4,4,False,Chaos
1,3,5,4,4,False,Scattering/Deflection
1,4,116,4,4,False,Chaos
1,5,5,4,4,False,Scattering/Deflection
1,6,111,4,4,False,Chaos
1,7,0,4,4,False,Annihilation
1,8,110,4,4,False,Chaos
1,9,4,4,4,False,Scattering/Deflection
1,10,120,4,4,False,Chaos
1,11,5,4,4,False,Scattering/Deflection
1,12,105,4,4,False,Chaos
2,0,231,4,4,False,Chaos
2,1,231,4,4,False,Chaos
2,2,171,4,4,False,Chaos
2,3,248,4,4,False,Chaos
2,4,8,4,4,False,Scattering/Deflection
2,5,247,4,4,False,Chaos
2,6,169,4,4,False,Chaos
2,7,221,4,4,False,Chaos
2,8,167,4,4,False,Chaos
2,9,244,4,4,False,Chaos
2,10,10,4,4,False,Scattering/Deflection
2,11,244,4,4,False,Chaos
2,12,161,4,4,False,Chaos
3,0,8,4,4,True,Transmission
3,1,8,4,4,True,Transmission
3,2,140,4,4,False,Chaos
3,3,8,4,4,True,Transmission
3,4,0,4,4,False,Annihilation
3,5,8,4,4,True,Transmission
3,6,134,4,4,False,Chaos
3,7,8,4,4,True,Transmission
3,8,132,4,4,False,Chaos
3,9,8,4,4,True,Transmission
3,10,0,4,4,False,Annihilation
3,11,8,4,4,True,Transmission
3,12,130,4,4,False,Chaos
4,0,8,4,4,True,Transmission
4,1,8,4,4,True,Transmission
4,2,8,4,4,True,Transmission
4,3,8,4,4,True,Transmission
4,4,8,4,4,True,Transmission
4,5,8,4,4,True,Transmission
4,6,8,4,4,True,Transmission
4,7,8,4,4,True,Transmission
4,8,8,4,4,True,Transmission
4,9,8,4,4,True,Transmission
4,10,8,4,4,True,Transmission
4,11,8,4,4,True,Transmission
4,12,8,4,4,True,Transmission
