species_id,bit_count,period,velocity_grid,velocity_cartesian,axis_aligned,oh_orbit_distinct_from_lut08,oh_covariant
0,3,1,[1.0; 1.0; 1.0],[-0.5; -1.0; -1.0],True,True,True
1,3,1,[1.0; 1.0; 1.0],[-0.5; -1.0; -1.0],True,True,True
2,3,2,[0.5; 1.0; -0.5],[0.0; -1.0; 0.5],True,True,False
3,3,1,[1.0; 1.0; 0.0],[0.0; -1.0; 0.0],True,True,True
4,3,1,[1.0; 1.0; 0.0],[0.0; -1.0; 0.0],True,True,True
5,3,2,[0.5; 1.0; -0.5],[0.0; -1.0; 0.5],True,True,False
6,3,2,[0.0; -0.5; 0.5],[0.0; 0.5; -0.5],True,True,False
7,3,1,[0.0; -1.0; 0.0],[0.5; 1.0; 0.0],True,True,True
8,3,1,[0.0; -1.0; 0.0],[0.5; 1.0; 0.0],True,True,True
9,3,2,[0.0; -0.5; 0.5],[0.0; 0.5; -0.5],True,True,False
