gen,rule_str,mean_fitness,best_fitness
1,B346791011/S1258911,1.3e-05,0.002649
2,B346791011/S1258911,4e-05,0.002649
3,B3456/S125911,9.3e-05,0.002649
4,B3456/S125911,0.000106,0.002649
5,B3678910/S124567,0.000139,0.006661
6,B3678910/S124567,0.000252,0.006661
7,B3911/S12457911,0.000319,0.006661
8,B3/S1245811,0.000419,0.006661
9,B36910/S1245678,0.000439,0.006661
10,B3710/S1245611,0.000345,0.006661
11,B3710/S1245611,0.000372,0.006661
12,B35610/S124571011,0.000485,0.006661
13,B35678/S124568,0.000359,0.006661
14,B358/S12456891011,0.000406,0.006661
15,B369/S124567810,0.000319,0.006661
16,B3910/S12456781011,0.000373,0.006661
17,B35891011/S1245781011,0.000306,0.006661
18,B3578/S12457911,0.000386,0.006661
19,B367811/S12456791011,0.000366,0.006661
20,B3678911/S1245678,0.000433,0.006661
21,B3671011/S12456710,0.000306,0.006661
22,B35781011/S1245671011,0.000293,0.006661
23,B3781011/S12456781011,0.000293,0.006661
24,B3581011/S1245611,0.000439,0.006661
25,B3781011/S1245678911,0.000459,0.006661
26,B36811/S124578910,0.000373,0.006661
27,B3567811/S124579,0.000346,0.006661
28,B37891011/S124567910,0.00028,0.006661
29,B3571011/S124578911,0.000419,0.006661
30,B367810/S12456811,0.000592,0.006661
