lambda,n_rules_evaluated,total_evaluations,seeds_surviving_300,fraction_surviving,mean_displacement,n_candidate_seeds
0.003,2,46,45,0.9783,34.9569,0
0.01,2,46,45,0.9783,40.7053,0
0.026,2,46,35,0.7609,0.1484,0
0.028,2,46,0,0.0,0.0,0
0.035,2,138,49,0.3551,33.1564,0
0.036,2,46,1,0.0217,0.0,0
0.043,2,46,45,0.9783,41.877,0
0.051,2,46,45,0.9783,45.2621,0
0.054,2,46,3,0.0652,0.0,0
0.062,2,92,0,0.0,0.0,0
0.068,2,92,6,0.0652,0.0,0
0.07,2,46,37,0.8043,0.1438,0
0.071,2,46,46,1.0,45.4721,0
0.074,2,46,46,1.0,46.1696,0
0.077,2,46,6,0.1304,0.0,0
0.087,2,184,0,0.0,0.0,0
0.089,2,46,0,0.0,0.0,0
0.095,2,92,51,0.5543,27.0897,0
0.097,2,46,0,0.0,0.0,0
0.098,2,138,0,0.0,0.0,0
0.106,2,92,41,0.4457,0.1267,0
0.108,2,46,46,1.0,35.1109,0
0.113,2,46,45,0.9783,40.9893,0
0.114,2,138,57,0.413,38.5121,0
0.116,2,46,0,0.0,0.0,0
0.121,2,46,45,0.9783,41.5666,0
0.122,2,92,0,0.0,0.0,0
0.124,2,46,0,0.0,0.0,0
0.125,2,92,0,0.0,0.0,0
0.126,2,46,0,0.0,0.0,0
0.13,2,46,46,1.0,42.5932,0
0.132,2,138,90,0.6522,38.294,0
0.133,2,92,6,0.0652,0.0,0
0.14,2,46,0,0.0,0.0,0
0.141,2,138,103,0.7464,34.1214,0
0.151,2,46,0,0.0,0.0,0
0.156,2,46,6,0.1304,0.0,0
0.157,2,46,0,0.0,0.0,0
0.159,2,92,12,0.1304,0.0,0
0.16,2,46,45,0.9783,42.841,0
0.165,2,138,45,0.3261,32.8306,0
0.167,2,46,45,0.9783,41.5606,0
0.168,2,46,46,1.0,41.0123,0
0.173,2,92,52,0.5652,28.1572,0
0.175,2,92,33,0.3587,0.2276,0
0.176,2,138,72,0.5217,23.0392,0
0.18,2,46,21,0.4565,0.2199,0
0.181,2,138,52,0.3768,24.597,0
0.183,2,46,35,0.7609,0.1484,0
0.184,2,138,7,0.0507,0.0,0
0.185,2,46,0,0.0,0.0,0
0.187,2,46,1,0.0217,0.0,0
0.195,2,92,45,0.4891,35.1005,0
0.209,2,92,6,0.0652,0.0,0
0.211,2,184,104,0.5652,32.4173,0
0.212,2,46,12,0.2609,0.0,0
0.218,2,138,6,0.0435,0.0,0
0.219,2,138,33,0.2391,0.286,0
0.22,2,46,1,0.0217,0.0,0
0.236,2,92,2,0.0217,0.0,0
0.238,2,46,0,0.0,0.0,0
0.245,2,92,70,0.7609,30.7771,0
0.246,2,92,0,0.0,0.0,0
0.247,2,46,0,0.0,0.0,0
0.249,2,46,26,0.5652,0.3273,0
0.252,2,46,6,0.1304,0.0,0
0.254,2,138,0,0.0,0.0,0
0.255,2,46,16,0.3478,0.288,0
0.257,2,46,44,0.9565,20.3168,0
0.262,2,184,143,0.7772,37.8431,0
0.263,2,46,6,0.1304,0.0,0
0.27,2,46,45,0.9783,37.6066,0
0.271,2,92,9,0.0978,32.5922,0
0.273,2,46,6,0.1304,0.0,0
0.278,2,46,45,0.9783,41.288,0
0.286,2,46,46,1.0,39.8244,0
0.29,2,92,71,0.7717,32.3518,0
0.292,2,138,137,0.9928,39.2821,0
0.294,2,46,45,0.9783,48.6741,0
0.297,2,46,0,0.0,0.0,0
0.298,2,184,91,0.4946,32.1894,0
0.305,2,184,103,0.5598,33.2453,0
0.306,2,92,92,1.0,39.6047,0
0.308,2,92,20,0.2174,0.1881,0
0.314,2,92,92,1.0,39.5891,0
0.316,2,138,66,0.4783,25.1156,0
0.317,2,46,15,0.3261,0.1183,0
0.322,2,46,0,0.0,0.0,0
0.324,2,46,0,0.0,0.0,0
0.332,2,138,101,0.7319,34.7593,0
0.333,2,46,46,1.0,33.4464,0
0.34,2,46,12,0.2609,0.0,0
0.343,2,92,51,0.5543,31.9963,0
0.347,2,46,45,0.9783,39.1387,0
0.351,2,138,137,0.9928,46.0452,0
0.356,2,46,45,0.9783,43.5257,0
0.361,2,46,46,1.0,54.1541,0
0.367,2,92,45,0.4891,38.2782,0
0.376,2,46,45,0.9783,27.7477,0
0.378,2,46,16,0.3478,0.288,0
0.384,2,46,46,1.0,36.2023,0
0.385,2,92,61,0.663,32.7374,0
0.387,2,92,92,1.0,40.1594,0
0.392,2,46,15,0.3261,0.1183,0
0.393,2,46,0,0.0,0.0,0
0.395,2,138,57,0.413,26.5627,0
0.403,2,92,45,0.4891,40.2009,0
0.405,2,46,46,1.0,39.8935,0
0.407,2,46,46,1.0,34.4492,0
0.411,2,92,68,0.7391,22.528,0
0.42,2,92,0,0.0,0.0,0
0.421,2,46,46,1.0,34.308,0
0.426,2,46,0,0.0,0.0,0
0.43,2,46,0,0.0,0.0,0
0.431,2,46,0,0.0,0.0,0
0.435,2,46,45,0.9783,38.5437,0
0.439,2,46,45,0.9783,32.0719,0
0.443,2,92,6,0.0652,0.0,0
0.445,2,46,6,0.1304,0.0,0
0.447,2,46,5,0.1087,2.6955,0
0.449,2,46,46,1.0,38.0118,0
0.451,2,46,0,0.0,0.0,0
0.479,2,46,6,0.1304,0.0,0
