rule_str,seed_id,survival,displacement,max_bit_ratio,max_bounding_box,verdict
B5611/S279,single_bit,1,0.0,inf,inf,rejected
B5611/S279,pair_0,1,0.0,inf,inf,rejected
B5611/S279,pair_1,1,0.0,inf,inf,rejected
B5611/S279,pair_2,1,0.0,inf,inf,rejected
B5611/S279,pair_3,1,0.0,inf,inf,rejected
B5611/S279,pair_4,1,0.0,inf,inf,rejected
B5611/S279,pair_5,1,0.0,inf,inf,rejected
B5611/S279,pair_6,1,0.0,inf,inf,rejected
B5611/S279,pair_7,1,0.0,inf,inf,rejected
B5611/S279,pair_8,1,0.0,inf,inf,rejected
B5611/S279,pair_9,1,0.0,inf,inf,rejected
B5611/S279,pair_10,1,0.0,inf,inf,rejected
B5611/S279,pair_11,1,0.0,inf,inf,rejected
B5611/S279,tromino_L_0,2,0.471,inf,inf,rejected
B5611/S279,tromino_L_1,500,0.0,1.0,2,rejected
B5611/S279,tromino_L_2,2,0.333,inf,inf,rejected
B5611/S279,tromino_L_3,500,0.0,1.0,2,rejected
B5611/S279,tromino_L_4,2,0.471,inf,inf,rejected
B5611/S279,tromino_L_5,2,0.333,inf,inf,rejected
B5611/S279,tromino_L_6,500,0.0,1.0,2,rejected
B5611/S279,tromino_L_7,500,0.0,1.0,2,rejected
B5611/S279,compact_0,2,0.333,inf,inf,rejected
B5611/S279,compact_1,2,0.0,inf,inf,rejected
B5611/S279,compact_2,2,0.0,inf,inf,rejected
B5611/S279,compact_3,2,0.0,inf,inf,rejected
B5611/S279,compact_4,2,0.3439,inf,inf,rejected
B5611/S279,compact_5,2,0.7893,inf,inf,rejected
B5611/S279,compact_6,2,0.0,inf,inf,rejected
B5611/S279,compact_7,2,0.548,inf,inf,rejected
B5611/S279,compact_8,500,0.0,1.0,2,rejected
B5611/S279,compact_9,2,0.333,inf,inf,rejected
B5611/S279,compact_10,1,0.0,inf,inf,rejected
B5611/S279,compact_11,2,0.471,inf,inf,rejected
B5611/S279,compact_12,2,0.4319,inf,inf,rejected
B5611/S279,compact_13,2,0.5745,inf,inf,rejected
B5611/S279,compact_14,2,0.6015,inf,inf,rejected
B5611/S279,compact_15,2,0.0,inf,inf,rejected
B5611/S279,compact_16,2,1.1838,inf,inf,rejected
B5611/S279,compact_17,2,1.6128,inf,inf,rejected
B5611/S279,compact_18,2,0.2496,inf,inf,rejected
B5611/S279,compact_19,2,0.2496,inf,inf,rejected
B5611/S279,compact_20,2,0.4234,inf,inf,rejected
B5611/S279,compact_21,500,0.0,1.0,2,rejected
B5611/S279,compact_22,2,0.9346,inf,inf,rejected
B5611/S279,compact_23,2,0.8325,inf,inf,rejected
B5611/S279,compact_24,2,0.333,inf,inf,rejected
B2/S11,single_bit,1,0.0,inf,inf,rejected
B2/S11,pair_0,500,28.2843,6967.0,40,rejected
B2/S11,pair_1,500,28.2843,6967.0,40,rejected
B2/S11,pair_2,500,28.2843,6967.0,40,rejected
B2/S11,pair_3,500,48.9898,6967.0,40,rejected
B2/S11,pair_4,500,20.0,6967.0,40,rejected
B2/S11,pair_5,500,20.0,6967.0,40,rejected
B2/S11,pair_6,500,0.0,6967.0,40,rejected
B2/S11,pair_7,500,20.0,6967.0,40,rejected
B2/S11,pair_8,500,20.0,6967.0,40,rejected
B2/S11,pair_9,500,0.0,6967.0,40,rejected
B2/S11,pair_10,500,20.0,6967.0,40,rejected
B2/S11,pair_11,500,20.0,6967.0,40,rejected
B2/S11,tromino_L_0,500,34.6442,4554.6667,40,rejected
B2/S11,tromino_L_1,500,68.1673,4569.0,40,rejected
B2/S11,tromino_L_2,500,34.4498,4554.6667,40,rejected
B2/S11,tromino_L_3,500,68.1673,4569.0,40,rejected
B2/S11,tromino_L_4,500,49.3982,4554.6667,40,rejected
B2/S11,tromino_L_5,500,50.8712,4662.0,40,rejected
B2/S11,tromino_L_6,500,80.5873,4569.0,40,rejected
B2/S11,tromino_L_7,500,80.5873,4569.0,40,rejected
B2/S11,compact_0,500,50.8712,4662.0,40,rejected
B2/S11,compact_1,500,40.0,3444.5,40,rejected
B2/S11,compact_2,500,28.2843,4724.0,40,rejected
B2/S11,compact_3,500,28.2843,4724.0,40,rejected
B2/S11,compact_4,500,57.7692,2194.5,40,rejected
B2/S11,compact_5,500,65.6595,3327.25,40,rejected
B2/S11,compact_6,500,0.0,3444.5,40,rejected
B2/S11,compact_7,500,47.728,2648.6,40,rejected
B2/S11,compact_8,500,68.1673,4569.0,40,rejected
B2/S11,compact_9,500,55.2771,2210.6667,40,rejected
B2/S11,compact_10,500,0.0,3540.75,40,rejected
B2/S11,compact_11,500,49.3982,4554.6667,40,rejected
B2/S11,compact_12,500,36.7782,3322.5,40,rejected
B2/S11,compact_13,500,34.1354,2661.4,40,rejected
B2/S11,compact_14,500,47.0463,2210.6667,40,rejected
B2/S11,compact_15,500,44.7214,3513.0,40,rejected
B2/S11,compact_16,500,91.4613,2649.0,40,rejected
B2/S11,compact_17,500,37.4325,2633.2,40,rejected
B2/S11,compact_18,500,46.4936,3322.5,40,rejected
B2/S11,compact_19,500,48.8884,3539.5,40,rejected
B2/S11,compact_20,500,39.7017,2730.8,40,rejected
B2/S11,compact_21,500,80.5873,4569.0,40,rejected
B2/S11,compact_22,500,14.6725,3327.0,40,rejected
B2/S11,compact_23,500,63.2151,2200.6667,40,rejected
B2/S11,compact_24,500,34.4498,4554.6667,40,rejected
B9/S2511,single_bit,1,0.0,inf,inf,rejected
B9/S2511,pair_0,1,0.0,inf,inf,rejected
B9/S2511,pair_1,1,0.0,inf,inf,rejected
B9/S2511,pair_2,1,0.0,inf,inf,rejected
B9/S2511,pair_3,1,0.0,inf,inf,rejected
B9/S2511,pair_4,1,0.0,inf,inf,rejected
B9/S2511,pair_5,1,0.0,inf,inf,rejected
B9/S2511,pair_6,1,0.0,inf,inf,rejected
B9/S2511,pair_7,1,0.0,inf,inf,rejected
B9/S2511,pair_8,1,0.0,inf,inf,rejected
B9/S2511,pair_9,1,0.0,inf,inf,rejected
B9/S2511,pair_10,1,0.0,inf,inf,rejected
B9/S2511,pair_11,1,0.0,inf,inf,rejected
B9/S2511,tromino_L_0,2,0.471,inf,inf,rejected
B9/S2511,tromino_L_1,500,0.0,1.0,2,rejected
B9/S2511,tromino_L_2,2,0.333,inf,inf,rejected
B9/S2511,tromino_L_3,500,0.0,1.0,2,rejected
B9/S2511,tromino_L_4,2,0.471,inf,inf,rejected
B9/S2511,tromino_L_5,2,0.333,inf,inf,rejected
B9/S2511,tromino_L_6,500,0.0,1.0,2,rejected
B9/S2511,tromino_L_7,500,0.0,1.0,2,rejected
B9/S2511,compact_0,2,0.333,inf,inf,rejected
B9/S2511,compact_1,2,0.0,inf,inf,rejected
B9/S2511,compact_2,2,0.0,inf,inf,rejected
B9/S2511,compact_3,2,0.0,inf,inf,rejected
B9/S2511,compact_4,2,0.3439,inf,inf,rejected
B9/S2511,compact_5,2,0.7893,inf,inf,rejected
B9/S2511,compact_6,2,0.0,inf,inf,rejected
B9/S2511,compact_7,2,0.548,inf,inf,rejected
B9/S2511,compact_8,500,0.0,1.0,2,rejected
B9/S2511,compact_9,2,0.333,inf,inf,rejected
B9/S2511,compact_10,1,0.0,inf,inf,rejected
B9/S2511,compact_11,2,0.471,inf,inf,rejected
B9/S2511,compact_12,2,0.4319,inf,inf,rejected
B9/S2511,compact_13,2,0.5745,inf,inf,rejected
B9/S2511,compact_14,3,0.6015,inf,inf,rejected
B9/S2511,compact_15,2,0.0,inf,inf,rejected
B9/S2511,compact_16,2,1.1838,inf,inf,rejected
B9/S2511,compact_17,2,1.6128,inf,inf,rejected
B9/S2511,compact_18,2,0.2496,inf,inf,rejected
B9/S2511,compact_19,2,0.2496,inf,inf,rejected
B9/S2511,compact_20,2,0.4234,inf,inf,rejected
B9/S2511,compact_21,500,0.0,1.0,2,rejected
B9/S2511,compact_22,2,0.9346,inf,inf,rejected
B9/S2511,compact_23,2,0.8325,inf,inf,rejected
B9/S2511,compact_24,2,0.333,inf,inf,rejected
B5810/S245611,single_bit,1,0.0,inf,inf,rejected
B5810/S245611,pair_0,1,0.0,inf,inf,rejected
B5810/S245611,pair_1,1,0.0,inf,inf,rejected
B5810/S245611,pair_2,1,0.0,inf,inf,rejected
B5810/S245611,pair_3,1,0.0,inf,inf,rejected
B5810/S245611,pair_4,1,0.0,inf,inf,rejected
B5810/S245611,pair_5,1,0.0,inf,inf,rejected
B5810/S245611,pair_6,1,0.0,inf,inf,rejected
B5810/S245611,pair_7,1,0.0,inf,inf,rejected
B5810/S245611,pair_8,1,0.0,inf,inf,rejected
B5810/S245611,pair_9,1,0.0,inf,inf,rejected
B5810/S245611,pair_10,1,0.0,inf,inf,rejected
B5810/S245611,pair_11,1,0.0,inf,inf,rejected
B5810/S245611,tromino_L_0,2,0.471,inf,inf,rejected
B5810/S245611,tromino_L_1,500,0.0,1.0,2,rejected
B5810/S245611,tromino_L_2,2,0.333,inf,inf,rejected
B5810/S245611,tromino_L_3,500,0.0,1.0,2,rejected
B5810/S245611,tromino_L_4,2,0.471,inf,inf,rejected
B5810/S245611,tromino_L_5,2,0.333,inf,inf,rejected
B5810/S245611,tromino_L_6,500,0.0,1.0,2,rejected
B5810/S245611,tromino_L_7,500,0.0,1.0,2,rejected
B5810/S245611,compact_0,2,0.333,inf,inf,rejected
B5810/S245611,compact_1,2,0.0,inf,inf,rejected
B5810/S245611,compact_2,2,0.0,inf,inf,rejected
B5810/S245611,compact_3,2,0.0,inf,inf,rejected
B5810/S245611,compact_4,2,0.3439,inf,inf,rejected
B5810/S245611,compact_5,2,0.7893,inf,inf,rejected
B5810/S245611,compact_6,2,0.0,inf,inf,rejected
B5810/S245611,compact_7,3,0.4473,inf,inf,rejected
B5810/S245611,compact_8,500,0.0,1.0,2,rejected
B5810/S245611,compact_9,3,0.167,inf,inf,rejected
B5810/S245611,compact_10,1,0.0,inf,inf,rejected
B5810/S245611,compact_11,2,0.471,inf,inf,rejected
B5810/S245611,compact_12,2,0.4319,inf,inf,rejected
B5810/S245611,compact_13,3,0.283,inf,inf,rejected
B5810/S245611,compact_14,4,0.6015,inf,inf,rejected
B5810/S245611,compact_15,2,0.0,inf,inf,rejected
B5810/S245611,compact_16,2,1.1838,inf,inf,rejected
B5810/S245611,compact_17,2,1.6128,inf,inf,rejected
B5810/S245611,compact_18,2,0.2496,inf,inf,rejected
B5810/S245611,compact_19,2,0.2496,inf,inf,rejected
B5810/S245611,compact_20,3,0.2837,inf,inf,rejected
B5810/S245611,compact_21,500,0.0,1.0,2,rejected
B5810/S245611,compact_22,2,0.9346,inf,inf,rejected
B5810/S245611,compact_23,2,0.8325,inf,inf,rejected
B5810/S245611,compact_24,2,0.333,inf,inf,rejected
B23478/S17,single_bit,1,0.0,inf,inf,rejected
B23478/S17,pair_0,500,0.0,13839.0,40,rejected
B23478/S17,pair_1,500,40.0,13839.0,40,rejected
B23478/S17,pair_2,500,0.0,13839.0,40,rejected
B23478/S17,pair_3,500,0.0,13839.0,40,rejected
B23478/S17,pair_4,500,0.0,13839.0,40,rejected
B23478/S17,pair_5,500,40.0,13839.0,40,rejected
B23478/S17,pair_6,500,60.0,13839.0,40,rejected
B23478/S17,pair_7,500,60.0,13839.0,40,rejected
B23478/S17,pair_8,500,60.0,13839.0,40,rejected
B23478/S17,pair_9,500,72.111,13839.0,40,rejected
B23478/S17,pair_10,500,72.111,13839.0,40,rejected
B23478/S17,pair_11,500,72.111,13839.0,40,rejected
B23478/S17,tromino_L_0,500,56.117,9032.6667,40,rejected
B23478/S17,tromino_L_1,500,81.8348,9147.6667,40,rejected
B23478/S17,tromino_L_2,500,42.1255,9032.6667,40,rejected
B23478/S17,tromino_L_3,500,81.8348,9147.6667,40,rejected
B23478/S17,tromino_L_4,500,50.1317,9032.6667,40,rejected
B23478/S17,tromino_L_5,500,14.7694,9296.3333,40,rejected
B23478/S17,tromino_L_6,500,96.334,9147.6667,40,rejected
B23478/S17,tromino_L_7,500,96.334,9147.6667,40,rejected
B23478/S17,compact_0,500,14.7694,9296.3333,40,rejected
B23478/S17,compact_1,500,28.2843,6886.0,40,rejected
B23478/S17,compact_2,500,20.0,9320.6667,40,rejected
B23478/S17,compact_3,500,20.0,9320.6667,40,rejected
B23478/S17,compact_4,500,43.1534,4486.0,40,rejected
B23478/S17,compact_5,500,30.0674,6747.25,40,rejected
B23478/S17,compact_6,500,34.641,6886.0,40,rejected
B23478/S17,compact_7,500,77.8026,5414.8,40,rejected
B23478/S17,compact_8,500,81.8348,9147.6667,40,rejected
B23478/S17,compact_9,500,47.8892,4470.0,40,rejected
B23478/S17,compact_10,500,28.2843,7409.5,40,rejected
B23478/S17,compact_11,500,50.1317,9032.6667,40,rejected
B23478/S17,compact_12,500,69.6895,6701.25,40,rejected
B23478/S17,compact_13,500,67.478,5370.2,40,rejected
B23478/S17,compact_14,500,43.6092,4476.8333,40,rejected
B23478/S17,compact_15,500,56.5685,6909.0,40,rejected
B23478/S17,compact_16,500,62.4851,5367.4,40,rejected
